,FLARE_TYPE,COINCIDENCE,MEANGBZ_1,MEANGBZ_2,MEANGBZ_3,MEANGBZ_4,MEANGBZ_5
1875,B,False,130.75,127.42,127.94,130.54,130.89
1876,B,False,127.46,126.6,127.62,127.81,127.95
1877,B,False,99.145,99.803,100.88,100.78,100.72
1878,B,False,79.595,86.123,85.863,80.471,81.176
1879,B,False,108.32,107.12,106.02,105.97,106.65
1880,B,False,105.67,106.23,105.83,105.62,104.18
1881,B,False,112.72,73.952,83.216,79.952,80.746
1882,B,False,151.89,151.48,150.06,146.38,144.48
1883,B,False,130.81,129.41,129.18,127.96,125.01
1884,B,False,69.241,69.958,92.624,99.969,100.76
1885,B,False,127.05,129.73,128.42,129.29,128.96
1886,B,False,157.2,153.03,158.03,152.68,150.65
1887,B,False,141.11,140.91,136.86,134.11,136.68
1888,B,False,74.636,76.45,74.738,77.069,76.315
1889,B,False,92.316,57.259,89.339,49.249,51.141
1890,B,False,106.81,106.33,106.91,106.64,106.83
1891,B,False,99.594,99.75,100.62,102.63,102.19
1892,N,False,141.25,140.04,137.57,140.87,138.39
1893,N,False,179.77,175.12,169.87,169.09,167.85
1894,N,False,166.32,166.16,157.59,151.46,161.36
1895,N,False,116.88,116.07,118.79,117.15,119.42
1896,N,False,125.68,125.08,128.5,124.75,121.47
1897,N,False,143.23,140.52,138.07,138.75,141.47
1898,N,False,132.93,128.06,131.83,134.06,130.64
1899,N,False,111.88,112.97,108.77,110.84,110.34
1900,N,False,119.77,121.51,125.02,127.39,131.07
1901,N,False,137.37,140.97,141.36,146.43,144.23
1902,N,False,161.72,175.57,175.37,171.65,162.9
1903,N,False,122.38,120.27,120.41,115.31,115.6
1904,N,False,145.43,143.27,145.01,142.2,149.99
1905,N,False,126.6,125.71,125.58,124.85,127.61
1906,N,False,155.56,153.8,156.48,155.11,152.92
1907,N,False,146.54,144.62,146.37,145.24,145.1
1908,N,False,170.03,172.84,169.75,170.78,163.89
1909,N,False,136.19,133.64,131.26,131.79,131.75
1910,N,False,137.8,132.45,135.05,136.72,133.81
1911,N,False,166.14,165.98,174.28,174.74,182.18
1912,N,False,153.46,143.55,145.82,147.8,146.07
1913,N,False,137.73,138.1,138.75,138.75,139.74
1914,N,False,145.66,143.61,160.42,166.16,160.82
1915,N,False,138.0,135.83,134.33,135.57,143.43
1916,N,False,139.58,124.36,116.06,109.15,109.52
1917,N,False,133.05,132.51,132.39,132.77,124.23
1918,N,False,127.88,127.3,124.99,123.79,122.89
1919,N,False,152.66,148.18,149.46,152.3,148.47
1920,N,False,107.23,106.98,106.86,106.72,106.96
1921,N,False,140.14,140.65,140.89,137.27,138.45
1922,N,False,106.46,105.7,106.09,105.68,106.93
1923,N,False,130.16,130.68,133.2,132.61,132.08
1924,N,False,127.62,128.14,127.9,130.32,129.9
1925,N,False,144.9,142.23,141.3,140.99,144.74
1926,N,False,132.04,133.11,134.37,133.41,133.53
1927,N,False,142.58,142.12,138.76,136.95,135.5
1928,N,False,123.18,120.63,129.84,128.26,116.75
1929,N,False,96.807,95.609,97.558,94.864,95.716
1930,N,False,117.82,117.62,117.33,117.76,116.86
1931,N,False,142.3,139.39,135.32,136.92,139.61
1932,N,False,119.42,119.28,118.22,117.89,116.64
1933,N,False,164.86,171.1,165.69,168.92,174.34
1934,N,False,166.66,164.36,160.36,160.01,168.79
1935,N,False,127.44,121.69,125.45,125.76,126.58
1936,N,False,95.499,95.757,96.004,95.769,97.326
1937,N,False,100.05,100.75,100.51,100.62,100.69
1938,N,False,100.05,100.75,100.51,100.62,100.69
1939,N,False,151.65,145.82,142.4,141.92,137.82
1940,N,False,135.58,133.74,134.02,133.76,135.42
1941,N,False,127.95,132.29,132.95,129.97,126.49
1942,N,False,160.54,157.75,156.63,158.52,153.45
1943,N,False,125.14,123.93,126.52,125.84,125.31
1944,N,False,117.66,117.46,116.87,116.08,114.85
1945,N,False,140.02,140.48,141.71,140.69,140.9
1946,N,False,92.589,91.588,91.558,90.137,89.131
1947,N,False,156.2,156.84,161.35,157.16,149.3
1948,N,False,141.0,147.82,147.43,150.62,147.01
1949,N,False,101.55,101.61,101.76,100.38,99.934
1950,N,False,131.63,135.86,135.95,135.5,134.62
1951,N,False,108.2,108.37,82.724,108.0,108.83
1952,N,False,138.34,138.26,134.13,133.14,132.43
1953,N,False,114.27,116.69,117.8,117.73,118.09
1954,N,False,93.382,123.72,125.27,97.943,127.0
1955,N,False,105.95,107.39,109.89,111.68,111.72
1956,N,False,117.2,117.12,118.31,121.26,123.35
1957,N,False,133.35,131.12,130.1,128.54,130.56
1958,N,False,109.08,110.59,111.77,108.2,108.27
1959,N,False,114.09,113.88,113.5,112.54,112.79
1960,N,False,99.102,97.299,97.497,100.37,99.15
1961,N,False,127.75,126.73,125.42,124.73,125.52
1962,N,False,131.37,129.22,124.82,126.56,126.55
1963,N,False,111.41,111.95,112.49,112.87,112.35
1964,N,False,138.93,141.16,140.1,139.34,139.4
1965,N,False,110.47,109.37,108.3,108.84,107.2
1966,N,False,85.021,84.146,88.239,86.363,84.316
1967,N,False,86.902,87.267,86.245,87.587,87.883
1968,N,False,128.81,129.42,132.26,133.23,134.07
1969,N,False,128.81,129.42,132.26,133.23,134.07
1970,N,False,81.776,81.303,83.789,86.037,87.166
1971,N,False,102.19,103.08,102.4,102.37,102.45
1972,N,False,100.58,101.04,101.77,102.2,102.57
1973,N,False,144.44,142.11,142.29,138.91,146.99
1974,N,False,120.77,120.78,120.17,119.71,119.91
1975,N,False,125.02,124.49,125.14,125.66,125.46
1976,N,False,108.3,109.42,109.69,109.95,109.54
1977,N,False,111.61,111.8,110.57,110.72,110.27
1978,N,False,152.16,156.21,155.91,159.1,162.27
1979,N,False,111.31,110.84,110.78,111.47,111.07
1980,N,False,111.31,110.84,110.78,111.47,111.07
1981,N,False,137.6,136.06,138.37,138.5,135.07
1982,N,False,137.6,136.06,138.37,138.5,135.07
1983,N,False,125.2,122.78,124.0,124.41,125.8
1984,N,False,93.636,93.007,93.389,94.042,93.514
1985,N,False,133.91,135.23,137.0,136.6,131.12
1986,N,False,105.04,105.42,105.24,105.52,106.11
1987,N,False,101.76,101.97,101.24,101.63,100.8
1988,N,False,155.81,154.55,154.0,155.59,164.79
1989,N,False,122.89,128.25,114.68,116.78,116.97
1990,N,False,154.71,159.08,165.18,173.18,168.94
1991,N,False,138.1,134.93,135.96,140.51,136.12
1992,N,False,109.1,108.94,109.69,109.81,110.17
1993,N,False,119.08,120.93,120.0,118.73,116.23
1994,N,False,116.26,116.21,115.71,115.56,114.57
1995,N,False,137.11,139.53,141.18,141.77,140.33
1996,N,False,100.33,102.46,102.32,103.12,101.82
1997,N,False,76.121,117.78,118.13,117.67,124.83
1998,N,False,129.91,125.64,124.75,122.58,123.89
1999,N,False,122.66,123.48,125.79,124.2,127.8
2000,N,False,122.57,122.24,119.65,118.77,119.72
2001,N,False,121.59,120.05,121.81,121.25,122.46
2002,N,False,82.471,85.618,75.456,87.502,84.348
2003,N,False,99.404,101.49,103.78,103.48,105.27
2004,N,False,141.06,142.33,142.6,141.23,142.28
2005,N,False,129.4,129.24,128.46,131.14,130.85
2006,N,False,154.81,153.89,155.5,153.44,154.42
2007,N,False,146.84,146.05,143.88,145.57,145.68
2008,N,False,130.34,130.44,127.94,128.69,129.59
2009,N,False,149.61,153.81,151.07,157.31,160.99
2010,N,False,134.91,129.73,130.58,125.16,126.29
2011,N,False,116.66,118.15,117.47,116.66,118.22
2012,N,False,142.83,144.46,141.8,140.48,140.76
2013,N,False,103.52,102.29,101.71,101.06,99.93
2014,N,False,103.52,102.29,101.71,101.06,99.93
2015,N,False,192.28,184.17,180.97,178.98,176.16
2016,N,False,113.89,116.36,116.99,114.07,118.82
2017,N,False,89.271,88.031,88.062,87.437,87.98
2018,N,False,148.04,147.03,145.34,142.49,141.68
2019,N,False,106.24,106.87,108.04,108.46,109.37
2020,N,False,120.51,124.33,124.5,128.63,130.0
2021,N,False,112.96,112.35,113.15,113.72,113.62
2022,N,False,120.51,124.33,124.5,128.63,130.0
2023,N,False,126.38,125.43,124.87,124.66,124.86
2024,N,False,164.29,162.25,152.33,151.76,160.0
2025,N,False,170.28,168.76,158.3,159.14,150.91
