,FLARE_TYPE,COINCIDENCE,TOTPOT_1,TOTPOT_2,TOTPOT_3,TOTPOT_4,TOTPOT_5
657,C,False,1.9235e+23,2.0996e+23,2.0333e+23,1.7695e+23,1.5912e+23
658,C,False,1.9132e+22,2.1044e+22,1.9839e+22,1.9424e+22,2.1856e+22
659,C,False,4.9564e+23,4.8714e+23,4.8809e+23,4.9246e+23,4.8304e+23
660,C,True,1.0186e+24,1.0144e+24,1.0157e+24,1.0181e+24,1.0162e+24
661,C,False,3.5442e+23,3.5338e+23,3.5165e+23,3.5269e+23,3.5497e+23
662,C,False,1.2265e+23,1.2214e+23,1.2099e+23,1.2109e+23,1.2086e+23
663,C,False,7.4993e+22,8.1632e+22,7.6962e+22,7.3748e+22,6.481e+22
664,C,False,6.2498e+23,6.2645e+23,6.2588e+23,6.1726e+23,6.2103e+23
665,C,True,6.8343e+21,6.4861e+21,6.3437e+21,6.117e+21,5.7529e+21
666,C,True,4.2386e+23,4.2495e+23,4.2418e+23,4.2984e+23,4.2511e+23
667,C,False,3.0358e+23,3.0259e+23,2.9611e+23,2.9862e+23,2.9802e+23
668,C,False,1.2196e+23,1.1944e+23,1.177e+23,1.1399e+23,1.1042e+23
669,C,False,6.371e+22,6.3958e+22,6.394e+22,6.4147e+22,6.4197e+22
670,C,True,1.0529e+23,1.0593e+23,1.0768e+23,1.0674e+23,1.0827e+23
671,C,False,1.9394e+23,1.9353e+23,1.9398e+23,1.9297e+23,1.9149e+23
672,C,False,7.2661e+23,7.2438e+23,7.25e+23,7.1692e+23,7.1614e+23
673,C,False,4.1202e+22,4.12e+22,4.1387e+22,4.0117e+22,3.9852e+22
674,C,False,5.9712e+21,6.2325e+21,6.0037e+21,5.5581e+21,5.925e+21
675,C,False,2.4515e+23,2.4357e+23,2.4104e+23,2.3849e+23,2.355e+23
676,C,False,5.6714e+23,5.669e+23,5.6643e+23,5.6771e+23,5.649e+23
677,C,True,2.0696e+23,2.0667e+23,2.0669e+23,2.0672e+23,2.0699e+23
678,C,False,4.1346e+23,4.1871e+23,4.0461e+23,4.0607e+23,4.02e+23
679,C,False,1.1551e+22,1.1768e+22,1.2249e+22,1.2233e+22,1.2004e+22
680,C,False,7.6825e+22,7.8441e+22,7.6802e+22,7.753e+22,7.8559e+22
681,C,False,4.591e+23,4.6067e+23,4.6023e+23,4.6183e+23,4.5629e+23
682,C,True,1.6364e+23,1.6454e+23,1.6401e+23,1.624e+23,1.634e+23
683,C,False,1.2263e+22,1.2053e+22,1.1926e+22,1.1944e+22,1.2072e+22
684,C,False,8.0135e+23,8.0961e+23,8.1032e+23,8.1785e+23,8.2495e+23
685,C,False,1.0529e+23,1.0593e+23,1.0768e+23,1.0674e+23,1.0827e+23
686,C,False,0.0,1.5229e+20,3.919e+22,1.6487e+19,4.5e+19
687,C,True,1.1085e+24,1.1058e+24,1.1005e+24,1.0951e+24,1.0914e+24
688,C,False,2.4e+22,2.3333e+22,2.3808e+22,2.4932e+22,2.2261e+22
689,C,False,9.038e+22,9.295e+22,9.817e+22,1.0005e+23,9.7773e+22
690,C,False,1.8424e+23,2.1795e+23,2.2386e+23,2.2973e+23,2.3527e+23
691,C,False,1.7027e+22,1.6718e+22,1.702e+22,1.7156e+22,1.6931e+22
