,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5
348,M,False,173330.0,192340.0,167370.0,166960.0,162600.0
349,M,False,145330.0,127070.0,158520.0,178920.0,199460.0
350,M,True,135570.0,174990.0,173520.0,163980.0,173660.0
351,M,False,167530.0,180510.0,162420.0,181360.0,213990.0
352,M,True,6101.6,4608.4,4655.5,6125.4,6266.4
353,M,True,293940.0,301970.0,308260.0,296470.0,308020.0
354,M,False,304440.0,322960.0,310140.0,339570.0,271540.0
355,M,False,311010.0,307370.0,282540.0,260250.0,302540.0
356,M,False,7585.8,7939.3,7999.6,7836.5,7809.3
357,M,False,361050.0,332100.0,291430.0,355170.0,338400.0
358,M,False,405360.0,449750.0,379850.0,378890.0,396090.0
359,M,False,14749.0,13631.0,15427.0,14877.0,14542.0
360,M,True,497430.0,484290.0,448240.0,452830.0,616800.0
361,M,False,439000.0,530670.0,426750.0,483800.0,467150.0
362,M,False,553480.0,454690.0,481010.0,479170.0,477920.0
363,M,False,327350.0,361450.0,353570.0,334330.0,330870.0
364,M,True,185660.0,199910.0,227910.0,212290.0,235240.0
365,M,False,222410.0,228250.0,192930.0,181600.0,192510.0
366,M,False,74086.0,85549.0,75806.0,77008.0,78940.0
367,M,True,6768.5,6794.1,7737.6,5246.9,5283.0
368,M,True,11732.0,12844.0,9744.1,9732.5,10583.0
369,M,True,40664.0,42138.0,42196.0,41508.0,39935.0
370,M,True,41622.0,38476.0,38180.0,31459.0,35457.0
371,M,True,46848.0,55702.0,56320.0,54026.0,53672.0
372,M,True,65503.0,70481.0,66160.0,73421.0,70551.0
373,M,True,72893.0,73919.0,67569.0,68278.0,65079.0
374,M,False,58222.0,59160.0,64979.0,55215.0,61774.0
375,M,False,77073.0,68394.0,63560.0,68105.0,67543.0
376,M,True,128110.0,129620.0,131120.0,119000.0,108650.0
377,M,False,120110.0,145340.0,126470.0,125860.0,130170.0
378,M,False,135710.0,129970.0,129560.0,128190.0,121220.0
379,M,False,113590.0,110250.0,109600.0,121530.0,141100.0
380,M,False,9661.4,10403.0,10494.0,8878.1,9070.4
381,M,False,1563.4,1552.2,1531.2,0.0,0.0
382,M,False,33931.0,33526.0,32694.0,29429.0,32689.0
383,M,False,4904.2,5438.9,2713.6,5659.7,2286.1
384,M,False,3283.1,1497.6,1536.6,1888.8,794.68
385,M,False,0.0,0.0,0.0,0.0,0.0
386,M,False,2637.9,2673.6,2897.0,2792.2,2015.0
387,M,False,18662.0,20701.0,21363.0,21174.0,19097.0
388,M,True,7433.4,16441.0,11660.0,2832.7,2617.5
389,M,True,0.0,0.0,0.0,0.0,0.0
390,M,True,89.568,95.852,109.81,76.126,141.0
391,M,False,121.49,131.78,146.4,220.63,204.5
392,M,False,549.0,526.76,530.81,505.07,512.14
393,M,False,4003.8,3999.3,3794.9,4123.5,3837.2
394,M,True,3239.6,3153.0,3191.2,3616.0,3951.5
395,M,False,1912.1,2446.4,2802.6,3023.1,3066.6
396,M,False,1231.4,0.0,724.01,0.0,224.46
397,M,True,12727.0,10327.0,10897.0,9430.0,7340.3
398,M,True,4973.1,4314.3,4261.7,4352.3,4077.0
399,M,False,1194.5,1377.9,838.01,884.61,2057.8
400,M,False,5366.6,6065.9,5522.1,5396.1,5968.0
401,M,False,5385.5,6530.4,6538.0,6368.6,6544.3
402,M,True,2121.4,2228.6,2180.5,2123.7,1947.0
403,M,False,2860.7,3258.9,3396.0,3691.2,3652.7
404,M,False,10047.0,13543.0,12526.0,10089.0,12882.0
405,M,False,0.0,0.0,0.0,0.0,0.0
406,M,False,0.0,452.64,0.0,0.0,0.0
407,M,False,14763.0,11188.0,13415.0,12908.0,14365.0
408,M,False,38208.0,33089.0,32335.0,35892.0,30402.0
409,M,True,11083.0,8169.1,10512.0,10254.0,10220.0
410,M,False,1268.4,663.82,592.74,0.0,0.0
411,M,False,93294.0,71336.0,81161.0,73638.0,68541.0
412,M,False,23485.0,19827.0,18202.0,18019.0,19178.0
413,M,False,1499.6,1412.9,1492.5,1460.5,1191.1
414,M,False,109940.0,109440.0,105000.0,98980.0,103180.0
415,M,True,8624.7,8141.4,7141.3,5868.8,5496.8
416,M,True,625.47,2273.0,1191.0,1558.6,6426.7
417,M,True,4492.2,3169.9,9080.7,5894.0,7222.4
418,M,True,44947.0,42000.0,46955.0,46274.0,41532.0
419,M,True,1619.3,3874.2,3662.7,528.42,1166.0
420,M,False,383.74,279.84,5813.3,1565.9,6781.2
421,M,False,3715.8,3653.1,3443.1,3789.1,3731.6
422,M,False,3426.1,6285.5,6766.6,5982.5,6242.6
423,M,False,37261.0,44343.0,42836.0,31904.0,42840.0
424,M,False,11578.0,6804.6,12514.0,4987.0,5736.7
425,M,False,142610.0,149220.0,126300.0,175760.0,178440.0
426,M,False,2282.0,2224.5,2136.8,1783.2,2355.4
427,M,False,352.37,238.83,229.42,218.83,226.23
428,M,True,0.0,0.0,0.0,0.0,0.0
429,M,False,480.09,497.39,986.29,1055.3,1014.5
430,M,False,237.25,240.68,235.18,239.22,237.01
431,M,False,11829.0,8908.7,5119.4,5566.2,8288.1
432,M,False,3027.7,3163.3,3023.4,2310.0,2313.4
433,M,True,180.74,365.14,369.1,392.13,218.85
434,M,False,369.1,392.13,218.85,213.86,234.56
435,M,False,282.49,313.11,609.92,617.12,759.82
436,M,True,363630.0,542610.0,242170.0,294180.0,644180.0
437,M,True,171350.0,184980.0,176750.0,164850.0,161230.0
438,M,False,199450.0,239520.0,240680.0,251500.0,268890.0
439,M,False,312880.0,311500.0,292070.0,312620.0,324550.0
440,M,False,324550.0,303040.0,286330.0,298710.0,300120.0
441,M,False,302600.0,323670.0,317330.0,306610.0,292180.0
442,M,True,547120.0,506840.0,517920.0,474170.0,516240.0
443,M,False,510520.0,483590.0,519820.0,548060.0,510500.0
444,M,True,503200.0,504480.0,511140.0,525450.0,577980.0
445,M,True,891640.0,867380.0,887670.0,808790.0,811930.0
446,M,True,742610.0,749860.0,751930.0,774680.0,830860.0
447,M,False,751930.0,774680.0,830860.0,849830.0,767610.0
448,M,False,793070.0,910290.0,841850.0,875100.0,849330.0
449,M,False,787070.0,862230.0,889320.0,779360.0,765120.0
450,M,False,623050.0,738930.0,847030.0,813150.0,708440.0
451,M,True,801630.0,679750.0,699730.0,658010.0,663160.0
452,M,False,750510.0,707700.0,671350.0,747010.0,744720.0
453,M,False,763950.0,807290.0,735980.0,738080.0,738300.0
454,M,False,555130.0,567870.0,550490.0,572130.0,586150.0
455,M,False,569660.0,554220.0,522940.0,563010.0,514900.0
456,M,True,471850.0,421310.0,382570.0,361070.0,323690.0
457,M,True,406820.0,425380.0,476900.0,508970.0,491360.0
458,M,False,423470.0,432240.0,494390.0,435460.0,263040.0
459,M,False,291020.0,255940.0,262420.0,273110.0,265610.0
460,M,False,299910.0,269610.0,285030.0,290080.0,332490.0
461,M,False,292200.0,301190.0,311350.0,237330.0,257270.0
462,M,False,331950.0,286960.0,396910.0,261960.0,372600.0
463,M,False,242150.0,243540.0,244050.0,252380.0,256240.0
464,M,False,256240.0,307610.0,309320.0,267830.0,309290.0
465,M,False,433960.0,512070.0,331790.0,449510.0,600920.0
466,M,True,2810.1,807.61,619.95,338.37,502.16
467,M,False,3317.3,6496.9,3012.2,3753.5,1287.2
468,M,True,2933.7,3716.9,1711.2,4717.8,2594.3
469,M,True,2708.7,2639.2,1578.0,1641.4,1711.7
470,M,True,20864.0,18716.0,18869.0,21274.0,19409.0
471,M,False,20499.0,21906.0,22546.0,22431.0,23434.0
472,M,False,26744.0,31246.0,35042.0,36101.0,30621.0
473,M,False,22144.0,23154.0,20680.0,22019.0,20570.0
474,M,False,41933.0,43324.0,42192.0,41503.0,42827.0
475,M,True,44638.0,38005.0,33821.0,38504.0,36974.0
476,M,True,63867.0,62841.0,64219.0,64705.0,61701.0
477,M,False,29834.0,37868.0,55042.0,46957.0,45538.0
478,M,False,33331.0,29971.0,26841.0,29654.0,38243.0
479,M,True,36341.0,32927.0,30257.0,35298.0,36234.0
480,M,True,42382.0,41828.0,41567.0,39918.0,40526.0
481,M,False,39663.0,41772.0,37731.0,35992.0,36742.0
482,M,False,30639.0,28242.0,35963.0,25293.0,23055.0
483,M,False,1436.0,1782.2,1733.2,1598.5,1614.3
484,M,True,77203.0,88969.0,74311.0,77078.0,88506.0
