,FLARE_TYPE,COINCIDENCE,MEANGBT_1,MEANGBT_2,MEANGBT_3,MEANGBT_4,MEANGBT_5
851,B,False,125.78,126.94,132.05,133.92,136.2
852,B,False,78.08,78.191,78.496,78.274,78.317
853,B,False,119.43,137.71,131.71,146.2,137.17
854,B,False,135.39,135.76,134.51,132.55,132.44
855,B,True,49.527,50.896,46.727,48.535,47.727
856,B,False,70.49,70.633,71.418,70.359,70.146
857,B,True,86.411,85.793,85.747,84.686,84.156
858,B,False,111.0,109.94,108.29,109.33,109.24
859,B,False,135.12,134.26,135.17,133.7,134.18
860,B,True,64.321,62.204,62.303,62.674,63.097
861,B,True,62.227,61.524,62.09,62.477,62.575
862,B,True,128.5,150.6,151.54,147.64,122.35
863,B,True,70.075,70.819,71.356,71.776,72.894
864,B,False,126.65,127.09,129.09,128.18,128.61
865,B,False,121.27,123.31,123.08,122.19,120.89
866,B,True,63.113,63.795,63.987,63.312,63.405
867,B,True,140.11,145.67,146.53,148.79,151.41
868,B,False,133.05,132.74,132.47,132.29,134.05
869,B,True,94.284,94.259,94.219,92.547,92.526
870,B,True,121.98,121.19,121.46,122.08,122.64
871,B,True,125.09,127.3,127.47,126.97,128.08
872,B,True,109.33,108.49,108.62,110.18,109.33
873,B,True,95.747,96.618,98.812,101.06,102.75
874,B,True,109.5,110.35,108.71,112.51,113.15
875,B,True,39.591,40.603,40.686,40.01,41.229
876,B,True,130.03,131.97,128.74,124.65,124.73
877,B,False,108.9,110.07,108.08,107.63,107.88
878,B,False,115.87,116.48,114.05,112.69,110.85
879,B,True,115.65,115.06,116.05,116.51,116.5
880,B,False,131.73,133.28,132.92,132.6,133.03
881,B,False,139.16,144.44,144.11,135.52,135.29
882,B,True,118.42,117.59,118.08,115.82,116.87
883,B,True,130.78,129.56,130.08,130.56,128.68
884,B,False,162.59,155.79,155.06,156.82,150.49
885,B,False,143.76,143.32,145.21,146.07,145.01
886,B,False,147.75,146.4,147.01,145.21,144.94
887,B,True,54.651,54.072,54.297,52.974,56.841
888,B,False,118.96,120.19,120.19,120.93,120.41
889,B,True,122.7,124.32,128.05,129.24,128.89
890,B,True,62.151,59.246,63.06,63.329,63.736
891,B,True,29.76,32.552,35.669,42.945,76.614
892,B,True,105.69,105.88,102.8,103.46,104.63
893,B,False,100.74,98.781,100.5,100.21,101.2
894,B,False,106.76,106.54,107.55,108.89,110.3
895,B,False,125.3,127.97,127.64,128.44,127.88
896,B,False,60.269,62.162,60.413,60.792,61.237
897,B,False,111.53,100.95,107.41,107.24,67.191
898,B,False,127.41,125.45,124.0,122.03,121.52
899,B,False,134.37,134.38,135.05,137.17,134.29
900,B,False,126.91,125.53,122.67,122.55,121.73
901,B,True,136.42,136.04,134.88,141.99,139.62
902,B,True,140.96,138.54,141.23,137.01,137.59
903,B,False,111.66,113.55,113.46,113.44,114.5
904,B,False,133.31,132.65,135.72,136.45,139.19
905,B,True,102.71,103.21,103.37,102.98,102.6
906,B,False,74.478,73.988,74.707,74.678,75.25
907,B,True,173.6,170.84,175.57,181.08,177.22
908,B,False,133.0,139.34,139.01,136.67,136.56
909,B,False,131.59,129.22,130.46,128.54,133.0
910,B,True,36.364,35.831,56.43,56.182,48.85
911,B,False,140.25,141.73,134.81,128.6,144.79
912,B,False,104.21,106.19,105.96,108.06,107.94
913,B,True,147.27,142.86,142.13,143.45,142.66
914,B,False,114.37,112.77,110.67,110.16,107.88
915,B,False,96.652,97.028,98.052,101.06,100.77
916,B,False,109.71,111.34,112.99,116.07,118.23
917,B,False,68.171,69.252,69.281,68.974,68.643
918,B,False,105.96,107.5,111.0,111.9,114.8
919,B,False,147.44,146.96,144.84,142.34,142.51
920,B,False,87.982,89.972,90.522,89.148,89.276
921,B,True,136.85,135.3,137.35,138.74,137.75
922,B,False,181.18,194.24,189.99,191.02,193.58
923,B,True,114.82,112.86,111.93,109.95,112.73
924,B,False,116.41,115.33,116.47,117.47,117.9
925,B,False,122.73,125.07,124.96,124.65,124.89
926,B,True,125.81,124.86,128.15,128.07,122.06
927,B,True,114.92,112.27,113.41,114.53,113.07
928,B,False,98.957,101.18,99.135,101.33,99.258
929,B,False,121.18,120.03,119.25,118.86,118.03
930,B,False,62.024,62.593,62.624,56.217,58.122
931,B,False,76.788,76.783,76.357,76.493,76.835
932,B,True,42.156,46.266,42.442,42.613,48.488
933,B,False,140.42,140.71,141.91,144.27,141.56
