,FLARE_TYPE,COINCIDENCE,MEANPOT_1,MEANPOT_2,MEANPOT_3,MEANPOT_4,MEANPOT_5
180,M,True,6614.0,6564.1,6486.5,6381.0,6295.9
181,M,False,6016.6,5961.8,5879.8,5848.2,5920.4
182,M,True,5369.7,5404.4,5441.0,5464.1,5451.6
183,M,False,5313.3,5424.9,5568.6,5643.8,5673.0
184,M,True,6789.1,6980.0,7045.4,7270.3,7177.3
185,M,False,5908.8,5943.4,6021.0,6024.5,6048.9
186,M,True,11245.0,11210.0,11208.0,11216.0,11312.0
187,M,False,13630.0,13474.0,13237.0,13088.0,12770.0
188,M,False,12384.0,12344.0,12343.0,12315.0,12365.0
189,M,True,11107.0,11096.0,10993.0,10879.0,10902.0
190,M,True,12137.0,12160.0,12027.0,11980.0,11950.0
191,M,True,11957.0,12075.0,12062.0,12010.0,11966.0
192,M,True,12308.0,12383.0,12456.0,12609.0,12754.0
193,M,False,10574.0,10764.0,10670.0,10748.0,10763.0
194,M,True,12146.0,12173.0,12236.0,12178.0,12303.0
195,M,False,12512.0,12507.0,12459.0,12505.0,12534.0
196,M,False,12624.0,12611.0,12589.0,12613.0,12624.0
197,M,True,12723.0,12620.0,12559.0,12550.0,12519.0
198,M,True,12519.0,12476.0,12411.0,12356.0,12249.0
199,M,False,12064.0,12052.0,12161.0,12360.0,12581.0
200,M,False,2367.6,2567.3,3058.3,3932.1,3994.0
201,M,True,13003.0,12990.0,13020.0,13002.0,12968.0
202,M,False,12968.0,12953.0,12788.0,12795.0,12843.0
203,M,False,12801.0,12898.0,12977.0,13005.0,13190.0
204,M,True,13082.0,13248.0,13347.0,13495.0,13644.0
205,M,False,14072.0,14154.0,14195.0,14195.0,14230.0
206,M,True,14240.0,14226.0,14156.0,14152.0,14228.0
207,M,False,14250.0,14166.0,14233.0,14232.0,14143.0
208,M,True,13455.0,13612.0,13683.0,13705.0,13921.0
209,M,False,13948.0,13888.0,13917.0,13879.0,13827.0
210,M,True,13448.0,13422.0,13435.0,13539.0,13510.0
211,M,False,13216.0,13050.0,13047.0,13087.0,13063.0
212,M,False,14261.0,14534.0,14413.0,14312.0,14388.0
213,M,False,7187.0,7008.2,7367.7,7489.0,7341.1
214,M,True,14032.0,13925.0,13830.0,13871.0,13781.0
215,M,True,12914.0,12740.0,12738.0,12712.0,12592.0
216,M,False,12368.0,12409.0,12386.0,12435.0,12492.0
217,M,False,12363.0,12255.0,12197.0,12302.0,12162.0
218,M,False,11866.0,11758.0,11811.0,11758.0,11629.0
219,M,True,11837.0,11533.0,11807.0,11693.0,11740.0
220,M,False,12473.0,12538.0,12659.0,12732.0,12786.0
221,M,False,12804.0,12759.0,12738.0,12726.0,12746.0
222,M,False,12418.0,12284.0,12207.0,12202.0,12108.0
223,M,False,8251.5,8216.0,8210.5,8183.6,8135.8
224,M,False,7887.8,7849.2,7963.8,7874.3,7873.6
225,M,True,6304.5,6376.1,6400.5,6477.5,6423.1
226,M,False,6697.8,6691.4,6680.8,6618.6,6554.4
227,M,False,8017.3,7918.0,7870.7,7821.8,7820.6
228,M,False,3750.7,3769.9,3747.4,3750.0,3699.2
229,M,False,2070.5,2029.2,2644.2,3249.1,2091.1
230,M,False,2644.2,3249.1,2091.1,3386.1,5129.6
231,M,False,5704.0,5783.8,5721.1,5679.0,5683.7
232,M,False,3541.3,3523.6,2645.5,3526.8,3523.7
233,M,False,3994.9,3950.1,3939.7,3864.3,3826.1
234,M,False,4546.1,4448.3,4331.5,4274.7,4221.0
235,M,True,10849.0,12406.0,15668.0,16792.0,22783.0
236,M,True,10962.0,10987.0,10640.0,10814.0,10730.0
237,M,True,10402.0,10200.0,10411.0,10282.0,9957.0
238,M,False,9459.2,9383.0,9781.6,9948.0,9560.0
239,M,True,7914.0,7997.1,7782.5,7630.7,7459.5
240,M,False,7931.3,8029.6,7796.2,7676.5,7738.3
241,M,False,7916.0,8049.9,7840.4,7675.6,7705.2
242,M,True,5812.9,5783.4,5793.5,5814.2,5858.7
243,M,False,6919.5,6953.0,6913.5,6932.9,6922.2
244,M,False,7301.8,7247.9,7374.3,7363.4,7477.9
245,M,False,3246.4,3188.6,3113.7,3119.2,3088.0
246,M,False,10569.0,10723.0,10585.0,10612.0,10769.0
247,M,False,9175.0,9215.9,9304.6,9376.1,9344.9
248,M,True,11514.0,11461.0,11415.0,11446.0,11466.0
249,M,False,12512.0,12529.0,12512.0,12397.0,12361.0
250,M,True,6155.6,6178.7,6173.4,6186.5,6157.5
251,M,False,5989.9,6086.5,6004.9,6005.0,5991.5
252,M,False,3616.8,3256.0,3379.5,3328.4,3121.7
253,M,False,6912.6,6765.3,6677.7,6737.1,6788.1
254,M,False,7565.6,7501.0,7436.5,7313.7,7177.5
255,M,False,9844.7,9944.1,10017.0,9954.0,9803.3
256,M,False,12776.0,12835.0,12779.0,12749.0,12833.0
257,M,False,8455.2,8490.0,8407.2,8321.7,8157.2
258,M,False,4718.6,4623.9,4448.8,4403.1,4299.0
259,M,False,4453.2,4460.8,4597.3,4627.1,4650.4
260,M,True,6469.2,6401.5,6273.1,6416.2,6438.2
261,M,False,5901.8,5929.4,5966.2,5998.1,6005.9
262,M,False,2971.9,2945.2,2930.5,2944.6,2876.8
263,M,False,2199.2,2260.8,2253.4,2289.9,2269.3
264,M,False,8869.0,8978.9,9058.9,9127.1,9170.0
265,M,False,5598.9,5730.3,5675.2,5581.6,5590.2
266,M,False,15945.0,15431.0,15276.0,14882.0,15124.0
267,M,False,4511.2,4489.8,4481.1,4408.1,4310.6
268,M,False,8103.7,8218.1,8208.5,7940.2,8227.0
269,M,False,6060.1,6139.9,6178.0,6451.4,6435.0
270,M,True,15302.0,15419.0,15478.0,15607.0,15882.0
271,M,False,15607.0,15882.0,15664.0,15799.0,15453.0
272,M,False,3878.3,3654.5,3725.9,3671.5,3793.2
273,M,False,7353.3,7334.9,7287.2,7263.2,7340.2
274,M,True,6448.5,6458.3,6425.4,6525.5,6507.1
275,M,False,7451.3,7445.9,7443.6,7431.7,7351.2
276,M,True,4441.6,4488.3,4571.5,4577.8,4586.9
277,M,False,8015.5,7987.3,7869.0,7647.6,7492.7
278,M,True,8103.6,8095.9,8135.5,8196.7,8236.5
279,M,True,11229.0,11502.0,11612.0,11655.0,11845.0
280,M,False,13045.0,13251.0,13277.0,13358.0,13429.0
281,M,False,13277.0,13358.0,13429.0,13727.0,13869.0
282,M,False,10906.0,10883.0,10914.0,10856.0,10893.0
283,M,False,15157.0,15494.0,15592.0,15727.0,15650.0
284,M,False,15727.0,15650.0,15950.0,16006.0,16063.0
285,M,True,0.0,0.0,0.0,0.0,0.0
286,M,True,9819.9,9189.1,9319.2,9099.6,9408.1
287,M,True,16983.0,16136.0,16118.0,16329.0,16001.0
288,M,False,13867.0,14372.0,13775.0,13606.0,14131.0
289,M,False,14843.0,14385.0,14739.0,14637.0,14251.0
290,M,False,13996.0,13706.0,13733.0,14438.0,13898.0
291,M,False,14931.0,15041.0,15580.0,15611.0,15172.0
292,M,True,11030.0,10972.0,11057.0,11093.0,11154.0
293,M,False,10031.0,9980.8,10024.0,9810.3,9813.4
294,M,False,8677.4,8674.5,8620.1,8660.2,8639.4
295,M,False,10415.0,10553.0,10887.0,10862.0,10730.0
296,M,True,14852.0,14752.0,14619.0,14475.0,14537.0
297,M,False,14619.0,14475.0,14537.0,14133.0,14051.0
298,M,False,10776.0,10873.0,10699.0,10580.0,10534.0
299,M,False,5459.2,5448.8,5538.3,5643.7,5655.7
300,M,False,10705.0,10539.0,10382.0,10374.0,10268.0
301,M,True,9716.7,9779.9,9841.6,9878.4,9783.5
302,M,False,10577.0,10717.0,10850.0,10870.0,10749.0
303,M,True,10340.0,10452.0,10438.0,10370.0,10511.0
304,M,True,10063.0,10031.0,10276.0,10474.0,10552.0
305,M,True,11996.0,12142.0,12244.0,12126.0,12262.0
306,M,True,12984.0,13104.0,13001.0,12934.0,12818.0
307,M,True,12777.0,12562.0,12381.0,12200.0,12006.0
308,M,False,9340.2,9547.0,9525.0,9405.8,9700.9
309,M,False,5606.0,5564.3,5868.9,5755.3,5671.4
310,M,False,7343.2,7316.2,7181.4,7104.8,7008.7
311,M,False,14148.0,13990.0,13943.0,13947.0,13953.0
312,M,True,10810.0,10847.0,11072.0,11206.0,11561.0
313,M,True,11578.0,11445.0,11317.0,11283.0,11263.0
314,M,False,9501.0,9588.5,9576.6,9509.2,9621.9
315,M,False,11385.0,11359.0,10391.0,11866.0,11977.0
316,M,True,17950.0,17936.0,17704.0,17471.0,17270.0
317,M,False,14886.0,14939.0,14955.0,15097.0,15173.0
318,M,False,5755.7,5862.2,5930.3,5979.3,5992.6
319,M,True,15081.0,14827.0,15559.0,14977.0,15139.0
320,M,False,15028.0,15083.0,15246.0,15014.0,15278.0
321,M,True,8633.6,8740.5,8947.7,8869.2,8975.3
322,M,False,8869.2,8975.3,8934.8,8951.9,8922.3
