,FLARE_TYPE,COINCIDENCE,TOTUSJH_1,TOTUSJH_2,TOTUSJH_3,TOTUSJH_4,TOTUSJH_5
1711,B,False,758.62,756.49,750.43,746.11,742.06
1712,B,False,65.568,67.696,69.003,73.568,69.785
1713,B,False,209.77,210.04,210.53,209.3,212.3
1714,B,False,287.29,305.38,331.77,355.78,368.28
1715,B,False,191.73,193.32,192.69,200.01,201.45
1716,B,False,157.7,152.59,144.45,170.78,162.55
1717,B,False,71.204,78.518,89.773,105.37,106.72
1718,B,False,220.84,226.1,219.95,222.98,213.05
1719,B,False,443.94,444.85,451.63,454.33,481.5
1720,B,False,516.28,519.7,521.69,504.1,498.31
1721,B,False,546.7,560.47,575.73,577.57,584.89
1722,B,False,131.86,135.6,138.06,144.22,140.8
1723,B,False,99.145,99.243,103.76,104.45,98.988
1724,B,False,335.8,331.47,331.04,327.16,338.76
1725,B,False,335.99,342.41,346.88,346.76,341.44
1726,B,False,39.657,38.849,39.416,41.977,44.092
1727,B,False,632.07,627.48,631.04,619.79,619.55
1728,B,False,301.51,299.22,301.37,299.23,297.53
1729,B,False,325.18,324.75,328.42,342.11,348.6
1730,B,False,323.61,332.35,330.34,356.21,356.84
1731,B,False,84.016,83.642,83.112,82.847,84.94
1732,B,False,232.8,267.17,275.54,268.29,291.46
1733,B,False,313.17,314.96,322.74,310.25,302.83
1734,B,False,1153.4,1135.5,1141.4,1128.1,1111.2
1735,B,False,116.28,109.62,101.89,102.21,104.13
1736,B,False,309.99,326.65,320.99,341.19,341.06
1737,B,False,520.99,520.69,526.3,539.9,545.64
1738,B,False,474.78,456.34,432.04,434.04,421.82
1739,B,False,327.7,324.58,331.39,345.76,360.25
1740,B,False,473.86,469.76,501.43,515.95,515.78
1741,B,False,330.26,333.35,346.13,332.11,351.97
1742,B,False,605.68,597.16,597.03,598.43,589.28
1743,B,False,744.29,754.35,754.39,766.63,779.34
1744,B,False,846.9,845.32,842.02,852.83,840.95
1745,B,False,2234.8,2264.7,2312.2,2306.6,2295.0
1746,B,False,355.62,349.76,346.79,340.8,347.53
1747,B,False,185.34,191.16,190.31,186.96,186.45
1748,B,True,1403.4,1392.7,1394.7,1392.5,1420.7
1749,B,False,1377.7,1376.8,1370.9,1371.0,1350.4
1750,B,False,507.58,498.56,513.54,494.41,490.48
1751,B,False,136.22,134.01,133.43,132.02,127.23
1752,B,False,80.619,77.78,84.072,87.806,87.671
1753,B,False,128.64,123.66,120.21,124.63,121.54
1754,B,False,170.97,170.34,166.54,163.99,161.57
1755,B,False,754.55,750.32,724.53,719.19,724.67
1756,B,False,504.95,481.02,468.72,465.84,445.83
1757,B,False,488.01,498.87,504.04,500.05,497.16
1758,B,False,76.428,83.491,78.749,78.173,75.755
1759,B,False,209.27,202.94,199.26,204.7,206.85
1760,B,False,294.24,296.43,286.68,285.66,282.65
1761,B,False,560.37,567.33,563.12,554.94,556.12
1762,B,False,138.73,139.81,135.21,136.24,132.33
1763,B,False,360.66,355.23,348.49,351.05,334.15
1764,B,False,522.58,522.47,530.32,525.7,523.0
1765,B,False,982.48,978.94,987.5,999.86,1001.5
1766,B,False,352.25,331.97,338.1,336.31,338.49
1767,B,False,185.07,184.89,196.6,198.06,197.99
1768,B,False,8.284,7.1736,9.1561,18.867,32.022
1769,B,False,150.22,156.01,145.37,145.89,161.29
1770,B,False,823.73,826.84,835.79,836.78,820.82
1771,B,False,382.98,374.36,386.06,393.01,388.26
1772,B,False,1351.0,1361.6,1373.5,1370.4,1372.4
1773,B,False,426.82,431.95,429.16,440.85,449.62
1774,B,False,648.24,638.49,637.81,649.9,655.47
1775,B,False,974.94,968.45,970.35,965.72,957.07
1776,B,False,136.24,154.79,153.95,172.69,164.67
1777,B,False,349.68,368.87,342.1,344.37,345.17
1778,B,False,442.46,446.37,439.94,431.59,436.75
1779,B,False,93.331,91.246,92.106,98.54,96.868
1780,B,False,705.64,695.62,704.76,693.98,693.89
1781,B,False,663.05,668.22,663.29,662.17,657.24
1782,B,False,243.82,245.74,240.59,239.74,235.39
1783,B,False,531.57,526.91,524.26,525.06,519.53
1784,B,False,97.373,93.867,97.506,98.415,89.871
1785,B,False,786.91,797.59,796.22,815.5,813.03
1786,B,False,176.79,185.32,185.65,185.79,182.99
1787,B,False,494.36,482.03,480.85,479.23,482.06
1788,B,False,0.0,0.0,0.23515,0.74087,0.45166
1789,B,False,472.12,467.23,468.93,470.94,466.76
1790,B,False,214.34,203.66,202.31,200.14,201.32
1791,B,False,501.5,507.43,489.15,487.89,486.95
1792,B,False,23.016,21.93,23.009,20.397,22.386
1793,B,False,36.81,37.915,37.077,38.331,38.023
