,FLARE_TYPE,COINCIDENCE,MEANJZH_1,MEANJZH_2,MEANJZH_3,MEANJZH_4,MEANJZH_5
2018,N,False,0.0034657,0.0025483,0.0037983,0.0062858,0.0078588
2019,N,False,-0.0002906,0.00028243,0.00063381,0.00094049,0.0010022
2020,N,False,-0.011101,-0.010126,-0.012007,-0.013145,-0.014306
2021,N,False,-0.0055516,-0.0058799,-0.0059913,-0.0060121,-0.0057388
2022,N,False,-0.011101,-0.010126,-0.012007,-0.013145,-0.014306
2023,N,False,0.0086952,0.0088939,0.0089401,0.0080511,0.0086051
2024,N,False,-0.0047259,-0.0034911,-0.0034153,-0.0024897,-0.0054993
2025,N,False,-0.020524,-0.016301,-0.013344,-0.016264,-0.013905
2026,N,False,-0.0059986,-0.0050997,-0.004637,-0.0042789,-0.004938
2027,N,False,-0.0028061,-0.0017423,-0.0010409,-0.0019072,-0.0012133
2028,N,False,0.0011855,0.00066342,0.00029868,0.001627,0.0017409
2029,N,False,0.00050359,0.00052072,0.00018404,7.1677e-05,0.00011512
2030,N,False,0.0061819,0.0058359,0.0062003,0.0056111,0.0058857
2031,N,False,-0.0055422,-0.0056471,-0.0054567,-0.0059457,-0.0061766
2032,N,False,0.0021586,0.0018497,0.0021189,0.0023678,0.0022795
2033,N,False,0.010896,0.010246,0.010668,0.010406,0.010356
2034,N,False,-0.0034189,-0.0016751,-0.0010606,-0.0033454,-0.0040339
2035,N,False,0.0028481,0.003942,0.0035355,0.0014257,0.00054982
2036,N,False,-0.0061119,-0.0063467,-0.0065133,-0.0060768,-0.005814
2037,N,False,-0.0054637,-0.0041837,-0.0060148,-0.0049683,-0.0060002
2038,N,False,0.00028834,-0.00085826,0.0013709,0.0044612,0.003821
2039,N,False,0.0010588,0.0013127,0.00079239,0.0015288,0.0013209
2040,N,False,0.0024938,0.0046953,0.0033764,0.0037298,0.0037879
2041,N,False,0.0017602,-0.0011683,-0.0016974,-0.0024383,-0.0011036
2042,N,False,0.0058855,0.0061846,0.0061963,0.0059077,0.0062336
2043,N,False,0.0094313,0.010559,0.010063,0.0094451,0.0091319
2044,N,False,-0.0062225,-0.0059604,-0.0082743,-0.0098453,-0.010404
2045,N,False,0.0029287,0.003424,0.0039787,0.0030912,0.0038223
2046,N,False,0.0056101,0.0086845,-0.0013494,-0.0048431,-0.0048485
2047,N,False,-0.0064743,-0.0075469,-0.0035262,-0.0040562,-0.0085155
2048,N,False,0.01224,0.013402,0.012967,0.014988,0.013228
2049,N,False,-0.014268,-0.010409,-0.013309,-0.011233,-0.010149
2050,N,False,0.014219,0.012852,0.0088176,0.011665,0.011458
2051,N,False,0.00049758,0.00089348,0.0014374,0.001057,0.0024996
2052,N,False,-0.0054291,-0.0062019,-0.0053577,-0.0045977,-0.0059306
2053,N,False,0.01249,0.012594,0.013898,0.014277,0.014767
2054,N,False,0.0018714,0.0014409,0.0011384,0.00067426,0.00045093
2055,N,False,0.0031448,0.0033838,0.0030964,0.0026543,0.0022955
2056,N,False,-0.0037828,-0.0041625,-0.0026995,-0.0049045,-0.0027446
2057,N,False,-0.022133,-0.024409,-0.015194,-0.019512,-0.018056
2058,N,False,0.0036728,0.0026815,0.0035253,0.0045594,0.0040126
2059,N,False,-0.0054615,-0.0029633,-0.0048875,-0.0092362,-0.0059975
2060,N,False,0.0029382,0.002804,0.0025843,0.0029281,0.0030829
2061,N,False,-0.00024098,-0.00023402,-0.0012207,-0.0010328,-0.00087405
2062,N,False,0.0033547,0.0042973,0.0033372,0.0034812,0.004416
2063,N,False,0.0046234,0.0041627,0.0041996,0.0053808,0.0051213
2064,N,False,0.0005217,-0.00070302,0.0013484,0.00056319,0.00055107
2065,N,False,0.0039056,0.0037018,0.0037614,0.0035359,0.0038779
2066,N,False,-0.0066384,-0.0068501,-0.0065244,-0.006639,-0.0069332
2067,N,False,-0.0044026,-0.003825,-0.003642,-0.0036547,-0.0036241
2068,N,False,-0.01706,-0.017925,-0.020511,-0.022807,-0.024384
2069,N,False,0.0032163,0.0037736,0.0036642,0.0031297,0.0041491
2070,N,False,0.0050001,0.0067816,0.0072963,0.010513,0.0085314
2071,N,False,-0.0030909,-0.0019425,-0.0016218,-0.0018322,-0.00088006
2072,N,False,0.0025813,0.0028841,0.0032572,0.0037927,0.0038395
2073,N,False,-0.0013897,-0.001648,0.00076855,-0.0032151,-0.0013753
2074,N,False,-0.012136,-0.011599,-0.012924,-0.013018,-0.013021
2075,N,False,-0.010839,-0.010662,-0.010557,-0.010781,-0.012099
2076,N,False,0.0032661,0.0028744,0.0037398,0.0029825,0.0027233
2077,N,False,0.0006879,0.0030621,0.00093541,0.0013241,0.0029512
2078,N,False,0.0013224,-0.0007521,-0.0013881,-0.0040772,-0.0048631
2079,N,False,0.022015,0.020326,0.023563,0.024031,0.022438
2080,N,False,0.0070051,0.0028929,0.0002245,0.0,0.0
2081,N,False,-0.0010191,-0.00047218,-0.0018234,-0.0018426,-0.00014686
2082,N,False,-0.00080736,-0.00091897,-0.00045804,-0.0014531,-0.0013166
2083,N,False,-0.015199,-0.015392,-0.015949,-0.015623,-0.016527
2084,N,False,0.0032947,0.0034935,0.0029197,0.00293,0.0038841
2085,N,False,-0.0012799,-0.0014949,-0.0021153,-0.0019659,-0.0013389
2086,N,False,0.0015073,0.0011113,0.00083099,0.0016432,0.0014725
2087,N,False,0.012147,0.013318,0.0099787,0.010062,0.008693
2088,N,False,-0.0091224,-0.0086134,-0.0080653,-0.0077934,-0.0098981
2089,N,False,0.0051418,0.0054101,0.0052281,0.005462,0.0056297
2090,N,False,-0.0047003,-0.0034888,-0.0048343,-0.0048083,-0.004882
2091,N,False,0.0052253,0.0038498,0.0041546,0.0047518,0.003496
2092,N,False,0.0052253,0.0038498,0.0041546,0.0047518,0.003496
2093,N,False,0.007244,0.0082294,0.0079729,0.0066324,0.0070361
2094,N,False,-0.0062224,-0.0053606,-0.0055574,-0.0067835,-0.00656
2095,N,False,-0.011991,-0.012642,-0.010266,-0.0065408,-0.0081949
2096,N,False,0.00486,0.0061197,0.0052682,0.0064557,0.0062157
2097,N,False,0.0043204,0.0041871,0.0040787,0.00412,0.0039116
2098,N,False,0.00718,0.0056555,0.0070054,0.0046315,0.0014118
2099,N,False,0.011468,0.0098574,0.0082031,0.0080065,0.0080705
2100,N,False,0.0049887,0.004194,0.0041336,0.0032621,0.0020906
2101,N,False,-0.00037295,0.001665,0.00039673,-0.0010791,-0.0008984
2102,N,False,0.0023389,0.0036379,0.0010243,0.0049714,0.00061325
2103,N,False,-0.0062306,-0.010757,-0.0073863,-0.009385,-0.010135
2104,N,False,-0.0003017,-0.00060001,0.00016335,-0.0001882,1.2054e-05
2105,N,False,0.0014471,0.00043765,0.00055296,0.00041494,0.00030961
2106,N,False,0.017068,0.0090896,0.010354,0.011741,0.0084256
2107,N,False,-0.016185,-0.015983,-0.015884,-0.015926,-0.016007
2108,N,False,8.7699e-05,0.002742,0.00014574,0.0017414,0.00097913
2109,N,False,-3.5121e-05,8.1919e-05,-0.00062536,-0.00031619,8.8297e-05
2110,N,False,0.0014573,0.00014699,0.0021051,0.00086504,0.0014513
2111,N,False,0.0028429,0.0030168,0.0026032,0.0031123,0.0027983
2112,N,False,0.01869,0.015696,0.015067,0.014906,0.014068
2113,N,False,0.010652,0.01,0.010616,0.010657,0.010587
