,FLARE_TYPE,COINCIDENCE,slf_1,slf_2,slf_3,slf_4,slf_5
471,M,False,13.584,13.28,13.493,13.461,13.289
472,M,False,12.541,12.643,12.405,12.433,12.846
473,M,False,13.414,13.5,13.676,13.461,13.423
474,M,False,10.309,10.318,10.244,10.165,10.248
475,M,True,20.19,22.848,22.487,21.94,21.715
476,M,True,20.546,18.782,24.302,24.323,16.539
477,M,False,18.88,18.661,16.986,17.157,16.807
478,M,False,12.359,12.549,12.444,12.482,12.346
479,M,True,10.874,10.767,10.786,10.7,10.879
480,M,True,10.826,10.98,10.915,10.87,10.907
481,M,False,11.449,11.354,11.453,11.146,11.229
482,M,False,11.45,11.475,10.821,11.435,11.368
483,M,False,46.212,46.538,46.807,47.462,48.281
484,M,True,32.528,32.22,32.248,32.081,31.655
485,M,True,17.183,17.225,17.065,16.751,17.402
486,M,False,33.275,33.402,33.205,33.221,33.861
487,M,True,18.008,18.217,18.226,18.427,18.506
488,M,True,26.695,26.813,26.855,26.965,27.087
489,M,False,11.277,11.206,11.276,11.226,11.207
490,M,False,32.076,32.945,31.118,28.915,33.553
491,M,False,11.097,11.093,11.091,11.197,11.326
492,M,False,11.179,11.267,11.324,11.288,11.281
493,M,False,13.125,13.016,13.055,13.193,13.096
494,M,False,25.052,24.884,24.896,24.53,24.479
495,M,False,20.774,20.925,21.14,20.97,21.143
496,M,False,7.0222,6.683,5.1499,11.443,4.8617
497,M,True,21.082,21.399,21.006,21.209,21.323
498,M,False,20.016,19.81,20.124,19.961,19.865
499,M,False,19.833,19.778,19.769,19.794,19.625
500,M,False,40.47,39.519,39.669,39.688,39.183
501,M,False,51.452,52.54,52.48,52.613,52.593
502,M,False,73.232,72.787,69.883,73.423,79.427
503,M,False,0.0,0.0,0.0,0.0,0.0
504,M,False,31.484,21.393,24.164,29.44,14.789
