,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,AREA_ACR_1,MEANGAM_1,MEANGBH_1,MEANGBT_1,MEANGBZ_1,MEANJZD_1,MEANJZH_1,MEANPOT_1,MEANSHR_1,R_VALUE_1,SAVNCPP_1,SHRGT45_1,TOTPOT_1,TOTUSJH_1,TOTUSJZ_1,USFLUX_1,d_l_f_1,g_s_1,slf_1
67,M,False,732.3399999999999,1121.6599999999999,47.687200000000004,61.915,101.08,110.652,-0.0272106,0.016051199999999998,10970.0,40.721199999999996,5.00808,26106800000000.0,36.938599999999994,6.64736e+23,3157.82,53194600000000.0,3.25238e+22,206.86999999999998,37108.8,10.209399999999999
68,M,False,,,,,,,,,,,,,,,,,,,,
69,M,False,,,,,,,,,,,,,,,,,,,,
70,M,False,,,,,,,,,,,,,,,,,,,,
71,M,False,519.8340000000001,593.9060000000001,33.1356,40.7894,77.4682,83.28359999999999,-0.185568,0.014944600000000002,4968.879999999999,27.475800000000003,4.432779999999999,26419000000000.0,14.225,2.2958999999999997e+23,1536.8799999999997,27864000000000.0,2.46122e+22,177.81,3608.38,19.484
72,M,True,752.6599999999999,2068.8599999999997,45.6198,57.9966,99.84079999999999,109.43999999999998,-0.0170544,0.01008052,11923.0,39.587599999999995,4.99516,52249400000000.0,36.1726,1.1822399999999999e+24,4411.0599999999995,82333600000000.0,5.3971600000000006e+22,186.962,73023.4,8.36888
73,M,True,287.75200000000007,914.9960000000001,38.7686,53.3812,99.2062,107.894,-0.177278,-0.00694772,5396.139999999999,31.595799999999997,4.53498,8577260000000.0,21.699400000000004,2.97118e+23,2135.08,38726200000000.0,2.96972e+22,201.70600000000002,4870.660000000001,21.8868
74,M,False,650.8620000000001,2115.16,44.4668,53.5894,93.68820000000001,103.68199999999999,0.053993200000000005,0.0080485,11115.2,38.8606,5.0784199999999995,41324200000000.0,34.3704,1.19346e+24,4294.859999999999,82318600000000.0,5.66348e+22,184.81199999999998,56488.8,8.229319999999998
75,M,False,580.3399999999999,2120.94,44.995400000000004,55.476200000000006,96.207,106.68200000000002,-0.01225886,0.007827919999999999,11877.6,39.3078,5.05366,35854200000000.0,35.586,1.16934e+24,4162.660000000001,77875400000000.0,5.39224e+22,185.834,69436.8,8.24794
76,M,False,62.64639999999999,961.842,50.919000000000004,56.0028,92.43039999999999,97.3792,0.12804980000000002,-0.0019095000000000002,10883.0,43.6256,4.33638,2881060000000.0,44.2986,4.740340000000001e+23,1594.06,32894600000000.0,2.2272600000000004e+22,262.788,8328.34,15.573400000000001
77,M,False,615.01,1950.3200000000002,41.1742,49.2466,90.7734,99.3428,-0.069212,0.00744774,9876.0,28.713,4.8563,34569600000000.0,29.244999999999997,1.0832399999999998e+24,4204.58,75881600000000.0,6.05898e+22,192.632,43150.4,9.100159999999999
78,M,True,,,,,,,,,,,,,,,,,,,,
