index,nar,time_start,xray_class,time_peak,time_end,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,R_VALUE,AREA_ACR,g_s,slf,d_l_f
163,11546,2012-08-19 21:24:00,NULL,not applicable,not applicable,3.4840842105263153e+21,46.72984210526316,87.85847368421052,88.5299298245614,45.55754385964912,-0.2851205263157895,4033378947368.421,0.0078275824561403,185.3022807017544,42.22675438596491,2119063157894.7368,8847.273684210528,6.302715789473684e+22,39.2241052631579,37.49398245614035,3.3221859649122805,118.68789473684213,,,
164,11547,2012-08-19 21:24:00,NULL,not applicable,not applicable,9.336298245614037e+20,40.70836842105263,156.5940350877193,159.02175438596495,84.67624561403508,0.1240833859649123,1768607017543.8596,-0.0125555666666666,96.28763157894736,18.093594736842103,845398596491.228,2447.5929824561404,4.698249122807018e+21,25.58556140350877,9.462926315789474,2.410105555555555,121.33684210526316,,,
165,11549,2012-08-20 18:12:00,NULL,not applicable,not applicable,1.0728820338983052e+21,30.29496610169492,147.2906779661017,146.98728813559325,63.34230508474577,0.1091931016949152,1353413559322.034,0.0018176046610169,69.38515254237288,3.216780305084746,406737101694.9153,2470.238983050848,4.885272881355931e+21,23.073830508474572,4.10341186440678,1.956225,49.83047457627119,50.9284,11.976355172413792,30.056220689655174
166,11550,2012-08-21 11:12:00,NULL,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,
167,11551,2012-08-22 23:12:00,NULL,not applicable,not applicable,1.8946661016949157e+21,44.05666101694916,142.8586440677966,142.3857627118644,83.42949152542371,0.3756515491525424,2953435593220.339,-0.0021986287118644,158.4871186440678,6.813433050847458,569789118644.0677,4375.761016949153,1.5945237288135594e+22,30.568237288135595,16.663559322033898,2.105723076923077,132.88186440677967,93.0329152542373,56.43301694915255,186.76
168,11557,2012-09-01 07:00:00,NULL,not applicable,not applicable,5.4664915254237286e+20,33.15130508474576,154.3398305084746,151.7022033898305,70.34038983050847,0.9286974576271186,764087118644.0677,-0.0030321554745762,44.671491525423725,2.8222430508474576,369352203389.8305,3589.849152542373,3.423220338983051e+21,23.834050847457625,2.9076291525423734,2.0752526315789472,26.39883050847458,,3.656233333333333,7.893216666666667
169,11559,2012-09-01 07:00:00,NULL,not applicable,not applicable,3.679164406779661e+21,31.56310169491525,123.06118644067794,122.08406779661016,53.65669491525424,0.5627552542372881,6513469491525.424,0.0013712009152542,289.96491525423727,9.648792966101697,1991265932203.39,2160.84406779661,1.748472881355932e+22,25.32725423728813,5.972255932203391,2.7537576923076923,354.7344067796611,,,
170,11561,2012-09-02 06:00:00,NULL,not applicable,not applicable,1.5386983050847456e+21,43.69184745762712,146.33220338983054,145.47542372881358,84.87198305084745,0.8547894915254238,2459383050847.457,0.0044228541864406,130.26796610169492,9.690633898305084,1005945084745.7628,4537.254237288135,1.3336050847457628e+22,29.56803389830508,13.88684745762712,2.402348936170213,105.17432203389828,120.28057627118643,40.17274576271187,182.61830508474583
171,11570,2012-09-13 13:36:00,NULL,not applicable,not applicable,8.894696296296297e+20,30.82022222222222,157.11499999999998,154.01462962962964,64.26596296296294,-0.1522187648148148,1382066666666.6667,-0.0027038086481481,70.40029629629629,4.082241481481482,244489629629.62964,2448.8703703703704,4.308174074074074e+21,24.222018518518517,5.565059259259259,1.99995,45.74068518518519,,16.707250000000002,32.101
172,11571,2012-09-16 01:00:00,NULL,not applicable,not applicable,9.896358974358976e+21,41.95364102564102,106.50846153846156,107.59794871794873,52.96941025641026,-0.1036140923076923,12980948717948.72,0.0078664615384615,607.5641025641027,116.15405128205128,3908576923076.923,7539.515384615385,1.4809871794871796e+23,35.1892564102564,27.7365641025641,3.447423076923077,473.7289743589743,447.2188888888889,24.24611111111111,220.4844444444444
173,11572,2012-09-16 13:00:00,NULL,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,
