index,time_start,time_peak,time_end,nar,xray_class,COINCIDENCE
272,2013-10-21 05:00:00,not applicable,not applicable,11878,N,False
273,2013-10-25 11:00:00,not applicable,not applicable,11879,N,False
274,2013-10-22 23:00:00,not applicable,not applicable,11880,N,False
275,2013-10-28 08:36:00,not applicable,not applicable,11881,N,False
276,2013-10-31 14:48:00,not applicable,not applicable,11883,N,False
277,2013-10-31 08:48:00,not applicable,not applicable,11886,N,False
278,2013-11-01 08:12:00,not applicable,not applicable,11888,N,False
279,2013-11-09 14:24:00,not applicable,not applicable,11892,N,False
280,2013-11-16 14:12:00,not applicable,not applicable,11896,N,False
281,2013-11-13 15:24:00,not applicable,not applicable,11898,N,False
282,2013-11-14 21:36:00,not applicable,not applicable,11901,N,False
283,2013-11-16 15:36:00,not applicable,not applicable,11902,N,False
284,2013-11-29 07:48:00,not applicable,not applicable,11906,N,False
285,2013-11-30 13:48:00,not applicable,not applicable,11910,N,False
286,2013-12-03 12:24:00,not applicable,not applicable,11911,N,False
287,2013-12-03 08:24:00,not applicable,not applicable,11914,N,False
288,2013-12-06 03:48:00,not applicable,not applicable,11915,N,False
289,2013-12-13 09:48:00,not applicable,not applicable,11918,N,False
290,2013-12-11 11:12:00,not applicable,not applicable,11919,N,False
291,2013-12-12 23:12:00,not applicable,not applicable,11922,N,False
292,2013-12-14 16:36:00,not applicable,not applicable,11923,N,False
293,2013-12-12 10:36:00,not applicable,not applicable,11924,N,False
294,2013-12-16 21:48:00,not applicable,not applicable,11927,N,False
295,2013-12-22 03:48:00,not applicable,not applicable,11929,N,False
296,2013-12-20 17:00:00,not applicable,not applicable,11932,N,False
297,2013-12-22 05:00:00,not applicable,not applicable,11933,N,False
298,2013-12-29 05:00:00,not applicable,not applicable,11935,N,False
299,2013-12-27 17:00:00,not applicable,not applicable,11939,N,False
300,2013-12-30 10:48:00,not applicable,not applicable,11941,N,False
301,2014-01-05 04:48:00,not applicable,not applicable,11942,N,False
302,2014-01-07 16:48:00,not applicable,not applicable,11943,N,False
303,2014-01-05 13:48:00,not applicable,not applicable,11945,N,False
