,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tss,validation_tss,loss,validation_loss,hss,validation_hss
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.7595773339271545,0.7582325339317322,1.0998451709747314,1.385561227798462,,
15,15.0,15.0,15.0,15.0,15.0,0.0,,0.6838444471359253,0.7874851822853088,1.1545250415802002,1.1547157764434814,0.6416422128677368,0.7849034667015076
16,16.0,16.0,16.0,16.0,16.0,1.0,,0.7977625131607056,0.7742891311645508,1.1447259187698364,1.4893046617507937,0.7560482025146484,0.7088260054588318
17,17.0,17.0,17.0,17.0,17.0,2.0,,0.8071891069412231,0.7949250340461731,1.1093289852142334,1.421053171157837,0.7450588941574097,0.7603536248207092
18,18.0,18.0,18.0,18.0,18.0,3.0,,0.7837028503417969,0.6659010648727417,1.1194807291030884,1.3974010944366455,0.7428761124610901,0.6980543732643127
19,19.0,19.0,19.0,19.0,19.0,4.0,,0.6629689931869507,0.7264021039009094,1.3121521472930908,1.2301559448242188,0.6076847910881042,0.6936016082763672
20,20.0,20.0,20.0,20.0,20.0,5.0,,0.3243358433246612,0.2412698417901992,2.6872832775115967,3.084989786148072,0.3821872472763061,0.3211084902286529
21,21.0,21.0,21.0,21.0,21.0,6.0,,0.2418574839830398,0.2733409106731415,3.0833160877227783,2.534890651702881,0.2975015044212341,0.318250447511673
22,22.0,22.0,22.0,22.0,22.0,7.0,,0.5136760473251343,0.7260329723358154,1.9858821630477903,1.3491079807281494,0.5476900339126587,0.7009658813476562
23,23.0,23.0,23.0,23.0,23.0,8.0,,0.7539645433425903,0.7696126103401184,1.2030680179595947,1.406503438949585,0.753096342086792,0.7550608515739441
24,24.0,24.0,24.0,24.0,24.0,9.0,,0.7541497945785522,0.7628099322319031,1.1715964078903198,1.4198479652404783,0.7568462491035461,0.7416459918022156
25,25.0,25.0,25.0,25.0,25.0,10.0,,0.7559078931808472,0.7550579905509949,1.157086730003357,1.4183491468429563,0.7591263651847839,0.7306780815124512
26,26.0,26.0,26.0,26.0,26.0,11.0,,0.76665860414505,0.7473904490470886,1.1451547145843506,1.4954429864883425,0.7548755407333374,0.7379536628723145
27,27.0,27.0,27.0,27.0,27.0,12.0,,0.761551022529602,0.7625419497489929,1.168626070022583,1.4911664724349976,0.7616363763809204,0.7708451151847839
28,28.0,28.0,28.0,28.0,28.0,13.0,,0.7117716670036316,0.696367084980011,1.343364953994751,1.3491287231445312,0.6403728723526001,0.6216285824775696
29,29.0,29.0,29.0,29.0,29.0,14.0,,0.7708824872970581,0.7466688752174377,1.096569538116455,1.495194911956787,0.7560302019119263,0.7566133141517639
30,30.0,30.0,30.0,30.0,0.0,,,0.4682766497135162,0.6586812138557434,1.0066629648208618,0.7392175197601318,0.3561729788780212,0.5326297283172607
31,31.0,31.0,31.0,31.0,1.0,,,0.3474038243293762,0.5224120616912842,0.4032451510429382,0.2786069512367248,0.2646816372871399,0.3548421859741211
32,32.0,32.0,32.0,32.0,2.0,,,0.7354115843772888,0.8436768651008606,0.5634160041809082,0.3720496296882629,0.6492950916290283,0.7530860900878906
33,33.0,33.0,33.0,33.0,3.0,,,0.7086315751075745,0.6165595054626465,0.4858602583408355,0.1777639240026474,0.5958166122436523,0.4423346817493438
34,34.0,34.0,34.0,34.0,4.0,,,0.5357571244239807,0.6980339884757996,0.3553511202335357,0.1788867861032486,0.3990301489830017,0.5380735993385315
35,35.0,35.0,35.0,35.0,5.0,,,0.5869866013526917,0.5732479095458984,0.3594650328159332,0.180659219622612,0.4371380805969238,0.4001359939575195
36,36.0,36.0,36.0,36.0,6.0,,,0.4159577488899231,0.0151515156030654,0.3722040355205536,0.243122711777687,0.3162127137184143,0.0057770074345171
37,37.0,37.0,37.0,37.0,7.0,,,0.6451369524002075,0.8200519680976868,0.4549516439437866,0.4576674997806549,0.5480221509933472,0.7305588126182556
38,38.0,38.0,38.0,38.0,8.0,,,0.731486439704895,0.5518905520439148,0.4561344087123871,0.1857581138610839,0.6169050931930542,0.3787938356399536
39,39.0,39.0,39.0,39.0,9.0,,,0.5468916893005371,0.7680626511573792,0.3487076461315155,0.3571857511997223,0.403477281332016,0.6366185545921326
