,FLARE_TYPE,COINCIDENCE,MEANGAM_1,MEANGAM_2,MEANGAM_3,MEANGAM_4,MEANGAM_5,MEANGAM_6,MEANGAM_7,MEANGAM_8,MEANGAM_9,MEANGAM_10,MEANGAM_11,MEANGAM_12,MEANGAM_13,MEANGAM_14,MEANGAM_15
1529,B,False,28.667,29.199,28.85,29.19,29.703,29.072,29.455,29.581,30.339,30.429,30.44,30.427,30.61,30.78,30.082
1530,B,True,29.695,30.009,29.981,29.652,30.154,30.397,30.437,30.206,30.278,31.911,32.147,32.208,32.204,32.154,32.373
1531,B,False,54.39,54.615,54.843,55.443,56.16,56.78,56.843,56.834,56.542,57.26,57.283,57.19,56.755,56.755,56.61
1532,B,False,58.874,58.76,58.963,58.669,58.58,58.689,58.637,58.436,58.355,58.291,58.359,58.157,58.153,58.101,58.267
1533,B,False,32.753,32.707,32.601,32.353,32.024,32.186,32.105,31.944,31.679,31.816,31.765,31.826,31.738,31.999,31.878
1534,B,False,26.422,26.556,26.398,26.474,26.218,26.232,26.265,26.328,26.321,26.204,25.981,26.074,25.996,25.957,25.738
1535,B,False,31.536,31.217,30.825,31.161,31.089,30.737,30.515,30.507,30.843,30.931,30.57,30.372,30.395,29.654,30.26
1536,B,False,38.82,40.532,40.313,39.896,39.866,38.562,40.422,39.204,37.405,37.329,37.23,37.448,37.408,36.942,37.346
1537,B,False,32.292,32.203,31.636,31.517,30.959,30.838,31.028,30.855,30.617,30.541,30.667,30.585,31.051,31.067,31.038
1538,B,False,50.552,50.404,50.611,50.459,50.233,50.035,49.753,49.78,49.571,49.396,49.362,48.998,49.364,49.544,49.096
