,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5,g_s_6,g_s_7,g_s_8,g_s_9,g_s_10,g_s_11,g_s_12,g_s_13,g_s_14,g_s_15
2005,N,False,1002.7,983.72,1012.9,974.96,1015.8,1390.1,980.5,1719.3,1781.8,1274.6,1321.8,1374.6,1861.6,1658.6,1240.0
2006,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,N,False,31550.0,27109.0,34609.0,33152.0,31591.0,28797.0,32736.0,33584.0,33006.0,32942.0,45952.0,37685.0,40823.0,33326.0,40010.0
2009,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,N,False,22.297,31.986,23.322,20.992,25.905,25.062,0.0,0.0,0.0,0.0,0.0,34.448,33.163,0.0,0.0
2015,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,N,False,14677.0,14387.0,15909.0,11129.0,13416.0,15042.0,15050.0,13568.0,12141.0,12687.0,12437.0,13129.0,13397.0,11133.0,15917.0
2019,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,N,False,9187.1,8819.0,10161.0,10823.0,10640.0,9806.8,9868.3,10431.0,10986.0,9421.7,8443.6,11108.0,10676.0,9248.3,10248.0
2021,N,False,32.831,22.36,22.319,18.79,17.284,14.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,N,False,88.657,80.587,24.974,24.28,24.104,24.267,72.722,23.559,25.936,23.961,24.563,25.013,22.407,20.889,21.147
2023,N,False,593.16,558.15,539.5,524.65,501.62,533.07,1220.9,916.24,1219.6,511.87,469.74,439.5,438.4,398.45,397.74
2024,N,False,1023.5,978.8,937.53,919.51,937.94,892.5,810.96,520.12,489.09,503.83,490.17,294.09,321.12,331.51,336.08
2025,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,N,False,3909.9,3035.2,3832.9,3840.7,3089.6,3862.2,3729.2,3728.8,3749.5,3724.1,2859.2,2869.2,1655.3,1604.0,1640.6
2028,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,N,False,109.12,93.416,81.796,71.161,74.571,79.846,80.664,88.747,94.015,80.992,86.43,88.212,92.284,88.367,87.099
2030,N,False,161.9,186.78,178.13,182.63,186.92,186.98,181.85,181.73,212.32,209.16,200.88,207.53,202.77,207.96,201.02
2031,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2036,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2037,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2038,N,False,165.07,169.46,164.37,173.16,170.16,183.51,170.2,176.09,170.85,171.43,167.96,168.36,160.41,165.29,157.49
2039,N,False,29206.0,29563.0,29896.0,27790.0,29920.0,28973.0,28277.0,23743.0,27925.0,26578.0,27916.0,28968.0,28954.0,28087.0,25882.0
2040,N,False,172.85,177.36,165.69,39.16,40.778,162.15,153.92,152.03,144.75,139.04,141.9,147.29,139.92,214.84,138.55
2041,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2042,N,False,272.32,256.4,257.8,235.65,223.09,220.89,243.07,204.28,207.93,230.63,198.88,218.99,211.84,202.21,209.12
2043,N,False,174.27,169.2,168.35,173.52,169.06,163.6,154.91,153.78,151.16,215.89,201.45,196.74,190.96,188.13,175.26
2044,N,False,11.392,10.194,9.6302,10.186,10.37,10.75,9.2058,21.133,8.5867,20.272,9.292,9.5223,17.515,19.012,20.273
2045,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2046,N,False,882.42,911.46,725.53,1050.0,872.94,919.8,858.24,1092.7,1199.7,1153.4,980.2,1151.9,1090.6,734.54,666.12
2047,N,False,176.85,171.15,160.69,168.16,164.19,160.47,152.9,152.89,148.12,139.4,136.75,146.41,252.15,240.15,230.58
2048,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,N,False,1220.7,1252.6,1247.5,1258.7,1224.1,1228.4,1213.0,1184.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,N,False,110.31,130.44,115.09,118.46,110.23,171.06,64.53,52.072,56.449,112.7,110.57,99.762,81.22,75.812,85.853
2051,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2052,N,False,42.891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2053,N,False,4893.9,4180.8,5239.1,5586.5,6227.7,6319.9,5485.2,5944.7,6299.0,6889.2,5760.0,7331.4,8417.1,7266.0,5644.7
