,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5,MEANGBH_6,MEANGBH_7,MEANGBH_8,MEANGBH_9,MEANGBH_10,MEANGBH_11,MEANGBH_12,MEANGBH_13,MEANGBH_14,MEANGBH_15
1947,N,False,76.577,81.196,80.374,81.276,82.023,81.325,85.104,85.639,86.111,87.958,91.755,88.662,87.398,88.506,86.844
1948,N,False,71.227,70.2,73.036,70.46,68.446,69.108,72.03,68.29,69.115,66.26,66.066,66.477,67.118,68.925,69.123
1949,N,False,45.896,44.6,44.244,43.918,43.999,44.07,44.695,43.667,43.355,44.334,45.322,44.357,44.14,43.714,43.21
1950,N,False,92.518,93.375,92.944,93.608,92.25,93.378,88.884,86.261,86.363,86.174,88.016,88.268,86.515,85.047,86.049
1951,N,False,78.715,80.944,82.624,84.914,82.5,86.061,86.139,84.715,85.587,87.606,85.899,84.192,83.135,85.472,82.716
1952,N,False,51.306,50.466,50.772,50.256,50.25,50.387,49.8,49.383,49.559,49.541,49.235,49.206,49.199,49.988,51.136
1953,N,False,80.835,79.704,83.043,84.326,88.831,89.168,90.996,89.57,89.356,89.598,91.429,92.793,90.839,89.723,87.774
1954,N,False,82.688,84.207,82.978,80.947,80.255,78.471,75.775,75.949,80.056,76.026,76.023,76.777,78.626,78.584,75.197
1955,N,False,47.257,47.604,47.811,47.341,47.537,47.875,48.264,48.346,48.643,48.735,48.32,48.195,48.575,49.134,49.731
1956,N,False,41.697,42.19,41.517,40.769,41.618,40.77,41.611,42.21,43.176,42.127,41.817,42.587,42.448,41.599,40.837
1957,N,False,42.395,42.424,41.888,42.52,43.137,42.865,42.549,40.924,41.328,41.981,41.176,41.646,42.066,42.771,42.376
1958,N,False,92.284,83.456,66.747,64.193,55.401,62.933,79.398,87.675,80.599,90.497,80.888,93.242,90.1,79.21,89.186
1959,N,False,61.821,64.219,63.735,63.273,64.221,63.574,60.257,62.633,59.422,59.607,58.408,58.076,58.091,58.093,59.245
1960,N,False,50.665,52.279,54.058,54.237,53.791,57.963,56.506,55.775,53.328,52.883,52.177,53.769,52.409,51.267,51.941
1961,N,False,86.58,84.058,85.032,86.593,88.69,90.761,91.211,90.16,89.396,89.943,90.63,89.624,89.854,90.447,89.336
1962,N,False,61.852,61.374,62.29,61.531,60.395,60.429,62.875,62.878,62.266,62.745,64.046,65.198,64.78,64.284,65.996
1963,N,False,49.192,49.107,48.938,49.717,49.902,49.931,50.3,50.696,50.586,50.772,50.949,51.218,51.056,51.517,51.59
1964,N,False,51.536,50.773,50.323,51.402,52.223,50.511,53.688,53.735,51.554,53.508,52.132,53.06,51.691,52.452,54.184
1965,N,False,67.682,69.164,69.79,69.949,70.939,70.443,70.819,71.616,72.266,72.907,72.832,72.233,72.226,72.417,71.705
1966,N,False,55.935,56.594,57.155,57.186,56.779,56.69,56.365,56.339,56.29,55.81,56.265,56.086,55.949,55.843,56.493
1967,N,False,67.981,68.966,69.805,70.212,70.681,70.302,70.673,71.34,71.418,71.163,70.748,69.985,69.811,68.735,68.206
1968,N,False,56.076,56.029,57.64,56.545,55.569,57.81,56.775,57.346,56.19,57.596,58.335,58.61,58.577,55.552,57.306
1969,N,False,91.682,95.738,96.066,91.339,92.646,91.402,91.034,92.115,91.166,92.702,85.721,88.471,84.621,87.004,82.799
1970,N,False,62.688,62.62,60.986,62.104,61.64,63.714,63.531,61.738,61.984,63.036,69.007,64.733,69.462,69.358,70.238
1971,N,False,97.034,93.988,97.833,93.147,100.69,104.8,105.87,106.04,105.23,107.86,112.39,111.36,105.38,103.46,104.0
1972,N,False,43.899,43.261,43.75,43.429,43.686,43.551,43.566,43.58,43.887,43.567,43.11,43.449,42.797,42.698,42.313
1973,N,False,45.171,45.31,45.014,45.076,45.627,46.284,45.373,45.466,46.173,47.637,47.416,47.665,47.817,47.675,46.507
1974,N,False,58.335,57.976,59.457,58.56,58.786,59.755,60.989,61.342,61.932,62.977,64.547,64.759,64.627,63.246,64.677
1975,N,False,62.007,61.157,60.577,60.278,60.243,59.58,60.467,60.542,59.962,60.261,59.277,58.864,57.407,57.484,57.156
1976,N,False,50.706,50.212,50.402,48.405,49.682,47.519,46.806,46.581,46.841,47.093,47.758,46.022,46.531,46.812,45.802
1977,N,False,52.24,51.467,52.7,53.19,52.501,52.627,52.665,52.932,53.02,53.39,54.284,52.969,52.64,52.176,53.043
1978,N,False,50.707,51.395,51.543,53.019,52.642,52.632,53.133,53.224,53.571,53.934,54.328,53.0,52.886,53.853,54.582
1979,N,False,44.04,43.645,43.322,42.776,42.986,43.198,42.493,42.224,41.843,41.891,42.549,42.231,42.159,41.04,42.345
1980,N,False,87.168,88.138,89.814,92.279,92.797,92.086,91.115,92.327,94.766,95.92,90.669,90.045,90.566,91.341,92.018
1981,N,False,52.518,52.887,52.436,53.178,53.203,52.926,53.014,52.798,53.223,52.517,53.084,53.204,52.397,52.813,53.378
1982,N,False,64.212,63.944,63.49,64.168,63.304,64.402,63.065,62.231,60.897,60.9,59.566,59.224,57.177,55.821,54.839
1983,N,False,45.392,46.574,46.92,47.51,47.599,48.273,49.419,49.695,50.084,52.742,51.804,51.908,51.625,52.91,52.783
1984,N,False,58.203,58.676,58.902,58.896,59.9,60.501,60.663,60.81,61.192,62.325,62.589,63.439,63.328,63.104,63.211
1985,N,False,47.8,46.867,43.766,44.82,47.427,42.968,46.944,45.208,44.438,46.268,44.887,43.551,42.263,41.894,45.071
1986,N,False,70.855,72.669,74.061,72.219,71.164,71.605,70.091,67.974,66.209,64.883,65.788,65.103,65.754,66.586,65.62
1987,N,False,68.437,67.96,69.784,68.28,69.257,67.859,68.795,68.476,67.749,66.464,67.107,68.538,68.156,69.193,69.591
1988,N,False,65.241,63.839,63.451,62.95,62.287,59.793,59.587,60.92,61.303,60.931,61.056,62.293,64.623,64.861,66.585
1989,N,False,73.674,76.606,78.526,77.709,75.62,76.873,73.028,74.47,73.199,73.981,73.674,77.006,79.295,78.084,79.593
1990,N,False,90.099,94.378,95.34,95.982,99.362,97.476,102.03,98.695,107.11,101.55,101.78,95.695,109.58,111.73,113.01
1991,N,False,77.639,79.425,79.491,79.672,77.188,80.864,81.834,83.064,82.747,84.742,82.054,79.942,75.86,75.974,77.654
1992,N,False,52.208,52.161,50.249,0.0,0.0,0.0,0.0,0.0,0.0,49.252,49.008,50.105,47.865,45.078,47.082
1993,N,False,58.384,59.085,57.667,57.794,56.753,57.985,56.245,55.571,55.25,57.005,57.188,55.817,58.021,56.185,55.813
1994,N,False,55.787,55.882,56.022,56.582,57.663,58.127,59.031,60.67,61.619,63.342,62.757,62.432,62.743,62.482,62.612
1995,N,False,66.798,65.854,66.101,65.692,64.52,65.53,65.094,66.172,66.141,66.418,67.056,66.381,66.787,67.152,68.259
1996,N,False,67.656,66.349,65.917,65.562,66.462,65.615,66.09,65.91,66.336,66.23,67.182,67.323,68.617,68.844,68.226
1997,N,False,43.521,43.398,44.022,43.442,41.925,42.541,43.069,43.399,42.611,43.001,43.525,43.435,43.51,44.11,44.451
1998,N,False,45.468,46.542,47.261,48.662,49.248,49.369,50.944,52.519,53.156,53.24,53.508,54.142,53.259,54.105,54.244
1999,N,False,52.175,52.951,52.71,50.471,52.132,51.255,51.756,53.093,52.27,52.823,52.564,50.721,49.882,49.155,48.137
2000,N,False,55.153,55.203,55.298,54.934,54.659,55.084,54.746,54.915,54.881,55.167,54.849,55.411,54.934,55.215,55.509
2001,N,False,57.147,57.729,57.847,59.073,61.333,58.7,53.022,52.888,56.353,55.662,54.522,54.055,52.803,52.812,52.701
2002,N,False,59.614,58.682,57.997,57.12,56.033,56.4,55.077,55.269,56.59,55.891,56.746,56.391,57.425,56.83,57.427
2003,N,False,59.614,58.682,57.997,57.12,56.033,56.4,55.077,55.269,56.59,55.891,56.746,56.391,57.425,56.83,57.427
2004,N,False,66.849,66.998,67.047,67.237,66.532,66.46,65.729,65.638,65.472,65.091,64.831,64.954,65.33,65.084,65.323
2005,N,False,61.368,60.974,61.269,60.558,61.493,61.267,61.324,60.463,60.243,59.813,59.218,57.943,58.43,57.86,57.358
2006,N,False,53.53,51.027,48.682,51.879,51.101,50.125,53.262,52.515,50.315,49.26,52.849,53.24,51.625,54.178,55.633
2007,N,False,50.453,50.217,51.733,50.071,51.356,51.264,52.214,50.366,50.349,49.293,51.042,51.045,50.047,50.793,49.68
2008,N,False,58.586,58.571,58.423,58.074,57.976,58.12,58.691,58.404,58.504,58.803,58.702,58.827,58.753,58.733,58.905
2009,N,False,62.135,60.556,59.177,61.328,63.196,61.465,59.869,61.118,59.231,61.119,60.485,60.278,60.03,59.341,58.987
2010,N,False,48.533,47.697,48.773,48.519,48.036,48.36,47.761,47.923,48.318,48.116,47.799,47.697,49.247,49.452,48.73
2011,N,False,67.003,68.191,68.091,65.975,69.062,67.056,68.471,68.048,68.883,69.363,69.304,67.295,66.954,65.216,65.959
2012,N,False,46.07,49.461,45.571,45.477,46.349,47.939,46.629,44.665,44.166,45.325,44.425,44.877,43.703,43.857,45.346
2013,N,False,63.157,64.948,64.845,65.773,65.388,68.49,68.356,66.675,69.577,68.87,69.655,67.938,67.729,66.478,62.996
2014,N,False,69.841,71.758,72.515,73.227,73.194,71.689,70.308,72.359,71.452,71.358,71.605,70.591,69.248,68.312,68.679
2015,N,False,51.307,50.642,51.142,50.637,50.938,50.58,50.193,50.4,49.74,49.71,49.987,49.822,50.25,49.931,51.001
2016,N,False,43.114,43.417,43.395,43.435,41.07,43.34,43.35,43.329,43.124,43.165,42.663,43.034,42.211,41.674,41.795
2017,N,False,78.3,80.225,78.983,83.462,84.004,79.837,79.807,75.839,83.977,75.203,77.747,80.625,82.239,79.923,75.395
2018,N,False,64.504,64.975,65.593,65.468,65.453,66.312,65.965,66.446,66.982,67.978,68.548,68.93,69.254,70.033,70.167
2019,N,False,60.169,60.637,59.03,61.301,56.171,53.977,53.926,54.884,55.086,56.999,57.374,57.867,60.393,58.521,57.981
2020,N,False,67.368,67.017,66.311,66.113,65.685,65.14,65.064,65.489,65.376,65.326,65.493,65.763,66.518,66.195,66.668
2021,N,False,72.592,74.69,72.608,73.179,73.501,74.804,73.214,73.308,73.387,73.232,73.565,69.447,66.863,68.322,68.869
2022,N,False,53.36,52.751,52.456,52.317,52.597,53.737,53.371,53.752,53.723,54.767,54.678,54.236,54.66,54.849,54.725
2023,N,False,76.126,76.791,74.466,74.842,76.829,78.637,80.171,79.111,82.937,83.34,80.932,79.705,79.971,80.6,79.533
2024,N,False,54.62,53.511,53.725,52.991,52.698,51.98,52.001,51.507,51.2,50.505,50.182,50.175,50.468,50.975,49.62
2025,N,False,40.893,40.218,41.69,41.119,40.043,39.859,40.2,39.666,40.145,40.772,40.929,39.419,39.536,39.447,39.286
2026,N,False,72.089,75.599,77.019,76.292,72.619,73.429,75.12,75.252,72.002,71.908,73.475,70.95,67.805,73.631,72.672
2027,N,False,62.636,62.314,62.737,62.518,62.407,61.999,60.866,61.012,61.189,60.621,60.55,61.22,61.803,62.316,62.906
2028,N,False,37.082,37.565,37.284,36.502,35.991,35.785,36.711,36.371,36.675,36.928,37.045,36.978,36.982,36.89,36.313
2029,N,False,56.061,54.366,53.356,52.761,54.108,53.312,53.789,53.105,53.9,52.979,52.557,52.361,51.535,51.669,52.734
2030,N,False,69.605,69.52,68.137,68.942,69.802,69.363,67.681,68.422,68.6,68.872,68.415,68.622,67.749,68.803,67.904
2031,N,False,48.934,48.244,48.457,49.758,50.104,50.384,51.111,52.521,53.154,53.628,54.158,53.412,52.696,51.954,51.088
2032,N,False,65.193,67.868,69.76,68.622,69.433,68.88,69.083,69.831,67.212,70.767,70.278,68.444,65.992,67.819,66.444
2033,N,False,53.971,54.38,55.933,55.854,58.914,58.946,59.457,59.968,62.234,61.063,60.685,62.14,61.722,61.362,60.418
2034,N,False,45.264,44.664,44.262,44.092,43.629,44.027,44.48,44.196,44.9,45.125,45.316,44.055,44.864,46.068,47.361
