,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10,AREA_ACR_11,AREA_ACR_12,AREA_ACR_13,AREA_ACR_14,AREA_ACR_15
1287,B,False,1133.8,1145.0,1146.6,1149.2,1146.2,1153.0,1157.4,1150.1,1152.5,1148.1,1150.0,1150.1,1147.0,1147.4,1140.1
1288,B,False,90.785,89.257,90.581,91.252,89.446,90.437,89.975,91.081,90.721,91.817,92.978,94.434,94.409,90.817,90.315
1289,B,False,83.333,85.107,85.56,86.546,87.103,88.498,90.213,91.155,89.052,89.751,91.805,90.742,88.777,91.09,93.297
1290,B,False,429.75,424.44,427.64,434.16,435.16,428.34,428.03,422.33,409.62,408.51,403.55,398.28,405.91,408.17,401.8
1291,B,False,193.42,197.36,197.58,198.74,196.32,196.63,193.08,192.44,194.18,199.98,195.08,193.47,188.98,194.0,193.64
1292,B,False,356.29,352.06,359.07,361.86,363.68,365.98,364.9,365.1,364.91,366.61,366.76,369.21,369.82,372.59,370.72
1293,B,False,492.1,487.36,483.08,481.43,482.44,478.58,484.52,475.91,472.23,466.79,466.08,456.8,457.86,463.92,465.07
1294,B,False,185.53,187.9,191.63,192.37,195.61,199.8,202.27,204.56,210.98,212.7,210.65,216.68,219.97,221.56,221.59
1295,B,False,425.47,422.92,428.72,423.93,424.92,425.36,425.46,430.9,432.38,433.63,433.14,435.08,442.28,441.46,440.21
1296,B,False,38.292,37.572,39.06,36.088,37.207,36.905,37.798,38.698,39.971,40.087,41.082,42.909,44.422,45.051,47.294
1297,B,False,58.476,61.758,63.833,62.234,70.306,75.219,76.993,72.13,73.257,77.928,77.368,75.672,76.675,76.827,79.207
1298,B,False,268.92,265.34,267.35,267.16,262.47,262.79,262.85,260.65,259.97,256.65,259.14,256.4,256.48,257.55,256.79
1299,B,False,308.93,305.96,306.69,307.15,302.58,300.84,297.48,295.5,293.03,298.81,297.35,300.14,300.35,300.4,299.5
1300,B,False,211.62,203.13,205.0,201.7,198.78,197.62,198.04,200.33,199.77,192.71,189.37,185.46,184.87,183.29,185.71
1301,B,False,144.38,142.19,141.65,140.41,142.14,140.94,139.47,137.25,139.9,140.08,137.62,138.57,137.4,136.72,139.57
1302,B,False,487.45,490.6,488.02,484.5,485.48,480.89,479.65,483.09,479.68,479.38,480.95,477.57,481.5,487.05,482.81
1303,B,False,36.199,38.562,36.588,36.752,38.915,41.735,40.116,43.648,41.231,47.255,42.196,40.951,42.203,40.563,38.038
1304,B,True,158.91,163.29,153.4,156.63,163.03,159.94,159.14,159.41,162.45,166.09,172.0,174.72,178.97,182.64,186.57
1305,B,False,107.34,105.51,100.36,102.03,101.7,101.97,102.68,106.31,105.55,106.34,106.85,107.19,106.41,105.37,103.39
1306,B,False,158.24,161.71,165.63,159.92,163.05,167.94,161.79,162.24,158.92,156.73,162.57,155.79,144.15,144.8,144.58
1307,B,False,46.629,47.054,45.083,41.271,42.247,43.607,43.655,44.918,42.851,45.664,44.519,45.77,43.707,43.526,42.587
1308,B,False,18.115,19.954,20.671,22.167,17.508,18.923,21.508,20.895,21.118,25.06,25.288,24.291,23.784,24.259,22.968
1309,B,False,246.31,250.76,245.56,242.75,246.24,248.96,249.03,255.93,253.59,257.58,260.69,267.88,271.51,283.54,280.88
1310,B,False,385.81,388.68,382.41,383.2,388.47,388.48,392.05,393.95,395.07,395.14,396.66,398.96,405.24,404.11,408.9
1311,B,False,117.82,108.1,98.13,90.273,89.513,88.187,76.755,71.603,65.165,66.353,65.758,63.342,57.037,65.263,54.885
1312,B,True,280.07,283.6,288.71,289.02,291.05,297.28,298.2,303.23,310.48,310.63,313.61,314.48,317.02,321.56,319.52
1313,B,False,272.85,268.29,265.71,266.86,265.36,263.09,264.31,261.54,259.51,260.91,264.92,272.58,267.65,261.22,260.0
1314,B,False,127.96,123.96,126.21,124.67,123.68,126.77,124.51,123.21,122.37,119.44,119.85,119.48,117.44,115.46,118.61
1315,B,False,404.4,409.27,400.46,392.74,387.27,395.21,396.36,398.63,407.17,407.32,412.03,413.18,417.04,406.59,414.51
1316,B,True,41.257,40.681,40.198,40.316,39.55,40.437,41.754,40.227,41.002,41.731,42.531,42.932,43.036,44.131,44.031
1317,B,True,47.006,49.554,52.109,54.947,60.804,61.605,62.927,66.535,72.054,74.356,74.992,75.385,77.52,80.18,83.26
1318,B,False,35.628,36.835,36.991,38.303,38.872,38.292,37.572,39.06,36.088,37.207,36.905,37.798,38.698,39.971,40.087
1319,B,False,286.46,294.63,294.65,292.91,294.34,296.2,304.67,314.67,315.08,314.26,313.14,306.96,307.15,316.46,313.43
1320,B,False,338.14,331.09,333.33,332.57,331.03,331.4,336.95,337.97,342.84,341.38,341.43,345.65,351.79,358.15,359.68
1321,B,True,95.996,96.867,96.047,97.148,97.612,101.03,99.357,98.228,100.24,99.702,98.575,96.312,96.056,93.702,94.398
1322,B,False,372.26,384.56,375.66,377.72,385.47,389.5,388.63,388.23,393.02,398.4,393.47,412.07,413.8,416.07,409.83
1323,B,False,436.68,433.67,432.25,431.7,432.78,431.54,436.78,434.88,437.08,437.6,437.26,439.96,436.5,438.6,439.72
1324,B,False,330.81,327.99,326.93,328.83,328.11,326.5,326.07,326.06,323.77,329.33,330.07,330.04,334.28,334.1,330.67
1325,B,False,41.273,44.236,44.284,46.448,48.045,49.872,51.7,53.256,55.56,60.435,62.999,63.562,62.68,64.311,66.796
1326,B,True,263.25,267.68,264.67,267.66,271.09,274.58,266.96,271.49,271.01,278.57,275.36,272.72,273.69,280.94,280.51
1327,B,True,26.36,30.022,32.609,25.222,24.635,29.433,26.437,28.399,27.975,27.303,23.811,31.307,32.237,32.429,33.259
1328,B,True,56.251,57.678,50.889,50.414,53.762,59.855,56.282,58.709,61.8,66.0,61.285,61.169,60.388,67.328,69.659
1329,B,True,901.48,897.02,902.68,901.49,899.32,899.7,902.83,905.89,903.9,900.93,900.98,899.24,895.16,901.19,901.02
1330,B,False,141.7,140.73,137.02,135.71,135.17,137.92,136.79,132.16,134.01,129.83,129.85,129.53,132.06,132.64,132.71
1331,B,False,82.184,88.344,89.432,89.577,89.247,91.891,91.126,97.241,95.989,89.716,86.909,77.83,82.681,92.983,84.149
1332,B,False,131.67,135.16,143.53,147.44,145.2,146.14,149.06,147.74,145.26,149.29,150.44,157.62,165.29,166.63,163.47
1333,B,False,424.39,427.2,429.4,442.56,450.78,452.08,454.65,458.4,461.38,458.91,459.6,457.9,459.88,463.09,463.4
1334,B,True,546.26,539.0,525.92,526.89,534.51,533.85,536.62,546.07,535.73,536.39,541.14,533.24,526.86,520.08,533.68
1335,B,False,189.87,189.48,191.34,192.06,194.11,195.29,197.13,202.38,205.22,203.25,201.93,201.4,199.85,196.23,196.81
1336,B,False,516.48,512.84,514.21,515.13,515.64,511.59,516.48,520.01,521.39,516.85,526.45,528.18,526.85,522.67,518.96
