,FLARE_TYPE,COINCIDENCE,SHRGT45_1,SHRGT45_2,SHRGT45_3,SHRGT45_4,SHRGT45_5,SHRGT45_6,SHRGT45_7,SHRGT45_8,SHRGT45_9,SHRGT45_10,SHRGT45_11,SHRGT45_12,SHRGT45_13,SHRGT45_14,SHRGT45_15
2009,N,False,3.8948,6.4202,4.9037,6.9643,5.8824,6.8106,9.0352,7.622,8.8687,8.2211,10.796,9.3614,10.276,12.983,8.5437
2010,N,False,0.99882,1.9512,2.1945,3.0769,3.9851,4.8256,3.9834,2.1046,3.8015,2.8846,2.8198,4.1581,4.5884,3.0367,3.6906
2011,N,False,5.5215,5.255,6.4054,5.3097,6.2452,6.9394,6.1129,6.4241,8.755,8.3065,9.7918,6.6667,7.6028,7.8383,8.2713
2012,N,False,1.4118,1.5097,2.1535,2.3497,1.7401,1.0235,1.5038,1.9168,1.318,1.6246,3.2475,1.3474,1.9707,0.72182,0.90293
2013,N,False,1.2709,2.3662,1.6334,1.2202,1.3143,1.9005,2.5,3.5884,3.0139,1.8713,1.2695,1.7794,1.7634,2.3108,3.4596
2014,N,False,8.7042,9.7158,9.1743,8.7838,6.3712,6.8762,7.014,7.0707,8.7312,6.6712,8.4045,9.3325,7.8457,7.0032,8.7985
2015,N,False,5.4497,5.9515,5.5937,5.069,4.7838,4.852,4.8678,4.6597,4.9754,4.6835,4.5788,4.4931,4.2321,4.6406,4.9348
2016,N,False,3.0959,2.9453,2.4327,2.5671,33.848,2.439,2.4828,2.7056,2.3223,2.627,2.4143,2.3308,2.0502,2.1436,1.8228
2017,N,False,3.4091,3.2953,3.8462,2.6389,1.2403,3.5994,8.6103,6.6578,4.2584,8.0332,5.4381,9.0411,4.4479,4.8815,8.0207
2018,N,False,32.831,32.384,32.568,33.459,33.731,34.056,34.464,34.308,35.088,33.271,34.334,34.276,34.601,34.369,33.909
2019,N,False,3.4621,3.1486,3.2216,3.4211,4.8689,4.1966,3.8642,3.8506,4.4525,4.4135,4.5743,2.6798,3.8728,3.3693,4.1369
2020,N,False,34.147,35.141,35.08,35.632,35.842,35.383,35.744,36.166,36.533,35.666,36.202,36.615,36.005,36.079,35.821
2021,N,False,10.245,9.2238,8.1218,8.0511,7.5774,6.7176,9.8999,9.7848,8.6127,10.564,9.0909,9.1138,9.3603,9.4439,9.9474
2022,N,False,3.759,3.8879,4.4617,4.0045,4.2604,4.5396,4.6318,5.2595,5.4338,5.1227,5.6119,5.2424,5.2478,5.3496,5.1583
2023,N,False,32.301,32.57,34.957,35.301,33.984,31.247,31.211,31.957,31.557,28.892,29.837,32.203,32.649,31.191,31.986
2024,N,False,24.95,24.661,24.541,23.795,24.392,24.513,23.938,24.864,24.958,25.266,25.072,25.664,24.94,25.157,25.267
2025,N,False,3.8422,3.866,4.0912,4.0373,4.6037,4.7462,4.5425,4.1999,5.1011,5.4294,5.345,5.1771,4.6067,4.6829,4.6717
2026,N,False,11.17,9.7418,11.902,16.447,12.36,15.08,11.757,12.853,15.511,14.741,12.581,10.644,11.491,7.8637,6.6079
2027,N,False,47.172,45.759,45.336,45.168,46.403,46.96,46.94,47.171,46.646,46.974,46.769,47.344,47.758,47.456,47.149
2028,N,False,15.615,15.757,16.4,15.798,16.173,16.266,16.804,16.761,16.095,17.221,17.467,16.664,16.023,16.736,17.177
2029,N,False,11.309,11.173,10.018,9.0935,8.6318,11.564,6.8894,11.255,11.802,10.108,11.133,8.2777,10.38,9.7607,12.67
2030,N,False,31.123,29.957,31.281,30.466,30.555,30.828,31.505,32.143,32.154,31.901,31.042,30.333,30.35,30.31,30.232
2031,N,False,4.7588,4.2046,3.7015,3.5915,4.3785,3.7301,3.5963,3.6668,3.7533,4.1421,3.7002,3.9737,3.7631,3.5465,4.4903
2032,N,False,8.6749,6.4857,7.4945,7.3913,6.6718,6.2317,6.8413,7.2072,6.6319,7.2072,6.9337,6.5137,4.4591,5.3091,6.0398
2033,N,False,13.675,13.133,11.479,12.812,11.64,11.662,11.115,12.422,12.474,13.129,11.197,10.963,11.981,13.687,13.908
2034,N,False,4.7248,4.8266,4.5183,4.3686,5.0911,4.952,5.5435,5.4569,5.5171,5.8408,4.6919,4.3676,4.4841,4.7822,5.0488
2035,N,False,11.175,9.7647,7.9243,8.6647,8.8496,6.6148,6.4556,6.7879,7.982,6.6936,8.1588,8.8959,10.694,12.313,12.294
2036,N,False,2.9276,3.6924,3.9216,4.1962,3.2565,3.3772,3.1652,2.5432,2.0907,2.0555,1.7107,1.4848,1.5976,1.6577,2.0758
2037,N,False,19.656,19.672,20.754,20.255,19.855,22.064,23.744,21.939,20.501,19.746,20.96,22.231,18.904,18.195,17.032
2038,N,False,10.227,9.6856,9.8176,10.772,9.236,9.8561,11.572,10.537,10.178,10.45,11.883,11.602,11.951,11.884,12.418
2039,N,False,30.687,30.85,30.797,30.922,31.439,31.254,31.145,30.895,30.76,30.338,30.193,29.852,29.947,30.186,29.624
2040,N,False,11.278,11.41,12.461,12.725,12.098,12.324,12.514,11.649,12.321,12.063,12.885,12.975,11.882,11.953,11.675
2041,N,False,59.374,59.548,59.038,58.752,59.232,59.384,59.584,59.989,60.448,59.694,59.94,60.816,60.476,60.225,60.669
2042,N,False,27.766,26.308,26.547,26.591,28.483,28.33,30.294,28.071,30.091,29.12,30.282,30.581,29.752,30.635,32.511
2043,N,False,8.018,8.6497,8.6957,10.144,7.3577,8.1836,6.7162,8.8018,8.8197,7.2794,6.3313,7.8807,7.662,6.5487,7.3371
2044,N,False,4.7864,5.5025,5.6044,6.1549,5.8047,5.319,4.7221,4.3471,4.1695,4.7464,4.7962,5.1211,5.5521,5.2462,5.7964
2045,N,False,7.0855,7.9286,7.9371,9.315,9.8717,7.5787,6.3174,8.4577,8.8123,10.851,7.5771,9.3435,8.4536,8.6399,6.8474
2046,N,False,24.974,25.311,25.29,27.76,26.766,25.38,27.08,25.35,25.672,25.207,23.847,24.829,25.113,24.628,25.67
