,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10,AREA_ACR_11,AREA_ACR_12,AREA_ACR_13,AREA_ACR_14,AREA_ACR_15,AREA_ACR_16,AREA_ACR_17,AREA_ACR_18,AREA_ACR_19,AREA_ACR_20,AREA_ACR_21,AREA_ACR_22,AREA_ACR_23,AREA_ACR_24,AREA_ACR_25,AREA_ACR_26,AREA_ACR_27,AREA_ACR_28,AREA_ACR_29,AREA_ACR_30,AREA_ACR_31,AREA_ACR_32,AREA_ACR_33,AREA_ACR_34,AREA_ACR_35
10,X,True,1909.1,1909.1,1930.8,1933.3,1923.0,1923.1,1911.3,1915.0,1927.2,1930.3,1925.7,1928.7,1926.2,1921.8,1917.1,1926.7,1923.5,1925.1,1929.9,1924.9,1920.9,1921.7,1921.2,1917.5,1931.1,1918.2,1931.4,1926.7,1916.0,1913.4,1902.0,1914.4,1912.8,1921.0,1910.9
11,X,False,2157.9,2143.0,2145.5,2129.3,2143.0,2130.9,2143.4,2129.2,2119.7,2153.2,2142.3,2149.7,2134.4,2145.9,2150.3,2162.1,2148.0,2144.1,2155.6,2164.3,2149.3,2144.3,2127.9,2123.9,2130.3,2123.3,2101.0,2131.7,2125.9,2102.9,2122.4,2103.9,2105.2,2094.8,2080.6
12,X,False,2338.0,2334.4,2333.7,2322.2,2331.7,2330.6,2329.5,2330.5,2341.4,2348.8,2335.4,2346.9,2346.0,2338.5,2340.2,2343.1,2347.2,2352.6,2358.1,2360.8,2362.2,2372.1,2366.0,2375.1,2386.3,2398.9,2390.3,2399.9,2406.1,2402.7,2399.1,2406.5,2412.2,2408.8,2412.8
13,X,False,2366.6,2373.5,2376.2,2379.1,2375.3,2382.6,2373.1,2373.9,2378.5,2375.9,2389.5,2388.3,2385.5,2389.6,2381.6,2375.8,2363.5,2353.1,2347.5,2350.1,2353.0,2358.8,2370.5,2360.4,2356.5,2366.1,2355.0,2360.7,2366.9,2369.9,2366.1,2375.7,2372.8,2373.7,2371.6
14,X,False,2177.5,2171.4,2176.2,2170.5,2169.6,2172.4,2156.9,2162.0,2163.1,2160.8,2153.3,2150.3,2154.7,2143.4,2143.0,2140.7,2143.7,2146.5,2143.1,2145.8,2142.2,2147.3,2148.6,2154.4,2158.4,2159.9,2168.1,2165.6,2168.9,2173.7,2166.3,2168.3,2166.8,2166.0,2174.4
15,X,False,1513.6,1504.7,1490.5,1504.4,1515.5,1520.5,1513.4,1515.6,1522.4,1530.7,1526.7,1540.3,1543.5,1549.3,1563.5,1558.1,1565.0,1559.2,1558.0,1558.8,1552.3,1563.1,1571.9,1572.6,1574.7,1572.9,1570.8,1578.8,1574.5,1567.7,1576.1,1573.5,1573.6,1561.3,1574.2
16,X,False,4538.5,4545.5,4556.8,4566.7,4556.3,4563.3,4552.4,4542.2,4552.1,4541.3,4540.3,4534.5,4523.9,4524.5,4515.7,4516.9,4516.9,4500.1,4495.9,4482.1,4479.4,4484.0,4480.1,4474.5,4470.5,4483.4,4476.6,4468.8,4470.3,4464.1,4455.4,4448.3,4439.2,4443.2,4436.2
17,X,False,89.82,89.58,103.24,108.87,112.23,116.21,127.03,146.89,148.47,172.25,184.82,196.32,216.42,228.94,239.73,252.28,282.13,307.06,326.39,344.07,348.02,361.11,382.23,384.62,380.45,394.01,409.24,418.47,444.26,458.87,471.05,479.85,497.49,512.56,525.44
18,X,False,1443.5,1410.5,1388.7,1368.6,1357.7,1313.1,1307.9,1268.6,1256.4,1215.1,1170.7,1166.5,1113.7,1130.9,1086.4,1103.8,1100.7,1081.7,1093.2,1098.1,1100.4,1098.3,1108.4,1096.8,1089.4,1075.1,1062.1,1030.7,1010.2,996.84,982.08,958.56,949.98,905.96,888.48
19,X,False,408.5,402.58,400.8,386.99,383.22,380.21,385.79,391.58,388.11,369.87,361.2,367.25,366.53,367.46,355.51,353.36,349.65,342.75,341.31,359.18,396.04,412.35,416.95,410.14,413.26,416.31,416.9,421.01,422.56,416.84,417.1,425.54,423.36,426.99,423.73
