,time_start,time_peak,time_end,nar,xray_class,magnitude,COINCIDENCE,before_coincident_flare,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf,expected_timepoint,observed_timepoint,time_difference
1772,2015-05-13 18:00:00,not applicable,not applicable,12341.0,N,0.0,False,False,47.341,121.86,63.612,53.706,71.186,68.367,0.12639,0.0087378,17243.0,54.078,2.1652,491520000000.0,70.321,1.2407e+23,163.4,3835000000000.0,3.4663e+21,0.0,0.0,0.0,2015-05-12 21:00:00,2015-05-12 21:00:00,0 days 00:00:00
1774,2015-05-20 00:12:00,not applicable,not applicable,12348.0,N,0.0,False,False,57.42,189.58,59.368,57.815,84.489,85.585,0.46192,0.0091609,11436.0,49.348,2.9628,1559000000000.0,58.28,9.5197e+22,222.06,5398000000000.0,3.6952e+21,25.341,0.0,3.2916,2015-05-19 03:12:00,2015-05-19 03:12:00,0 days 00:00:00
1775,2015-05-21 00:12:00,not applicable,not applicable,12350.0,N,0.0,False,False,5.7978,100.98,32.927,72.687,149.34,150.22,0.93472,0.0051767,1761.8,20.279,0.0,577810000000.0,1.5179,2.6205e+21,64.99,1321400000000.0,7.3093e+20,0.0,0.0,0.0,2015-05-20 03:12:00,2015-05-20 03:12:00,0 days 00:00:00
1799,2015-09-24 13:48:00,not applicable,not applicable,12424.0,N,0.0,False,False,25.135,328.14,30.52,67.449,147.87,149.49,1.5618,-0.010499,1396.5,17.992,0.0,1979200000000.0,0.5848,4.4398e+21,119.56,2507900000000.0,1.5095e+21,0.0,0.0,0.0,2015-09-23 16:48:00,2015-09-23 16:48:00,0 days 00:00:00
1800,2015-09-26 19:48:00,not applicable,not applicable,12425.0,N,0.0,False,False,6.2291,111.97,40.089,93.696,171.18,172.36,0.60104,0.0041062,3478.2,26.877,2.4628,482170000000.0,8.5695,7.0074e+21,113.21,1913100000000.0,1.0892e+21,0.0,0.0,0.0,2015-09-25 22:48:00,2015-09-25 22:48:00,0 days 00:00:00
1801,2015-09-27 19:00:00,not applicable,not applicable,12426.0,N,0.0,False,False,11.167,29.791,39.37,78.037,148.03,146.78,-0.30598,-0.01034,4294.7,27.726,0.0,458510000000.0,9.1667,6.1599e+21,54.801,1048000000000.0,8.2016e+20,0.0,0.0,0.0,2015-09-26 22:00:00,2015-09-26 22:00:00,0 days 00:00:00
1803,2015-10-13 09:12:00,not applicable,not applicable,12430.0,N,0.0,False,False,18.195,148.01,29.268,53.241,130.83,132.36,0.88486,0.0066944,1755.5,22.279,0.0,1291300000000.0,3.2377,6.3367e+21,116.31,2538100000000.0,1.707e+21,0.0,0.0,0.0,2015-10-12 12:12:00,2015-10-12 12:12:00,0 days 00:00:00
1806,2015-10-31 20:12:00,not applicable,not applicable,12441.0,N,0.0,False,False,21.249,157.74,41.532,90.638,151.71,151.38,-0.091993,-0.010635,4309.6,25.877,0.0,728540000000.0,9.2593,1.1435e+22,117.95,2158700000000.0,1.3988e+21,0.0,0.0,0.0,2015-10-30 23:12:00,2015-10-30 23:12:00,0 days 00:00:00
1808,2015-10-31 08:12:00,not applicable,not applicable,12444.0,N,0.0,False,False,13.031,59.42,30.333,56.399,115.28,114.06,-0.43009,0.0048211,3027.1,23.979,1.9975,603130000000.0,3.6256,1.0866e+22,130.57,2257300000000.0,2.1072e+21,0.0,0.0,0.0,2015-10-30 11:12:00,2015-10-30 11:12:00,0 days 00:00:00
1811,2013-07-21 07:24:00,not applicable,not applicable,11798.0,N,0.0,False,False,12.749,64.852,30.679,60.768,135.34,135.6,1.1482,0.0086667,2257.1,23.211,0.0,917550000000.0,2.5153,4.4094e+21,67.448,1459400000000.0,9.1159e+20,7.2111,0.0,3.2946,2013-07-20 10:24:00,2013-07-20 10:24:00,0 days 00:00:00
1812,2013-11-23 10:48:00,not applicable,not applicable,11903.0,N,0.0,False,False,55.932,345.43,56.205,50.667,80.57,83.413,0.34252,0.0051976,12762.0,47.364,2.2257,2407600000000.0,52.76,1.824e+23,399.12,9864400000000.0,6.3608e+21,27.019,0.0,2.6208,2013-11-22 13:48:00,2013-11-22 13:48:00,0 days 00:00:00
