,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5,MEANGBH_6,MEANGBH_7,MEANGBH_8,MEANGBH_9,MEANGBH_10,MEANGBH_11,MEANGBH_12,MEANGBH_13,MEANGBH_14,MEANGBH_15,MEANGBH_16,MEANGBH_17,MEANGBH_18,MEANGBH_19,MEANGBH_20
2107,N,False,60.788,60.306,61.192,60.726,60.576,59.72,60.214,60.758,60.152,60.215,60.645,60.236,60.086,59.864,59.81,59.921,59.864,59.716,59.141,59.491
2108,N,False,57.181,56.68,57.609,58.024,57.823,58.088,57.933,57.984,57.745,57.146,56.823,56.496,56.622,55.768,55.085,54.622,54.435,54.586,55.668,55.368
2109,N,False,84.64,85.156,85.37,85.432,87.273,85.133,87.504,84.25,81.762,83.195,81.821,82.951,84.133,82.592,81.685,79.479,78.551,76.71,74.876,77.06
2110,N,False,61.91,62.175,61.917,60.913,61.652,62.371,63.266,63.405,62.922,63.267,64.347,64.736,66.157,66.146,65.887,65.112,65.616,66.02,66.359,64.747
2111,N,False,73.423,71.521,70.934,72.705,74.325,73.586,73.03,75.223,75.757,76.748,78.366,77.946,78.113,77.514,78.887,79.483,80.536,80.378,81.541,79.028
2112,N,False,64.88,66.428,67.729,68.024,68.142,67.558,67.672,67.786,68.212,68.94,69.365,69.043,68.804,69.73,70.378,69.797,69.224,68.625,68.087,67.942
2113,N,False,64.928,65.8,65.532,64.772,63.932,62.974,63.107,61.754,61.118,59.903,60.841,59.326,59.646,59.854,59.918,60.108,60.512,60.962,62.246,61.329
2114,N,False,59.054,57.889,58.271,59.125,60.0,59.797,59.262,60.418,60.437,62.037,63.923,66.329,66.16,66.1,66.827,67.789,67.122,66.996,64.963,63.968
2115,N,False,91.8,98.796,105.03,94.831,95.942,88.18,97.858,94.726,92.458,88.195,77.088,73.906,73.203,73.285,71.022,63.504,68.745,65.319,59.137,65.151
2116,N,False,61.187,61.024,61.827,62.828,65.164,66.45,68.591,69.643,69.873,70.698,69.921,69.571,68.547,68.135,67.135,67.499,66.035,63.607,61.738,61.79
2117,N,False,57.679,57.806,58.824,58.969,59.545,59.669,59.579,59.546,59.067,58.592,57.993,56.762,56.71,56.418,55.729,55.511,55.416,55.189,55.455,55.06
2118,N,False,91.708,92.69,88.681,90.637,94.485,90.735,97.382,95.263,95.267,98.212,98.115,102.13,94.925,98.388,99.538,93.571,87.44,90.144,93.39,89.107
2119,N,False,49.693,50.346,50.704,49.814,50.824,50.683,51.097,52.149,52.599,51.96,50.526,50.428,50.095,50.288,50.662,49.454,50.359,49.196,48.702,48.821
2120,N,False,79.098,80.227,79.282,76.581,74.7,77.514,78.707,72.964,69.937,69.779,64.605,58.878,54.579,54.32,56.869,63.283,60.735,60.427,62.37,67.353
2121,N,False,79.927,82.479,82.412,81.886,82.275,80.0,83.579,83.229,83.846,82.734,81.141,82.743,83.587,83.857,81.692,81.073,79.483,77.387,78.596,79.0
2122,N,False,72.421,72.274,72.683,72.101,74.655,74.852,74.746,75.104,75.275,75.534,74.655,75.43,73.136,74.922,72.292,70.409,69.065,67.829,67.553,63.859
2123,N,False,47.398,47.1,47.415,47.398,47.867,48.861,49.886,49.476,49.817,49.854,49.304,50.34,48.126,49.104,48.236,47.309,46.752,46.625,45.108,44.557
2124,N,False,36.228,36.07,36.547,37.028,36.143,35.862,35.524,35.622,35.899,35.83,35.684,35.478,34.958,34.655,34.478,33.871,33.641,34.247,34.599,34.305
2125,N,False,57.255,57.239,57.683,57.326,57.541,57.797,57.581,57.554,56.995,56.304,56.757,56.972,56.563,56.014,56.417,57.0,57.466,58.122,58.223,58.672
2126,N,False,55.606,55.943,55.657,55.125,54.826,54.691,55.594,55.378,54.488,55.611,55.306,55.501,55.526,54.924,54.641,55.276,55.262,55.275,54.999,55.38
2127,N,False,55.606,55.943,55.657,55.125,54.826,54.691,55.594,55.378,54.488,55.611,55.306,55.501,55.526,54.924,54.641,55.276,55.262,55.275,54.999,55.38
2128,N,False,53.858,52.85,50.331,50.884,50.155,49.991,49.114,49.794,50.274,51.566,51.759,51.158,51.515,51.462,52.865,52.778,53.28,52.77,53.3,53.526
2129,N,False,66.458,65.652,66.15,65.671,65.54,65.253,65.745,65.666,65.945,66.089,63.44,64.842,64.892,65.156,63.984,64.507,63.04,61.013,60.178,59.866
2130,N,False,60.291,60.538,60.218,59.244,60.308,59.665,60.751,60.409,58.731,56.11,55.211,54.979,53.801,53.678,53.779,51.39,53.505,53.802,52.848,52.552
2131,N,False,60.943,60.346,60.527,61.742,61.158,61.172,62.614,62.846,63.413,62.875,62.457,64.928,65.494,66.807,68.823,65.988,66.272,67.489,68.656,69.295
2132,N,False,75.566,75.072,71.994,73.015,73.324,73.061,73.416,73.423,72.631,72.921,71.15,70.349,70.243,69.33,69.85,69.658,70.424,69.858,70.24,70.333
2133,N,False,63.036,62.386,61.301,60.556,61.512,60.254,61.632,62.527,60.485,60.927,60.835,61.109,60.428,58.913,58.951,57.984,58.498,56.733,57.992,59.04
2134,N,False,56.715,57.645,56.81,55.837,54.211,53.068,53.753,53.364,52.063,52.672,52.171,52.994,51.783,53.255,53.697,53.706,53.719,54.473,53.974,54.774
2135,N,False,56.644,56.248,56.419,56.835,56.107,57.103,57.586,57.105,57.619,59.224,58.67,57.443,56.232,56.873,57.996,57.815,57.789,57.632,57.591,57.597
2136,N,False,72.763,73.201,72.028,70.535,74.19,77.658,77.571,74.725,73.828,73.657,75.231,72.151,71.633,71.672,72.218,72.687,73.347,74.902,75.042,73.896
2137,N,False,61.894,60.966,60.043,59.235,58.299,59.831,60.225,62.021,61.737,61.608,64.443,66.028,66.932,67.11,65.146,67.449,68.743,68.687,67.694,66.539
2138,N,False,82.743,79.334,80.046,84.481,85.684,85.562,89.168,89.068,88.099,89.281,87.609,88.264,92.398,93.978,96.633,93.696,94.798,92.62,94.765,95.043
2139,N,False,81.973,84.051,83.951,83.856,86.606,85.414,85.063,85.451,85.247,84.9,79.958,80.08,78.489,80.433,78.207,78.037,76.145,80.144,83.236,78.789
2140,N,False,49.819,50.153,48.202,49.671,50.292,51.212,53.311,54.242,52.799,53.096,55.75,56.832,57.17,58.283,56.99,57.279,58.782,54.792,56.06,53.031
2141,N,False,51.373,50.409,50.912,51.806,52.277,53.074,53.457,53.047,52.665,53.794,54.081,54.55,53.99,55.143,53.013,53.241,54.927,52.699,52.58,52.861
2142,N,False,43.11,42.549,43.05,43.239,42.704,43.65,43.426,42.73,42.251,42.147,41.432,41.602,40.317,40.238,39.254,39.65,39.969,40.811,39.387,39.818
2143,N,False,80.973,80.954,82.305,83.809,81.937,86.438,88.997,89.119,90.358,91.818,92.344,93.555,91.872,90.084,91.763,91.287,89.786,90.357,91.193,91.105
2144,N,False,78.74,78.678,76.807,75.943,80.456,80.159,82.486,84.288,87.187,86.441,88.788,90.376,87.305,89.698,88.755,90.638,93.363,90.914,94.542,90.64
2145,N,False,78.911,76.087,77.987,81.129,80.973,80.954,82.305,83.809,81.937,86.438,88.997,89.119,90.358,91.818,92.344,93.555,91.872,90.084,91.763,91.287
