,FLARE_TYPE,COINCIDENCE,MEANPOT_1,MEANPOT_2,MEANPOT_3,MEANPOT_4,MEANPOT_5,MEANPOT_6,MEANPOT_7,MEANPOT_8,MEANPOT_9,MEANPOT_10,MEANPOT_11,MEANPOT_12,MEANPOT_13,MEANPOT_14,MEANPOT_15,MEANPOT_16,MEANPOT_17,MEANPOT_18,MEANPOT_19,MEANPOT_20
414,M,False,18254.0,17962.0,17734.0,17596.0,17451.0,17327.0,17130.0,17046.0,16861.0,16838.0,16708.0,16697.0,16665.0,16750.0,16908.0,17094.0,17242.0,17505.0,17763.0,17889.0
415,M,True,20200.0,20343.0,20627.0,20643.0,20599.0,20667.0,20758.0,20792.0,20782.0,20807.0,20858.0,20763.0,20782.0,20770.0,20778.0,20748.0,20642.0,20570.0,20470.0,20549.0
416,M,True,19821.0,19751.0,19666.0,19616.0,19569.0,19515.0,19531.0,19513.0,19706.0,19743.0,19868.0,19927.0,20081.0,20166.0,20356.0,20356.0,20347.0,20479.0,20453.0,20411.0
417,M,True,16164.0,16040.0,15922.0,15745.0,15793.0,15888.0,15905.0,15965.0,16083.0,16158.0,16253.0,16276.0,16278.0,16393.0,16415.0,16437.0,16469.0,16433.0,16404.0,16454.0
418,M,False,15922.0,15745.0,15793.0,15888.0,15905.0,15965.0,16083.0,16158.0,16253.0,16276.0,16278.0,16393.0,16415.0,16437.0,16469.0,16433.0,16404.0,16454.0,16360.0,16283.0
419,M,False,16083.0,16158.0,16253.0,16276.0,16278.0,16393.0,16415.0,16437.0,16469.0,16433.0,16404.0,16454.0,16360.0,16283.0,16218.0,16117.0,16056.0,16057.0,15925.0,15893.0
420,M,False,15901.0,15860.0,15912.0,15969.0,15912.0,15918.0,15922.0,15975.0,15978.0,16029.0,16086.0,16061.0,16068.0,16004.0,15966.0,15866.0,15797.0,15706.0,15644.0,15556.0
421,M,False,15978.0,16029.0,16086.0,16061.0,16068.0,16004.0,15966.0,15866.0,15797.0,15706.0,15644.0,15556.0,15447.0,15311.0,15249.0,15213.0,15163.0,15170.0,15199.0,15310.0
422,M,False,15171.0,15004.0,14987.0,15067.0,15010.0,14880.0,14807.0,14659.0,14677.0,14639.0,14642.0,14705.0,14628.0,14703.0,14699.0,14726.0,14816.0,14780.0,14697.0,14738.0
423,M,False,15091.0,14936.0,14790.0,14680.0,14569.0,14454.0,14483.0,14499.0,14470.0,14529.0,14637.0,14702.0,14709.0,14839.0,14935.0,15027.0,15110.0,15018.0,15120.0,15137.0
424,M,False,14725.0,14789.0,14762.0,14808.0,14800.0,14643.0,14581.0,14556.0,14431.0,14374.0,14340.0,14128.0,14045.0,13978.0,13955.0,13821.0,13813.0,13753.0,13789.0,13911.0
425,M,False,14581.0,14556.0,14431.0,14374.0,14340.0,14128.0,14045.0,13978.0,13955.0,13821.0,13813.0,13753.0,13789.0,13911.0,13856.0,14035.0,14157.0,14287.0,14480.0,14560.0
426,M,True,13369.0,13422.0,13596.0,13553.0,13569.0,13714.0,13770.0,13811.0,13852.0,13928.0,13829.0,13884.0,13868.0,13715.0,13634.0,13542.0,13423.0,13396.0,13274.0,13101.0
427,M,True,12926.0,12937.0,13020.0,13076.0,13248.0,13280.0,13368.0,13559.0,13550.0,13540.0,13578.0,13578.0,13605.0,13536.0,13494.0,13428.0,13317.0,13224.0,13287.0,13139.0
428,M,False,13113.0,13054.0,13014.0,12993.0,12981.0,12987.0,12939.0,13121.0,13059.0,12977.0,12973.0,13033.0,13014.0,13093.0,13081.0,13127.0,13137.0,13095.0,13164.0,13198.0
429,M,False,13541.0,13465.0,13470.0,13675.0,13800.0,13719.0,13711.0,13854.0,13743.0,13749.0,13632.0,13499.0,13443.0,13435.0,13353.0,13394.0,13247.0,13212.0,13287.0,13293.0
430,M,False,13749.0,13632.0,13499.0,13443.0,13435.0,13353.0,13394.0,13247.0,13212.0,13287.0,13293.0,13334.0,13334.0,13421.0,13351.0,13602.0,13539.0,13515.0,13629.0,13952.0
431,M,False,13421.0,13351.0,13602.0,13539.0,13515.0,13629.0,13952.0,13840.0,13712.0,13881.0,13786.0,13871.0,13649.0,13737.0,13640.0,13737.0,13302.0,13608.0,13687.0,13717.0
432,M,False,13737.0,13640.0,13737.0,13302.0,13608.0,13687.0,13717.0,13595.0,13647.0,13653.0,13548.0,14025.0,13765.0,14006.0,14152.0,14312.0,14055.0,14217.0,14402.0,14475.0
433,M,False,14055.0,14217.0,14402.0,14475.0,14416.0,14548.0,14464.0,14558.0,14793.0,15068.0,15083.0,15205.0,15418.0,15414.0,15405.0,15758.0,15986.0,15774.0,15824.0,15443.0
434,M,False,14416.0,14548.0,14464.0,14558.0,14793.0,15068.0,15083.0,15205.0,15418.0,15414.0,15405.0,15758.0,15986.0,15774.0,15824.0,15443.0,15706.0,15873.0,15675.0,15729.0
435,M,False,15824.0,15443.0,15706.0,15873.0,15675.0,15729.0,15722.0,15578.0,15731.0,15640.0,15732.0,15818.0,15748.0,15729.0,15854.0,16156.0,16129.0,15909.0,16106.0,16172.0
436,M,True,5160.8,5004.9,5080.6,5517.1,5052.3,5014.8,5153.0,5564.4,5602.9,5282.8,5560.0,5560.7,5281.2,5454.9,5483.8,5012.9,5370.9,5442.1,4994.4,5497.3
437,M,False,5765.5,5750.5,5768.3,5906.1,6321.4,6175.8,6441.5,6051.9,6163.7,6656.2,6441.6,6504.2,6452.8,6474.5,6393.7,6282.1,6218.1,6360.5,6421.9,6552.6
438,M,True,6382.4,6021.4,6595.3,6710.1,6778.7,6896.5,6748.3,6648.1,6786.5,6888.6,6667.2,6580.9,6625.2,6558.9,6284.2,6202.1,6392.3,6342.9,6276.3,6084.9
439,M,True,6580.9,6625.2,6558.9,6284.2,6202.1,6392.3,6342.9,6276.3,6084.9,6100.9,6136.7,6068.2,5829.5,6082.5,6243.1,6128.2,6164.9,5707.4,6185.4,6171.3
440,M,True,6872.7,6874.1,6894.8,6776.0,6688.7,6646.3,6633.8,6528.0,6563.8,6451.6,6542.1,6585.4,6623.0,6571.6,6686.0,6663.7,6711.5,6544.6,6736.5,6760.5
