,FLARE_TYPE,COINCIDENCE,TOTUSJZ_1,TOTUSJZ_2,TOTUSJZ_3,TOTUSJZ_4,TOTUSJZ_5,TOTUSJZ_6,TOTUSJZ_7,TOTUSJZ_8,TOTUSJZ_9,TOTUSJZ_10,TOTUSJZ_11,TOTUSJZ_12,TOTUSJZ_13,TOTUSJZ_14,TOTUSJZ_15,TOTUSJZ_16,TOTUSJZ_17,TOTUSJZ_18,TOTUSJZ_19,TOTUSJZ_20
1718,B,False,9868400000000.0,9765100000000.0,9777500000000.0,9793800000000.0,9927300000000.0,9921100000000.0,10181000000000.0,9904800000000.0,9742100000000.0,10015000000000.0,9845300000000.0,9903500000000.0,9981000000000.0,9770500000000.0,9843800000000.0,9748800000000.0,9654900000000.0,10369000000000.0,10403000000000.0,10028000000000.0
1719,B,False,4607600000000.0,4694700000000.0,4661200000000.0,4613800000000.0,4529800000000.0,4623100000000.0,4500900000000.0,4608500000000.0,4407800000000.0,4457700000000.0,4438700000000.0,4376600000000.0,4292100000000.0,4358200000000.0,4409200000000.0,4269200000000.0,4347500000000.0,4319800000000.0,4276800000000.0,4345500000000.0
1720,B,False,18502000000000.0,18713000000000.0,18393000000000.0,18077000000000.0,18253000000000.0,18376000000000.0,18079000000000.0,18345000000000.0,18292000000000.0,18420000000000.0,18600000000000.0,18587000000000.0,18781000000000.0,18453000000000.0,17327000000000.0,17658000000000.0,17253000000000.0,17075000000000.0,17336000000000.0,17266000000000.0
1721,B,False,4935200000000.0,4964000000000.0,4805800000000.0,4859100000000.0,4996200000000.0,5108600000000.0,4959000000000.0,5150300000000.0,4912100000000.0,4806300000000.0,4674700000000.0,4733400000000.0,4694600000000.0,4721800000000.0,4889400000000.0,4586100000000.0,4816900000000.0,4606600000000.0,4725700000000.0,4681200000000.0
1722,B,False,14262000000000.0,14304000000000.0,14539000000000.0,15147000000000.0,14459000000000.0,14899000000000.0,14536000000000.0,14299000000000.0,14045000000000.0,14691000000000.0,14730000000000.0,14226000000000.0,14501000000000.0,14640000000000.0,14210000000000.0,14112000000000.0,14000000000000.0,13640000000000.0,13562000000000.0,14036000000000.0
1723,B,False,24217000000000.0,24848000000000.0,23506000000000.0,23349000000000.0,23192000000000.0,23004000000000.0,22624000000000.0,22874000000000.0,22992000000000.0,22979000000000.0,23333000000000.0,23090000000000.0,23286000000000.0,23417000000000.0,23903000000000.0,24562000000000.0,24761000000000.0,25279000000000.0,25440000000000.0,25395000000000.0
1724,B,False,22549000000000.0,22805000000000.0,23074000000000.0,22709000000000.0,22929000000000.0,23612000000000.0,23467000000000.0,23301000000000.0,23409000000000.0,23528000000000.0,23588000000000.0,23465000000000.0,23843000000000.0,24253000000000.0,24508000000000.0,24062000000000.0,24550000000000.0,24437000000000.0,25256000000000.0,24794000000000.0
1725,B,False,14637000000000.0,14656000000000.0,14816000000000.0,14800000000000.0,14276000000000.0,14751000000000.0,14078000000000.0,14283000000000.0,14152000000000.0,14218000000000.0,14189000000000.0,14504000000000.0,14220000000000.0,13932000000000.0,13951000000000.0,13395000000000.0,13830000000000.0,14105000000000.0,13823000000000.0,13956000000000.0
1726,B,False,10368000000000.0,10145000000000.0,9961900000000.0,9970500000000.0,9912600000000.0,9860100000000.0,9791500000000.0,9861800000000.0,9577000000000.0,9681900000000.0,9791700000000.0,9964000000000.0,10044000000000.0,9832800000000.0,9883000000000.0,9971700000000.0,9740800000000.0,9787800000000.0,9614800000000.0,9850100000000.0
1727,B,False,2592000000000.0,2751600000000.0,2625800000000.0,2695700000000.0,2807100000000.0,2752800000000.0,2575300000000.0,2420700000000.0,2298800000000.0,2282000000000.0,2181600000000.0,2101900000000.0,2070300000000.0,1906700000000.0,1756500000000.0,1786600000000.0,1847800000000.0,1828900000000.0,1877900000000.0,1928100000000.0
