,FLARE_TYPE,COINCIDENCE,MEANSHR_1,MEANSHR_2,MEANSHR_3,MEANSHR_4,MEANSHR_5,MEANSHR_6,MEANSHR_7,MEANSHR_8,MEANSHR_9,MEANSHR_10,MEANSHR_11,MEANSHR_12,MEANSHR_13,MEANSHR_14,MEANSHR_15,MEANSHR_16,MEANSHR_17,MEANSHR_18,MEANSHR_19,MEANSHR_20,MEANSHR_21,MEANSHR_22,MEANSHR_23,MEANSHR_24,MEANSHR_25,MEANSHR_26,MEANSHR_27,MEANSHR_28,MEANSHR_29,MEANSHR_30
1025,B,False,38.584,38.208,37.922,39.346,38.746,39.178,39.442,38.332,37.924,37.321,38.083,38.731,39.142,37.26,36.932,38.068,37.319,37.868,37.522,37.142,37.407,36.557,37.339,36.631,36.716,36.16,36.113,36.341,36.509,36.204
1026,B,False,22.663,22.864,23.085,23.002,22.946,22.932,22.953,23.087,23.27,23.223,23.492,23.48,23.866,23.569,23.783,23.446,23.337,23.288,22.885,22.92,23.109,23.078,22.693,23.015,22.793,22.592,22.834,22.839,22.972,22.838
1027,B,False,37.707,37.765,37.796,38.061,37.715,37.697,38.092,37.657,36.977,37.872,37.555,38.129,37.664,37.866,37.487,37.651,37.68,37.29,37.463,37.449,38.075,38.325,38.251,37.931,38.013,37.319,37.03,36.896,36.939,38.056
1028,B,False,28.457,28.619,28.762,42.545,28.638,28.771,28.708,28.927,29.249,29.262,29.476,29.676,30.161,30.082,30.436,31.167,31.311,31.3,30.745,30.497,31.309,31.456,31.58,32.363,32.934,32.825,33.658,33.576,34.062,33.589
1029,B,True,41.528,41.156,41.332,41.454,40.452,40.906,40.508,40.784,40.25,40.955,41.378,41.105,41.256,41.321,41.678,41.984,41.212,40.888,40.726,40.651,41.115,40.768,40.648,40.8,40.721,40.894,41.072,40.671,40.782,40.968
1030,B,True,30.942,30.552,30.216,31.721,33.616,30.124,30.655,31.691,31.455,30.965,34.415,32.004,31.062,34.153,32.51,32.088,33.323,31.119,32.1,33.293,32.365,32.753,32.731,32.458,33.623,32.974,33.552,32.858,31.125,35.067
1031,B,False,40.715,40.479,40.315,40.284,40.193,40.023,40.91,40.362,40.313,39.966,40.155,39.629,39.623,40.0,39.942,40.321,40.053,39.549,40.039,39.075,39.166,39.461,39.54,39.828,39.932,39.673,39.37,40.009,39.819,40.028
1032,B,False,25.411,25.777,25.87,25.83,25.231,25.543,25.654,25.801,25.881,26.42,26.395,26.573,26.855,25.688,26.365,26.114,26.066,25.549,25.868,26.115,25.536,25.696,25.359,25.468,25.586,26.09,25.542,25.936,25.965,26.397
1033,B,False,32.122,31.716,31.371,30.977,30.528,31.123,30.055,30.731,29.868,29.501,29.497,29.341,29.16,28.8,29.005,29.236,29.513,28.772,28.942,28.983,28.922,28.712,29.147,29.055,28.744,28.161,28.38,28.085,28.415,28.042
1034,B,False,42.327,34.195,35.069,35.304,36.027,34.818,35.312,36.818,33.971,33.306,32.533,36.303,34.848,33.671,33.516,34.507,32.15,32.858,31.771,32.308,31.736,31.41,33.043,32.96,33.673,32.754,34.314,31.964,31.826,31.368
1035,B,True,25.177,25.819,25.532,25.5,25.161,24.925,25.226,25.929,25.983,26.09,25.456,25.959,24.812,24.581,24.885,25.123,25.004,24.503,23.869,24.302,23.918,24.244,24.782,25.08,25.282,25.147,25.197,25.665,25.241,25.284
1036,B,True,27.376,28.637,28.708,30.798,29.699,37.047,40.44,44.134,41.808,38.917,37.488,37.888,37.737,37.489,37.858,39.323,38.406,36.055,34.924,34.615,35.364,32.533,31.893,33.961,35.964,35.278,34.578,35.533,35.658,34.529
1037,B,True,34.374,35.045,35.266,35.861,36.444,37.055,36.543,36.43,36.392,35.845,35.733,36.032,35.959,36.038,36.744,36.679,36.709,37.068,35.696,35.362,35.395,36.628,35.163,36.89,37.236,38.266,36.649,37.864,37.666,37.242
1038,B,True,30.945,27.079,25.852,24.543,21.423,22.841,24.557,26.654,27.196,29.852,36.548,34.296,37.27,35.213,36.116,34.563,35.261,31.733,32.469,31.286,34.353,33.914,35.545,36.922,35.948,36.676,37.151,36.817,33.984,30.386
1039,B,False,40.462,40.4,40.542,40.253,40.489,39.917,45.442,40.133,39.699,39.98,40.074,40.502,40.473,40.315,40.311,40.492,40.676,40.697,40.774,40.7,40.792,40.999,41.285,41.426,41.283,41.204,41.0,41.151,41.099,41.368
1040,B,False,26.673,26.11,25.889,27.338,27.726,26.962,26.755,26.532,26.995,27.718,27.598,27.301,26.928,26.376,26.728,26.989,26.653,26.422,26.361,25.555,25.574,25.579,27.023,25.967,25.385,26.52,25.779,27.069,26.974,26.589
1041,B,False,32.465,33.115,33.833,34.684,34.666,34.972,35.107,34.852,35.505,35.93,34.604,35.446,35.895,36.11,36.665,37.108,37.456,37.318,37.039,37.256,37.016,37.399,36.305,36.415,36.166,36.776,37.446,37.653,37.491,37.162
1042,B,False,25.298,25.174,25.445,23.333,25.769,23.037,24.518,23.167,22.73,24.238,23.67,23.203,22.816,22.257,21.745,22.164,21.262,20.143,19.484,20.297,20.145,19.599,19.996,21.113,20.582,19.299,21.853,21.277,21.407,20.1
1043,B,True,24.679,24.376,24.477,24.187,24.863,24.603,24.368,24.084,24.635,24.571,24.46,24.877,24.713,24.748,24.762,24.827,25.026,24.968,24.819,25.139,24.849,24.925,25.077,24.856,25.175,25.398,25.183,25.614,25.407,25.609
1044,B,True,39.761,35.86,47.008,30.443,42.94,41.803,38.14,29.823,39.136,30.494,30.356,31.874,31.567,32.51,31.736,44.207,42.454,52.495,32.991,32.368,32.968,34.172,31.355,48.362,34.337,30.639,33.088,41.621,38.942,33.703
1045,B,False,38.992,39.362,40.173,40.932,40.746,39.597,39.078,38.944,37.558,36.053,35.166,34.295,34.435,34.111,33.889,33.962,33.548,33.961,34.817,36.149,36.282,37.047,37.713,37.117,37.273,37.609,37.438,37.868,37.348,36.719
1046,B,False,33.443,33.839,34.119,33.764,33.91,33.643,33.574,33.595,33.478,33.156,33.203,33.63,33.246,33.1,33.212,33.761,33.486,34.074,34.154,34.102,33.808,33.647,34.103,34.025,34.512,33.825,34.345,33.783,33.832,33.527
1047,B,False,21.662,20.935,20.581,20.782,21.705,21.22,21.473,21.657,21.224,20.868,20.606,20.639,21.86,20.084,20.517,20.494,20.247,20.215,20.851,20.893,20.836,21.65,19.816,20.319,20.174,19.83,20.089,20.996,20.129,19.819
1048,B,True,28.463,28.367,28.27,28.194,28.476,28.547,28.684,28.714,28.547,28.542,28.537,28.469,28.56,28.6,28.552,28.425,28.697,28.608,28.328,28.364,28.606,28.709,28.593,28.807,29.148,28.946,29.043,28.786,29.035,28.909
1049,B,False,20.532,20.824,20.821,20.852,20.935,20.772,20.953,20.953,21.085,21.145,21.479,21.254,21.809,21.665,21.455,21.661,21.82,22.211,22.175,21.884,22.432,22.347,22.89,21.853,22.379,22.374,22.6,22.264,22.064,22.071
1050,B,False,23.104,22.971,23.022,22.982,22.88,23.035,22.822,22.726,22.674,22.65,22.618,22.462,22.316,22.301,22.275,22.31,22.282,22.106,22.262,22.273,22.311,22.375,22.264,22.228,22.133,22.146,21.956,22.17,21.962,22.046
1051,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7888,52.005,46.023,6.271,29.305,6.8124,44.145,10.293,11.534,22.414,17.649,12.254,13.913,34.248,26.233,24.248,22.891,26.256,33.706,38.993,36.945,40.58,39.439
1052,B,False,39.097,38.949,40.345,38.354,38.759,37.176,36.566,37.23,35.812,37.533,38.194,38.895,38.414,39.558,40.235,40.927,37.796,37.176,37.686,37.084,35.835,36.582,36.054,36.425,36.861,36.266,35.219,35.947,35.592,35.42
1053,B,False,38.097,38.288,38.435,38.703,37.895,38.005,37.549,38.434,38.787,38.873,39.707,40.064,40.146,39.814,39.271,40.179,40.38,40.01,40.503,40.023,40.073,39.67,39.434,39.296,39.181,38.09,38.084,38.352,37.605,38.023
1054,B,True,22.455,22.864,22.84,23.153,22.926,23.314,23.298,22.497,22.584,22.424,22.333,22.47,22.187,22.046,21.965,21.812,22.1,22.152,22.363,22.368,22.663,22.761,22.655,22.606,22.85,23.259,23.547,23.634,23.867,23.907
1055,B,False,21.211,21.18,21.653,22.208,22.573,22.456,22.532,22.556,22.671,21.519,21.771,21.611,21.242,21.033,21.51,21.397,20.639,20.629,21.259,20.972,20.967,20.796,20.341,20.414,20.736,20.536,20.642,20.778,20.833,21.161
1056,B,False,35.578,35.531,35.882,35.9,35.683,36.331,36.391,36.232,37.224,37.251,37.348,37.209,37.178,37.101,36.916,37.034,36.522,36.884,37.15,36.892,36.378,36.731,36.458,36.406,36.216,36.337,36.673,36.788,36.465,36.082
1057,B,False,44.45,44.672,43.207,43.283,42.759,42.915,43.76,41.439,40.905,41.146,41.328,40.664,40.735,40.632,39.468,41.301,39.455,40.165,40.289,40.388,40.103,39.363,40.732,39.548,39.464,39.904,38.697,38.723,38.674,36.92
1058,B,False,36.275,35.821,33.489,31.956,35.507,30.439,27.633,27.722,27.532,25.696,35.669,25.99,25.845,27.281,26.305,27.511,29.976,29.722,28.808,27.612,28.011,26.838,27.263,28.464,29.012,27.555,29.194,33.39,31.386,30.509
1059,B,False,26.443,25.738,26.918,27.847,26.519,27.953,27.766,27.745,27.529,28.98,26.232,26.397,26.603,25.503,27.532,26.302,25.307,24.215,23.561,24.149,23.934,23.46,24.348,21.888,23.221,23.091,19.994,19.704,23.109,22.739
1060,B,False,29.331,28.837,28.461,29.131,28.791,29.652,29.741,29.653,29.759,29.707,29.914,29.451,29.365,29.678,30.358,29.895,30.012,30.353,30.364,30.529,29.516,30.897,29.579,28.948,29.22,29.411,29.41,29.256,29.992,29.529
1061,B,False,34.963,35.218,35.284,35.301,35.538,35.891,36.047,35.567,35.475,35.719,36.166,35.893,36.485,36.395,36.372,35.261,35.981,35.041,35.257,34.482,34.465,34.822,34.414,34.295,34.054,33.977,34.557,34.832,35.252,35.013
