,FLARE_TYPE,COINCIDENCE,MEANPOT_1,MEANPOT_2,MEANPOT_3,MEANPOT_4,MEANPOT_5,MEANPOT_6,MEANPOT_7,MEANPOT_8,MEANPOT_9,MEANPOT_10,MEANPOT_11,MEANPOT_12,MEANPOT_13,MEANPOT_14,MEANPOT_15,MEANPOT_16,MEANPOT_17,MEANPOT_18,MEANPOT_19,MEANPOT_20,MEANPOT_21,MEANPOT_22,MEANPOT_23,MEANPOT_24,MEANPOT_25,MEANPOT_26,MEANPOT_27,MEANPOT_28,MEANPOT_29,MEANPOT_30
979,B,True,10687.0,10580.0,10638.0,10826.0,10490.0,10223.0,10335.0,9965.5,9956.1,9994.3,10072.0,10223.0,10207.0,10182.0,10156.0,10191.0,10196.0,10048.0,10286.0,10522.0,10344.0,10298.0,10630.0,10738.0,10552.0,10437.0,10544.0,10498.0,10707.0,10895.0
980,B,True,8137.5,7936.6,7816.5,7431.5,7379.4,7596.0,7688.9,7524.0,7729.2,7730.5,8061.9,8022.1,7963.2,7844.1,7853.4,7500.9,7119.6,7266.4,7020.2,7070.3,6967.1,6841.5,6960.3,6950.4,7125.0,7031.8,6872.3,6912.0,6986.3,7235.3
981,B,False,10199.0,10241.0,10031.0,10034.0,9904.9,9677.3,9832.7,9641.6,9607.1,9744.8,9548.2,9657.5,9569.9,9882.7,10042.0,9951.8,9914.5,9937.5,10185.0,10134.0,9935.2,10081.0,10198.0,10055.0,10099.0,10429.0,10641.0,10603.0,10514.0,10631.0
982,B,False,6901.5,7155.9,7098.6,7263.3,7231.6,7543.6,7779.5,7775.6,7731.9,7439.5,7275.7,7118.9,7011.2,6869.1,6802.1,6757.4,6824.7,6743.7,6684.2,6670.0,6495.3,6516.7,6667.2,6743.3,6638.5,6804.7,6643.4,6721.4,6690.6,6730.7
983,B,False,4417.1,4396.7,4294.3,4203.3,4146.8,4099.7,4154.6,4044.1,4055.4,3955.4,4016.2,3922.3,3869.9,3966.0,3947.9,4018.8,4036.4,4018.4,3976.2,3919.0,3938.7,3823.9,3849.2,3793.1,3852.2,3798.1,3700.3,3831.5,3723.6,3487.8
984,B,False,2011.3,1964.5,1931.0,1938.7,1905.4,1855.4,1930.8,1949.1,1942.8,1986.4,1987.7,2030.2,2037.4,2070.0,2068.2,2112.8,2109.0,2133.3,2188.1,2138.7,2102.6,2123.3,2120.0,2075.9,2030.7,1962.4,1962.7,1901.2,1885.2,1882.4
985,B,False,2806.4,2718.0,2691.4,2751.8,2823.1,2792.4,2843.3,2918.1,2978.2,3044.5,3150.1,3096.5,3094.5,3078.1,3067.7,3051.4,3172.1,3122.0,3003.7,2921.4,2786.8,2770.0,2755.9,2779.6,2766.0,2800.6,2777.4,2911.3,2913.2,2909.2
986,B,True,8845.8,8933.1,9157.9,9295.4,9557.6,9861.9,9984.3,10188.0,10293.0,10424.0,10361.0,10417.0,10154.0,10120.0,10110.0,9971.8,9760.4,9568.5,9480.4,9225.4,9236.6,9216.8,8973.7,8958.0,8950.5,8839.3,8812.7,8826.1,8850.8,8819.2
987,B,False,2278.7,2347.4,2291.6,2354.5,2302.9,2342.2,2292.8,2340.1,2277.3,2236.0,2250.6,2262.5,2304.0,2300.4,2321.5,2267.6,2270.7,2261.2,2257.6,2251.7,2289.7,2318.3,2353.6,2408.7,2349.4,2328.1,2361.0,2383.3,2454.0,2456.4
988,B,False,9654.3,9400.3,9542.6,9441.6,9685.5,9492.1,9591.8,9242.9,9341.0,9310.1,8968.1,8946.2,8680.0,8691.8,8582.8,8817.9,8640.5,8557.6,8515.5,8485.1,8588.7,8792.0,8930.4,9122.9,9378.3,9739.7,9483.5,9836.6,9751.7,9833.4
989,B,False,4835.9,4674.7,4630.8,4495.9,4432.6,4532.0,4704.5,4671.3,4537.8,4176.6,4352.0,2450.0,2452.1,2466.1,2328.6,2376.9,2363.7,2417.6,2382.7,2605.8,2781.2,2698.7,2765.0,2747.2,2747.8,2770.0,2760.9,2841.7,2792.7,2958.2
990,B,False,2653.7,2678.2,2727.1,2744.6,2717.8,2740.3,2694.4,2658.3,2587.5,2572.4,2562.5,2474.0,2436.4,2338.3,2330.7,2347.3,2418.0,2421.9,2465.2,2553.4,2566.1,2700.5,2764.2,2778.6,2869.5,2837.0,2760.9,2650.6,2680.3,2641.3
991,B,False,9915.4,9994.0,10054.0,10026.0,10071.0,10140.0,9976.6,10333.0,10213.0,9708.4,10018.0,10082.0,10064.0,10079.0,10099.0,10122.0,9874.6,9862.7,9772.6,9551.0,9501.5,9310.0,9109.9,9033.5,9089.9,8984.3,8865.4,8894.3,8979.1,8708.2
992,B,True,2378.2,2403.1,2486.7,2784.0,2095.8,2363.2,2195.0,2227.8,2465.5,2300.0,2891.5,2083.8,2317.3,2411.0,1945.0,2275.4,2128.9,1868.0,2140.6,1719.7,2161.9,2010.3,1783.5,1709.2,1898.0,1897.5,1405.1,2128.0,1825.6,2128.1
993,B,False,4441.5,4543.8,4676.1,4727.7,4636.1,4877.0,4952.0,5104.8,4975.3,4873.1,4948.5,5218.9,5334.3,5379.1,5691.9,5803.9,5581.7,5820.9,5645.4,5548.4,5516.6,5444.3,5412.2,5327.5,5253.7,5260.0,5235.9,5150.8,5118.4,5129.0
994,B,False,3362.0,3323.7,3272.1,3357.6,3314.8,3368.9,3379.5,3369.3,3495.6,3586.3,3576.2,3651.1,3702.3,3837.2,3700.8,3677.5,3729.2,3563.6,3623.2,3568.2,3524.8,3483.6,3435.4,3384.4,3476.4,3431.2,3484.2,3510.3,3524.6,3611.9
995,B,False,1566.0,1499.3,1524.2,1528.5,1504.3,1462.0,1459.8,1415.7,1442.1,1485.2,1494.1,1475.6,1454.6,1436.4,1415.7,1404.1,1412.5,1459.1,1388.6,1359.5,1340.0,1302.3,1329.4,1283.7,1279.6,1291.0,1288.1,1241.2,1356.8,1301.1
996,B,True,8667.8,8734.8,8879.2,8983.9,8892.9,8951.3,9127.0,9137.9,9037.0,9132.8,9062.4,9075.8,9039.2,9074.1,9238.5,9235.9,9242.2,9195.1,9226.8,9290.8,9306.7,9420.1,9396.6,9194.3,9176.4,9018.0,8879.9,8807.2,8648.5,8562.1
997,B,True,4344.1,4358.1,4386.1,4441.0,4523.7,4761.0,4548.6,4513.7,4424.4,4472.0,4760.5,4343.5,4656.8,4806.5,5085.0,5456.2,5152.0,5064.5,5242.8,5087.4,5172.6,4929.3,5875.6,5187.6,5001.1,4792.8,5202.8,5097.1,5069.4,5752.4
