,FLARE_TYPE,COINCIDENCE,TOTPOT_1,TOTPOT_2,TOTPOT_3,TOTPOT_4,TOTPOT_5,TOTPOT_6,TOTPOT_7,TOTPOT_8,TOTPOT_9,TOTPOT_10
426,M,True,4.2088e+23,4.18e+23,4.4421e+23,4.2557e+23,4.2404e+23,4.5086e+23,4.2593e+23,4.4111e+23,4.4683e+23,4.533e+23
427,M,True,3.0952e+24,3.1038e+24,3.0876e+24,3.0793e+24,3.0705e+24,3.0943e+24,3.0734e+24,3.0865e+24,3.0908e+24,3.0859e+24
428,M,False,3.2982e+24,3.3189e+24,3.3306e+24,3.3665e+24,3.38e+24,3.4037e+24,3.4015e+24,3.4136e+24,3.4117e+24,3.4021e+24
429,M,False,3.4387e+24,3.4513e+24,3.4653e+24,3.473e+24,3.4906e+24,3.5093e+24,3.5274e+24,3.5769e+24,3.5634e+24,3.5882e+24
430,M,False,3.4906e+24,3.5093e+24,3.5274e+24,3.5769e+24,3.5634e+24,3.5882e+24,3.6031e+24,3.6136e+24,3.6278e+24,3.6343e+24
431,M,False,3.6899e+24,3.6946e+24,3.6921e+24,3.6985e+24,3.6986e+24,3.7061e+24,3.7175e+24,3.7123e+24,3.7127e+24,3.7219e+24
432,M,True,4.3319e+24,4.3449e+24,4.3648e+24,4.382e+24,4.3867e+24,4.3937e+24,4.3983e+24,4.4181e+24,4.4291e+24,4.4128e+24
433,M,False,4.2738e+24,4.2718e+24,4.2609e+24,4.2691e+24,4.2767e+24,4.2796e+24,4.2784e+24,4.28e+24,4.2945e+24,4.2864e+24
434,M,True,4.9032e+24,4.898e+24,4.9011e+24,4.9008e+24,4.8995e+24,4.9018e+24,4.9028e+24,4.8958e+24,4.8919e+24,4.8928e+24
435,M,True,5.2092e+24,5.2073e+24,5.2051e+24,5.2145e+24,5.2218e+24,5.2219e+24,5.2373e+24,5.243e+24,5.2481e+24,5.255e+24
436,M,True,5.2496e+24,5.2542e+24,5.2247e+24,5.2017e+24,5.1899e+24,5.1801e+24,5.1711e+24,5.1496e+24,5.1417e+24,5.1267e+24
437,M,False,5.2247e+24,5.2017e+24,5.1899e+24,5.1801e+24,5.1711e+24,5.1496e+24,5.1417e+24,5.1267e+24,5.1239e+24,5.1152e+24
438,M,False,5.1417e+24,5.1267e+24,5.1239e+24,5.1152e+24,5.0956e+24,5.088e+24,5.0781e+24,5.0751e+24,5.0641e+24,5.061e+24
439,M,False,5.0255e+24,5.0243e+24,5.0249e+24,5.0361e+24,5.028e+24,5.0144e+24,5.0115e+24,5.016e+24,5.016e+24,5.0231e+24
440,M,False,5.016e+24,5.0231e+24,5.0231e+24,5.0244e+24,5.0377e+24,5.0409e+24,5.0474e+24,5.0461e+24,5.057e+24,5.0532e+24
441,M,True,5.0532e+24,5.067e+24,5.0643e+24,5.0849e+24,5.0849e+24,5.0935e+24,5.1028e+24,5.123e+24,5.1271e+24,5.1399e+24
442,M,False,5.0271e+24,5.0167e+24,5.0287e+24,5.0175e+24,5.0104e+24,4.9942e+24,4.9938e+24,4.9819e+24,4.9787e+24,4.9784e+24
443,M,False,5.1202e+24,5.1271e+24,5.1282e+24,5.123e+24,5.111e+24,5.0858e+24,5.0769e+24,5.0787e+24,5.055e+24,5.0457e+24
444,M,False,4.9941e+24,4.9879e+24,4.9652e+24,4.9738e+24,4.9576e+24,4.9237e+24,4.9191e+24,4.9053e+24,4.9069e+24,4.905e+24
445,M,False,4.9191e+24,4.9053e+24,4.9069e+24,4.905e+24,4.9214e+24,4.8897e+24,4.9029e+24,4.9126e+24,4.9179e+24,4.8962e+24
446,M,True,4.562e+24,4.5608e+24,4.556e+24,4.5636e+24,4.5584e+24,4.5625e+24,4.5652e+24,4.5627e+24,4.5641e+24,4.5713e+24
447,M,True,4.5388e+24,4.5483e+24,4.5565e+24,4.5563e+24,4.5806e+24,4.5508e+24,4.5325e+24,4.5238e+24,4.5042e+24,4.4563e+24
448,M,False,4.3275e+24,4.3074e+24,4.3216e+24,4.3044e+24,4.3073e+24,4.2971e+24,4.2783e+24,4.3256e+24,4.3145e+24,4.3017e+24
449,M,False,4.2992e+24,4.3217e+24,4.3171e+24,4.3325e+24,4.3398e+24,4.3309e+24,4.3361e+24,4.3789e+24,4.3816e+24,4.3978e+24
450,M,False,4.3978e+24,4.3747e+24,4.3729e+24,4.3836e+24,4.4043e+24,4.4059e+24,4.44e+24,4.4351e+24,4.3875e+24,4.4105e+24
451,M,False,4.3982e+24,4.3421e+24,4.4148e+24,4.3538e+24,4.3038e+24,4.2949e+24,4.3959e+24,4.3524e+24,4.3519e+24,4.4124e+24
452,M,False,4.4613e+24,4.4586e+24,4.4753e+24,4.3543e+24,4.43e+24,4.4307e+24,4.4419e+24,4.4155e+24,4.4191e+24,4.4032e+24
453,M,False,4.3574e+24,4.3902e+24,4.4075e+24,4.4008e+24,4.3342e+24,4.3537e+24,4.2911e+24,4.2945e+24,4.3153e+24,4.3691e+24
454,M,False,4.3342e+24,4.3537e+24,4.2911e+24,4.2945e+24,4.3153e+24,4.3691e+24,4.3204e+24,4.281e+24,4.3107e+24,4.2444e+24
455,M,False,4.1264e+24,4.0254e+24,4.0895e+24,4.1299e+24,4.0762e+24,4.0884e+24,4.0686e+24,4.0487e+24,4.0302e+24,3.9911e+24
456,M,True,2.7327e+23,2.6825e+23,2.7178e+23,2.9027e+23,2.841e+23,2.8042e+23,2.9469e+23,3.1967e+23,3.2579e+23,3.0931e+23
457,M,False,4.3686e+23,4.3839e+23,4.308e+23,4.3735e+23,4.5978e+23,4.4757e+23,4.6817e+23,4.3443e+23,4.4306e+23,4.705e+23
458,M,True,4.8905e+23,4.614e+23,5.0302e+23,5.0399e+23,5.0579e+23,5.0708e+23,4.9942e+23,4.9165e+23,4.9818e+23,5.0452e+23
459,M,True,4.85e+23,4.9406e+23,4.9615e+23,4.8608e+23,4.8298e+23,5.0349e+23,5.0882e+23,5.0985e+23,4.9397e+23,4.9997e+23
460,M,True,5.9864e+23,5.9774e+23,6.053e+23,5.9897e+23,6.0237e+23,5.9999e+23,5.9932e+23,5.9464e+23,6.025e+23,5.948e+23
461,M,False,6.0885e+23,6.0736e+23,6.1192e+23,6.1164e+23,6.1694e+23,6.0769e+23,6.0596e+23,6.0329e+23,6.0489e+23,6.0937e+23
462,M,False,6.2275e+23,6.2004e+23,6.2213e+23,6.2505e+23,6.2383e+23,6.288e+23,6.3306e+23,6.3268e+23,6.4019e+23,6.4589e+23
463,M,False,5.9105e+23,5.9346e+23,5.8823e+23,5.904e+23,5.8736e+23,5.8599e+23,5.8885e+23,5.8255e+23,5.8538e+23,5.799e+23
464,M,False,5.7187e+23,5.7218e+23,5.7153e+23,5.7154e+23,5.7067e+23,5.7317e+23,5.7086e+23,5.6904e+23,5.6574e+23,5.6456e+23
465,M,True,1.6474e+24,1.6861e+24,1.6278e+24,1.6259e+24,1.6564e+24,1.659e+24,1.6216e+24,1.6707e+24,1.6553e+24,1.6904e+24
466,M,True,1.8215e+24,1.7944e+24,1.8055e+24,1.8523e+24,1.9175e+24,1.8582e+24,1.8627e+24,1.8694e+24,1.8528e+24,1.8901e+24
467,M,False,2.0043e+24,1.9991e+24,1.9948e+24,1.9975e+24,1.9635e+24,1.9762e+24,1.9817e+24,1.9812e+24,1.9846e+24,1.9687e+24
468,M,False,1.1285e+24,1.1315e+24,1.1322e+24,1.1291e+24,1.1319e+24,1.1359e+24,1.1378e+24,1.1407e+24,1.1384e+24,1.1408e+24
469,M,True,1.1001e+24,1.1013e+24,1.1003e+24,1.0991e+24,1.0985e+24,1.0993e+24,1.0997e+24,1.0989e+24,1.0965e+24,1.0941e+24
470,M,False,1.1009e+24,1.098e+24,1.0962e+24,1.0949e+24,1.0945e+24,1.092e+24,1.0907e+24,1.0894e+24,1.0944e+24,1.0961e+24
471,M,False,9.7946e+23,9.7427e+23,9.7414e+23,9.728e+23,9.731e+23,9.6999e+23,9.67e+23,9.6643e+23,9.6461e+23,9.6294e+23
472,M,False,4.855e+23,4.8497e+23,4.8176e+23,4.8355e+23,4.8515e+23,4.8777e+23,4.8798e+23,4.8848e+23,4.9342e+23,4.9844e+23
473,M,True,1.2191e+24,1.2219e+24,1.2237e+24,1.2243e+24,1.2286e+24,1.2272e+24,1.2301e+24,1.2361e+24,1.2327e+24,1.2317e+24
474,M,True,3.1205e+23,3.1567e+23,3.1776e+23,3.1827e+23,3.1756e+23,3.213e+23,3.2246e+23,3.2408e+23,3.1725e+23,3.1827e+23
475,M,False,1.2321e+24,1.2309e+24,1.2301e+24,1.2323e+24,1.2364e+24,1.2404e+24,1.2444e+24,1.2403e+24,1.2377e+24,1.227e+24
476,M,True,1.8753e+24,1.8791e+24,1.8741e+24,1.8782e+24,1.8799e+24,1.8786e+24,1.8705e+24,1.862e+24,1.8671e+24,1.8688e+24
477,M,True,1.5278e+24,1.5395e+24,1.5329e+24,1.5308e+24,1.5305e+24,1.5147e+24,1.513e+24,1.4932e+24,1.4889e+24,1.4777e+24
478,M,False,9.1136e+23,9.1356e+23,9.0932e+23,9.0811e+23,9.0611e+23,9.0675e+23,9.0524e+23,9.0587e+23,9.0503e+23,9.0767e+23
479,M,False,1.2744e+24,1.2703e+24,1.2622e+24,1.2695e+24,1.2665e+24,1.2652e+24,1.2653e+24,1.26e+24,1.2622e+24,1.2618e+24
480,M,False,2.0228e+23,2.0471e+23,2.0586e+23,2.0831e+23,2.1142e+23,2.1295e+23,2.1569e+23,2.1697e+23,2.1968e+23,2.2314e+23
481,M,False,9.6318e+23,9.6151e+23,9.6688e+23,9.698e+23,9.7043e+23,9.763e+23,9.8049e+23,9.8413e+23,9.8582e+23,9.8853e+23
482,M,False,1.0573e+24,1.0607e+24,1.0557e+24,1.0486e+24,1.0377e+24,1.0349e+24,1.0349e+24,1.033e+24,1.0316e+24,1.029e+24
483,M,False,6.0535e+23,6.1074e+23,6.1084e+23,6.1004e+23,6.1291e+23,6.123e+23,6.1251e+23,6.121e+23,6.1316e+23,6.1215e+23
484,M,False,7.1845e+23,7.1722e+23,7.1436e+23,7.1042e+23,7.1036e+23,7.1107e+23,7.0892e+23,7.0821e+23,7.1097e+23,7.1108e+23
485,M,False,3.3962e+22,3.5475e+22,4.8663e+22,3.3701e+22,4.2569e+22,5.104e+22,5.3534e+22,5.746e+22,6.1494e+22,6.6412e+22
486,M,True,6.6773e+23,6.6837e+23,6.7169e+23,6.7256e+23,6.7289e+23,6.7691e+23,6.7951e+23,6.8197e+23,6.8157e+23,6.8244e+23
487,M,False,7.2658e+23,7.2704e+23,7.2249e+23,7.2293e+23,7.2321e+23,7.213e+23,7.1908e+23,7.1819e+23,7.2132e+23,7.2189e+23
488,M,False,7.0844e+23,7.0469e+23,6.9937e+23,6.9592e+23,6.9253e+23,6.9075e+23,6.933e+23,6.9677e+23,7.0034e+23,7.0044e+23
489,M,False,7.9899e+23,7.9082e+23,7.9261e+23,7.9026e+23,7.942e+23,7.9156e+23,7.8728e+23,7.9024e+23,7.8444e+23,7.8215e+23
490,M,False,3.57e+23,3.5823e+23,3.5814e+23,3.5471e+23,3.5193e+23,3.5428e+23,3.5528e+23,3.5565e+23,3.5413e+23,3.5564e+23
491,M,False,1.7954e+23,1.8093e+23,1.8126e+23,1.7825e+23,1.8485e+23,1.8683e+23,1.8624e+23,1.8498e+23,1.8696e+23,1.9126e+23
492,M,False,1.5008e+23,1.4851e+23,1.4553e+23,1.5399e+23,1.4994e+23,1.5645e+23,1.5805e+23,1.5956e+23,1.5947e+23,1.4402e+23
493,M,False,1.7362e+23,1.7425e+23,1.774e+23,1.8234e+23,1.8517e+23,1.8492e+23,1.5938e+23,1.7846e+23,1.8146e+23,1.7859e+23
494,M,False,7.9643e+22,7.9923e+22,7.4628e+22,7.6433e+22,9.6827e+22,7.594e+22,7.5473e+22,7.3796e+22,7.7108e+22,8.1633e+22
495,M,False,4.0233e+23,4.2165e+23,4.2206e+23,4.4071e+23,4.3233e+23,4.2443e+23,4.185e+23,4.2125e+23,4.1538e+23,4.2233e+23
496,M,True,3.7208e+23,3.7573e+23,3.7641e+23,3.7706e+23,3.7929e+23,3.8176e+23,3.8843e+23,3.9169e+23,3.943e+23,3.9717e+23
497,M,False,4.3741e+23,4.4146e+23,4.4e+23,4.3032e+23,4.4108e+23,4.4358e+23,4.472e+23,4.5168e+23,4.493e+23,4.5822e+23
498,M,True,4.6765e+23,4.6822e+23,4.6144e+23,4.6216e+23,4.6492e+23,4.6492e+23,4.6805e+23,4.7253e+23,4.7229e+23,4.7253e+23
499,M,True,5.5401e+23,5.5367e+23,5.5116e+23,5.5491e+23,5.5081e+23,5.5707e+23,5.4918e+23,5.4944e+23,5.5738e+23,5.5655e+23
500,M,False,5.769e+23,5.7611e+23,5.8085e+23,5.818e+23,5.8711e+23,5.9177e+23,5.9937e+23,6.0215e+23,6.0826e+23,6.1501e+23
501,M,True,7.3228e+23,7.3678e+23,7.3979e+23,7.4611e+23,7.4882e+23,7.5524e+23,7.5882e+23,7.6198e+23,7.624e+23,7.6876e+23
502,M,False,7.4611e+23,7.4882e+23,7.5524e+23,7.5882e+23,7.6198e+23,7.624e+23,7.6876e+23,7.7072e+23,7.7434e+23,7.7451e+23
503,M,False,7.7434e+23,7.7451e+23,7.8149e+23,7.9053e+23,7.9698e+23,7.9814e+23,7.9787e+23,8.0641e+23,8.0676e+23,8.1554e+23
504,M,False,8.9759e+23,9.061e+23,9.1029e+23,9.164e+23,9.1905e+23,9.179e+23,9.1804e+23,9.2088e+23,9.2478e+23,9.3054e+23
505,M,False,9.8931e+23,9.8945e+23,9.936e+23,9.9928e+23,9.9636e+23,9.8866e+23,9.9054e+23,9.8907e+23,9.9321e+23,9.9592e+23
506,M,False,8.4266e+23,8.3525e+23,8.2933e+23,8.2285e+23,8.1818e+23,8.0919e+23,8.04e+23,8.0123e+23,7.9669e+23,7.9401e+23
507,M,True,6.9202e+23,6.9337e+23,6.9393e+23,6.9206e+23,6.9258e+23,6.9586e+23,6.9352e+23,6.9282e+23,6.9441e+23,6.9386e+23
508,M,True,7.1876e+23,7.156e+23,7.1334e+23,7.1407e+23,7.1318e+23,7.1211e+23,7.0753e+23,7.0202e+23,7.0035e+23,6.983e+23
509,M,False,6.7564e+23,6.7405e+23,6.7008e+23,6.6967e+23,6.65e+23,6.6735e+23,6.6664e+23,6.6844e+23,6.6774e+23,6.6645e+23
510,M,False,5.7918e+23,5.768e+23,5.7327e+23,5.692e+23,5.6511e+23,5.6516e+23,5.6486e+23,5.6514e+23,5.5946e+23,5.5408e+23
511,M,False,2.0098e+23,2.0104e+23,2.0197e+23,2.0257e+23,2.0469e+23,2.0535e+23,2.0584e+23,2.0951e+23,2.0701e+23,2.0683e+23
512,M,False,5.0706e+23,5.5776e+23,5.4843e+23,5.1694e+23,5.078e+23,4.9756e+23,5.0214e+23,5.4379e+23,5.3757e+23,5.4198e+23
513,M,True,4.1467e+22,4.0017e+22,4.0754e+22,4.1798e+22,4.0694e+22,4.07e+22,4.2053e+22,4.2969e+22,4.4278e+22,4.6583e+22
514,M,True,7.0307e+22,7.0473e+22,7.7426e+22,7.813e+22,8.2827e+22,8.3883e+22,9.4179e+22,9.86e+22,1.1265e+23,1.1703e+23
515,M,False,1.4316e+23,1.4135e+23,1.4041e+23,1.4758e+23,1.4319e+23,1.5239e+23,1.5383e+23,1.712e+23,1.5557e+23,1.7027e+23
516,M,False,1.5557e+23,1.7027e+23,1.6333e+23,1.6117e+23,1.4768e+23,1.7213e+23,1.6994e+23,1.7591e+23,1.7915e+23,1.7816e+23
517,M,False,2.763e+23,2.7042e+23,2.6909e+23,2.6733e+23,2.7395e+23,2.6366e+23,2.8308e+23,2.7774e+23,2.8211e+23,3.3025e+23
518,M,False,3.9155e+23,3.9072e+23,3.8249e+23,4.1599e+23,4.0561e+23,4.3166e+23,4.2225e+23,4.2659e+23,4.3151e+23,4.1314e+23
519,M,True,4.6288e+23,4.6097e+23,4.5866e+23,4.5509e+23,4.5518e+23,4.5425e+23,4.5478e+23,4.5185e+23,4.4566e+23,4.4771e+23
520,M,False,4.4806e+23,4.5098e+23,4.4896e+23,4.4285e+23,4.4025e+23,4.3903e+23,4.4462e+23,4.4282e+23,4.4144e+23,4.4689e+23
521,M,False,4.4426e+23,4.5771e+23,4.6221e+23,4.7305e+23,4.7762e+23,4.8625e+23,4.937e+23,5.0199e+23,5.1614e+23,5.1657e+23
522,M,True,4.4899e+23,4.5447e+23,4.5001e+23,4.4049e+23,4.4749e+23,4.5197e+23,4.5724e+23,4.6388e+23,4.7224e+23,4.8176e+23
523,M,False,6.3533e+23,6.336e+23,6.4879e+23,6.456e+23,6.6478e+23,6.339e+23,6.452e+23,6.442e+23,6.4911e+23,6.5332e+23
524,M,False,7.8622e+22,7.8554e+22,7.9576e+22,7.9511e+22,8.0677e+22,8.0337e+22,7.9102e+22,8.0947e+22,8.0578e+22,8.1769e+22
525,M,False,1.0267e+24,1.0208e+24,1.0226e+24,1.0342e+24,1.0347e+24,1.0313e+24,1.028e+24,1.0462e+24,1.0518e+24,1.0402e+24
526,M,True,1.5804e+24,1.5966e+24,1.5861e+24,1.5883e+24,1.5778e+24,1.5925e+24,1.5914e+24,1.6021e+24,1.6019e+24,1.5853e+24
527,M,False,1.687e+24,1.6807e+24,1.6815e+24,1.6939e+24,1.692e+24,1.6945e+24,1.6992e+24,1.6984e+24,1.7041e+24,1.696e+24
528,M,False,1.6992e+24,1.6984e+24,1.7041e+24,1.696e+24,1.698e+24,1.7009e+24,1.7057e+24,1.7081e+24,1.7107e+24,1.7095e+24
529,M,True,4.3795e+23,4.4286e+23,4.3877e+23,4.3478e+23,4.3438e+23,4.3398e+23,4.2463e+23,4.2178e+23,4.2478e+23,4.2456e+23
530,M,False,4.2744e+23,4.2932e+23,4.2641e+23,4.2433e+23,4.202e+23,4.225e+23,4.2083e+23,4.1914e+23,4.1902e+23,4.1761e+23
531,M,False,1.645e+24,1.6472e+24,1.6493e+24,1.652e+24,1.6549e+24,1.6531e+24,1.6548e+24,1.6541e+24,1.6509e+24,1.6488e+24
532,M,False,1.1552e+24,1.1474e+24,1.1464e+24,1.1447e+24,1.1362e+24,1.1299e+24,1.1267e+24,1.1148e+24,1.1131e+24,1.1108e+24
533,M,False,1.4911e+23,1.4752e+23,1.4585e+23,1.4688e+23,1.4914e+23,1.499e+23,1.4645e+23,1.4802e+23,1.6026e+23,1.5124e+23
534,M,True,1.0601e+23,1.0647e+23,1.0868e+23,1.1035e+23,1.1275e+23,1.141e+23,1.1687e+23,1.1891e+23,1.2126e+23,1.2268e+23
535,M,False,3.177e+23,3.1993e+23,3.2185e+23,3.3031e+23,3.409e+23,3.4419e+23,3.4391e+23,3.5869e+23,3.6018e+23,3.8623e+23
536,M,True,3.75e+23,3.6982e+23,3.761e+23,3.7231e+23,3.7337e+23,3.7598e+23,3.7897e+23,3.7982e+23,3.8121e+23,3.794e+23
537,M,True,4.1051e+23,4.0919e+23,4.0081e+23,4.0582e+23,4.0741e+23,4.0723e+23,4.0845e+23,4.0794e+23,4.0229e+23,4.0478e+23
538,M,False,4.6012e+23,4.6199e+23,4.741e+23,4.6976e+23,4.6759e+23,4.7318e+23,4.7199e+23,4.6883e+23,4.6362e+23,4.6897e+23
539,M,True,5.7725e+23,5.7696e+23,5.8451e+23,5.8593e+23,6.0087e+23,6.0515e+23,6.0177e+23,6.0056e+23,6.0287e+23,6.0849e+23
540,M,False,8.4085e+23,8.4482e+23,8.5061e+23,8.4818e+23,8.5203e+23,8.5962e+23,8.6156e+23,8.6399e+23,8.6887e+23,8.6968e+23
541,M,True,1.2377e+24,1.2382e+24,1.243e+24,1.243e+24,1.2434e+24,1.2482e+24,1.2497e+24,1.2512e+24,1.2594e+24,1.264e+24
542,M,False,1.429e+24,1.4273e+24,1.4266e+24,1.4345e+24,1.4381e+24,1.4402e+24,1.4491e+24,1.4463e+24,1.4426e+24,1.4453e+24
543,M,False,1.7117e+24,1.7248e+24,1.72e+24,1.7228e+24,1.7191e+24,1.721e+24,1.7217e+24,1.727e+24,1.7263e+24,1.7263e+24
544,M,True,1.4856e+24,1.4864e+24,1.4798e+24,1.4579e+24,1.459e+24,1.4492e+24,1.4536e+24,1.441e+24,1.4739e+24,1.447e+24
545,M,False,1.4937e+24,1.5033e+24,1.4997e+24,1.5152e+24,1.49e+24,1.4848e+24,1.4928e+24,1.4936e+24,1.4687e+24,1.4607e+24
546,M,False,1.188e+24,1.1724e+24,1.1764e+24,1.1707e+24,1.1902e+24,1.1825e+24,1.1599e+24,1.1514e+24,1.1472e+24,1.1534e+24
547,M,False,2.7488e+23,2.7341e+23,2.7253e+23,2.6808e+23,2.7078e+23,2.7207e+23,2.6976e+23,2.6784e+23,2.687e+23,2.677e+23
548,M,False,3.094e+23,3.1135e+23,3.1389e+23,3.1416e+23,3.1755e+23,3.1833e+23,3.17e+23,3.1624e+23,3.1382e+23,3.1047e+23
549,M,True,8.7345e+23,8.732e+23,8.7599e+23,8.7329e+23,8.6847e+23,8.7365e+23,8.7165e+23,8.7623e+23,8.7796e+23,8.7842e+23
550,M,True,9.8787e+23,9.8915e+23,9.896e+23,9.8716e+23,9.8942e+23,9.903e+23,9.927e+23,9.9526e+23,9.9367e+23,9.9554e+23
551,M,True,4.9526e+22,5.1172e+22,5.1979e+22,5.4013e+22,5.3114e+22,5.838e+22,5.8496e+22,5.9508e+22,5.9554e+22,6.1188e+22
552,M,True,1.0532e+24,1.057e+24,1.0624e+24,1.0641e+24,1.0643e+24,1.0672e+24,1.072e+24,1.0745e+24,1.0758e+24,1.0749e+24
553,M,True,1.0782e+24,1.0796e+24,1.0879e+24,1.0905e+24,1.0928e+24,1.0868e+24,1.0908e+24,1.0969e+24,1.0988e+24,1.097e+24
554,M,False,1.097e+24,1.1027e+24,1.1094e+24,1.111e+24,1.1156e+24,1.118e+24,1.1209e+24,1.1263e+24,1.1291e+24,1.1243e+24
555,M,True,3.2032e+23,3.6661e+23,3.3546e+23,3.3155e+23,3.3912e+23,3.3366e+23,3.3019e+23,3.1753e+23,3.1234e+23,3.1033e+23
556,M,True,1.2584e+24,1.2585e+24,1.2573e+24,1.2595e+24,1.2636e+24,1.2743e+24,1.276e+24,1.2831e+24,1.2844e+24,1.2857e+24
557,M,False,1.2831e+24,1.2844e+24,1.2857e+24,1.2851e+24,1.2824e+24,1.2792e+24,1.276e+24,1.2742e+24,1.2696e+24,1.2702e+24
558,M,False,3.0337e+23,3.3383e+23,3.2308e+23,2.9809e+23,3.2376e+23,3.146e+23,3.114e+23,3.0061e+23,3.2387e+23,3.3726e+23
559,M,False,1.2824e+24,1.2792e+24,1.276e+24,1.2742e+24,1.2696e+24,1.2702e+24,1.2722e+24,1.2745e+24,1.2743e+24,1.2854e+24
560,M,False,1.2696e+24,1.2702e+24,1.2722e+24,1.2745e+24,1.2743e+24,1.2854e+24,1.2838e+24,1.2822e+24,1.2848e+24,1.2872e+24
561,M,False,2.9774e+23,3.3263e+23,3.1876e+23,3.2562e+23,3.1344e+23,3.2584e+23,3.206e+23,3.2486e+23,3.292e+23,3.1253e+23
562,M,True,1.3265e+24,1.3309e+24,1.3308e+24,1.3303e+24,1.3372e+24,1.3351e+24,1.3402e+24,1.3456e+24,1.3428e+24,1.3414e+24
563,M,True,1.4602e+24,1.4623e+24,1.4603e+24,1.4651e+24,1.4716e+24,1.4666e+24,1.4671e+24,1.4662e+24,1.4642e+24,1.4608e+24
564,M,False,1.5124e+24,1.5106e+24,1.5105e+24,1.4996e+24,1.5033e+24,1.5071e+24,1.5108e+24,1.5085e+24,1.5122e+24,1.5048e+24
565,M,True,1.5236e+24,1.5176e+24,1.5217e+24,1.5183e+24,1.5179e+24,1.5095e+24,1.5104e+24,1.5254e+24,1.526e+24,1.5201e+24
566,M,True,1.3913e+24,1.3835e+24,1.385e+24,1.3838e+24,1.3705e+24,1.3827e+24,1.3741e+24,1.368e+24,1.3631e+24,1.3612e+24
567,M,True,1.2966e+24,1.2854e+24,1.2835e+24,1.2967e+24,1.2901e+24,1.2881e+24,1.2813e+24,1.2664e+24,1.2721e+24,1.2669e+24
568,M,False,1.1246e+24,1.1173e+24,1.0991e+24,1.0766e+24,1.1054e+24,1.0872e+24,1.1219e+24,1.0713e+24,1.0748e+24,1.1106e+24
569,M,False,1.1073e+24,1.1093e+24,1.0998e+24,1.1326e+24,1.1018e+24,1.114e+24,1.1453e+24,1.1201e+24,1.1391e+24,1.1262e+24
570,M,False,4.2957e+23,4.2175e+23,4.1629e+23,4.2253e+23,4.4323e+23,3.864e+23,3.5929e+23,3.5767e+23,3.5473e+23,3.4514e+23
571,M,True,2.6715e+23,2.6762e+23,2.6671e+23,2.6894e+23,2.7384e+23,2.6963e+23,2.7386e+23,2.7441e+23,2.7292e+23,2.7448e+23
572,M,False,2.7861e+23,2.8343e+23,2.8318e+23,2.8498e+23,2.8902e+23,2.9039e+23,2.8044e+23,2.79e+23,2.7532e+23,2.7548e+23
573,M,True,3.2204e+22,3.2284e+22,3.2222e+22,3.2024e+22,3.1988e+22,3.1824e+22,3.2306e+22,3.3418e+22,3.4509e+22,3.5163e+22
574,M,False,3.2222e+22,3.2024e+22,3.1988e+22,3.1824e+22,3.2306e+22,3.3418e+22,3.4509e+22,3.5163e+22,3.5624e+22,3.3933e+22
575,M,False,8.9084e+23,8.8734e+23,8.8093e+23,8.9194e+23,8.7609e+23,8.6942e+23,8.6708e+23,8.741e+23,8.8825e+23,8.9123e+23
576,M,True,3.7914e+23,3.8007e+23,3.7439e+23,3.7546e+23,3.6363e+23,3.785e+23,3.7882e+23,3.7829e+23,3.7879e+23,3.8274e+23
577,M,False,3.6655e+23,3.7364e+23,3.6925e+23,3.7392e+23,3.6628e+23,3.6683e+23,3.6404e+23,3.6546e+23,3.6936e+23,3.6814e+23
578,M,False,7.8479e+23,7.7958e+23,7.7409e+23,7.6354e+23,7.6072e+23,7.5905e+23,7.5885e+23,7.5356e+23,7.5002e+23,7.4937e+23
579,M,False,2.4865e+23,2.4947e+23,2.5039e+23,2.4913e+23,2.4762e+23,2.498e+23,2.5158e+23,2.4964e+23,2.4904e+23,2.5101e+23
580,M,False,2.698e+23,2.733e+23,2.6813e+23,2.7715e+23,2.858e+23,2.6782e+23,2.6805e+23,2.9042e+23,2.7456e+23,3.042e+23
581,M,False,6.7925e+23,6.8913e+23,6.97e+23,6.9512e+23,7.018e+23,7.0309e+23,7.0986e+23,7.1024e+23,7.1536e+23,7.1546e+23
582,M,False,2.7618e+23,2.7575e+23,2.7419e+23,2.7705e+23,2.7435e+23,2.7732e+23,2.7527e+23,2.7434e+23,2.7277e+23,2.7373e+23
583,M,False,2.3478e+23,2.3201e+23,2.3043e+23,2.3075e+23,2.3144e+23,2.333e+23,2.3553e+23,2.3537e+23,2.3491e+23,2.3522e+23
584,M,False,3.2131e+23,3.2014e+23,3.2137e+23,3.2256e+23,3.215e+23,3.2026e+23,3.1841e+23,3.1619e+23,3.198e+23,3.2013e+23
585,M,True,4.308e+23,4.2892e+23,4.3296e+23,4.3726e+23,4.3646e+23,4.3181e+23,4.3675e+23,4.3653e+23,4.4097e+23,4.3525e+23
586,M,False,4.4448e+23,4.5032e+23,4.5417e+23,4.4953e+23,4.5065e+23,4.5064e+23,4.4322e+23,4.4888e+23,4.4676e+23,4.5015e+23
587,M,False,1.424e+24,1.4227e+24,1.4226e+24,1.4211e+24,1.4234e+24,1.4183e+24,1.4179e+24,1.4126e+24,1.4119e+24,1.4129e+24
588,M,True,1.14e+24,1.1412e+24,1.1498e+24,1.1523e+24,1.1516e+24,1.1535e+24,1.1474e+24,1.1463e+24,1.1483e+24,1.1525e+24
