,FLARE_TYPE,COINCIDENCE,MEANJZH_1,MEANJZH_2,MEANJZH_3,MEANJZH_4,MEANJZH_5,MEANJZH_6,MEANJZH_7,MEANJZH_8,MEANJZH_9,MEANJZH_10
1216,B,False,-0.0017086,-0.0012507,-0.0012111,-0.00088161,-0.00048068,-0.0010006,-0.001199,-0.0010994,0.00033704,-0.0004686
1217,B,False,0.002196,0.002395,0.00248,0.0022848,0.0023106,0.0025304,0.0025168,0.002359,0.0024192,0.0023169
1218,B,False,0.0090973,0.0057557,0.0045681,0.0060562,0.006999,0.0064208,0.0057941,0.0065225,0.005232,0.0045388
1219,B,False,-0.002356,-0.0022763,-0.0025685,-0.0021932,-0.0028172,-0.00275,-0.0022718,-0.0029065,-0.0026242,-0.0027006
1220,B,True,-0.0030296,-0.0031628,-0.0030348,-0.0035466,-0.0035093,-0.0038453,-0.0036902,-0.0038735,-0.0037659,-0.0036265
1221,B,False,0.0048487,0.0038853,0.0042621,0.0039652,0.0042692,0.0048588,0.0055713,0.0047642,0.0044824,0.0045317
1222,B,True,0.004078,0.0024293,0.0040498,0.0036062,0.0032338,0.00077757,0.0026001,0.0006555,0.00055882,0.00084249
1223,B,False,-0.0065639,-0.0063547,-0.0056746,-0.0077086,-0.0063585,-0.0047674,-0.0047439,-0.0056745,-0.0068177,-0.0063742
1224,B,True,0.001137,0.0011695,0.0010547,0.0011201,0.00065831,0.00033997,0.00059345,0.0010534,0.00069937,0.00095112
1225,B,False,0.012616,0.011566,0.011705,0.010668,0.010734,0.0097374,0.010269,0.0095328,0.0092362,0.008912
1226,B,False,-0.0052025,-0.0056298,-0.0054132,-0.0042719,-0.0044956,-0.0040117,-0.0037009,-0.0048226,-0.0046872,-0.0042672
1227,B,False,-0.0012866,-0.0014593,-0.00042957,-0.0010806,-6.1233e-05,-0.00077818,-9.6172e-05,-0.0013555,-0.0011893,-0.0011558
1228,B,False,0.00011253,-0.00090265,-0.00056098,-0.00010046,-0.00037796,-0.00028654,-0.0021964,-0.001883,-0.0021747,-0.0021204
1229,B,True,0.0047088,0.0052029,0.0055765,0.0055486,0.0045258,0.0043864,0.0043241,0.0046266,0.0046258,0.0046636
1230,B,False,-0.010206,-0.0089114,-0.0094508,-0.0096147,-0.0088996,-0.0089835,-0.0092322,-0.0093033,-0.0078275,-0.0095735
1231,B,False,-0.0077383,-0.00785,-0.0082714,-0.0084636,-0.0089531,-0.0084014,-0.0093944,-0.010511,-0.011306,-0.011882
1232,B,False,0.0037261,0.0037228,0.0024906,0.001942,0.0026079,0.0023341,0.0020444,0.0016128,0.0015422,0.0021815
1233,B,False,-0.0014535,-0.0017919,-0.0021281,-0.0015606,-0.0020294,-0.0023995,-0.0024129,-0.0023498,-0.0017289,-0.0017929
1234,B,False,0.00020817,4.3676e-05,0.0015578,0.00029005,4.8874e-05,-0.00072766,-0.0012868,-0.0021397,-0.0022736,-0.0018136
1235,B,False,-0.0024611,-0.0013481,0.0012391,-0.0039079,-0.0042785,-0.0031107,-0.0015371,-0.0045037,-0.0031979,-0.0028736
1236,B,True,0.00085803,9.675e-05,-0.00029407,0.0002672,0.00043919,0.00097573,0.00088952,0.0011375,0.00079616,0.0014767
1237,B,False,-0.013881,-0.013914,-0.013641,-0.010967,-0.012555,-0.013138,-0.013074,-0.013993,-0.013394,-0.013493
1238,B,False,-0.015939,-0.016867,-0.01847,-0.019602,-0.022766,-0.024637,-0.025079,-0.026776,-0.025233,-0.029265
1239,B,False,0.0034948,0.003363,0.0033096,0.00252,0.0029558,0.002439,0.0033691,0.002327,0.0028333,0.0031136
1240,B,False,-0.0090228,-0.010389,-0.011813,-0.010693,-0.011283,-0.0096263,-0.011419,-0.0078639,-0.013401,-0.016679
1241,B,False,0.0019456,0.0022035,0.0026688,0.0020099,0.0023846,0.0019224,0.0021578,0.0032014,0.0028086,0.0028319
1242,B,False,0.0046261,0.00098993,0.0009911,0.001389,0.0018662,0.0014652,0.0042825,0.0018744,0.0028232,0.001588
1243,B,False,0.0030112,0.0029844,0.0028595,0.0028591,0.0028953,0.0027932,0.0027844,0.0030386,0.0032011,0.0035639
1244,B,False,-0.0017315,-0.0016431,-0.001986,-0.0021527,-0.0022041,-0.0023203,-0.0027689,-0.0025216,-0.0024965,-0.002552
1245,B,False,-0.00023097,-0.0011044,-0.00046351,0.00015353,0.0011632,-0.00027053,-0.00045718,-0.00038954,7.3316e-05,0.00083416
1246,B,False,-0.020745,-0.021536,-0.021576,-0.013818,-0.013295,-0.022358,-0.022626,-0.01768,-0.017174,-0.017002
1247,B,True,-0.0073329,-0.0068539,-0.0069429,-0.0068778,-0.0070764,-0.0076132,-0.0074282,-0.0071097,-0.0073691,-0.0071085
1248,B,True,-0.004284,-0.0038326,-0.0040525,-0.0034383,-0.0038692,-0.0036459,-0.0037341,-0.0034671,-0.0030669,-0.0022076
1249,B,False,-0.0014412,-0.0016129,-0.0015222,-0.0018168,-0.0019509,-0.0025685,-0.0024583,-0.0027964,-0.002786,-0.0018792
1250,B,False,-0.0033512,-0.0034574,-0.003545,-0.0030191,-0.0031428,-0.002992,-0.0030546,-0.0031302,-0.0027851,-0.0030825
1251,B,False,0.0026588,0.00043425,0.0011358,0.00058981,-0.00035986,-0.00055066,0.0015893,0.0013488,0.0023977,0.00019504
1252,B,False,-0.00069888,-0.0010191,-0.00086522,-0.0011043,-0.00070331,-0.00044419,-0.0011876,-0.0016913,-0.0010734,-0.0013759
1253,B,False,-0.010733,-0.0098507,-0.01188,-0.012577,-0.012197,-0.012728,-0.012497,-0.012548,-0.012094,-0.011065
1254,B,False,-0.0069487,-0.012266,-0.012014,-0.0089317,-0.0080048,-0.011639,-0.010538,-0.010063,-0.010663,-0.010853
1255,B,False,-0.0049155,-0.0016177,0.0068879,0.0042591,0.0037414,0.0034562,0.00675,0.0065338,0.0050446,0.00571
1256,B,False,0.0036416,0.0032957,0.0043284,0.0038776,0.0032955,0.0031809,0.0035104,0.0034175,0.0030356,0.0032477
1257,B,True,-0.0011515,-0.0017359,-0.0013659,-0.0016233,-0.0016295,-0.0018323,-0.0015995,-0.001745,-0.0017712,-0.0015917
1258,B,False,0.002528,0.0021271,0.0026519,0.0026741,0.0029198,0.002465,0.003004,0.0026053,0.0026432,0.0028658
1259,B,False,-0.00072786,-0.00114,-0.00076003,-0.00069416,-0.00084299,-0.00097927,-0.00099857,-0.00086342,-0.0010543,-0.0009217
1260,B,False,-0.0043278,-0.0054632,-0.0033149,-0.00094518,-0.00076825,0.00017932,0.00032039,0.0024463,0.00059471,0.0017515
1261,B,True,0.0036767,0.0046561,0.0042033,0.004667,0.0038875,0.0037033,0.0048341,0.0053662,0.005154,0.0042434
1262,B,False,0.0061396,0.0058775,0.0056613,0.0060224,0.0058215,0.0064974,0.0062434,0.006327,0.0068866,0.0068304
1263,B,False,-0.0052456,-0.0054625,-0.0047738,-0.0045921,-0.0042919,-0.0050351,-0.0052859,-0.0047358,-0.0047893,-0.0053872
1264,B,False,-0.0056744,-0.0080867,-0.0085255,-0.0032843,-0.0068616,-0.0066222,-0.0088489,-0.0014287,-0.0065422,-0.0050372
1265,B,False,0.0036892,0.0030622,0.0028762,0.0023584,0.0019153,0.0017157,0.0011715,0.0016258,0.0011354,0.0013674
1266,B,False,-0.00087856,-0.0010359,-0.0016457,-0.00072081,-0.00091709,-0.00083344,0.00017103,-0.00053051,-0.00031112,-0.00049113
1267,B,True,-0.00078469,-0.00077841,-0.00071159,-0.00087978,-0.00086183,-0.001127,-0.00068237,-0.00085878,-0.00099107,-0.00078495
1268,B,False,-0.0023614,-0.0014188,7.1732e-05,-0.0037026,-0.0015107,-0.00086989,-0.0046989,0.0023727,-0.0048822,0.0032886
1269,B,False,-0.0072703,-0.007131,-0.0073823,-0.0075432,-0.0062994,-0.0063166,-0.0070516,-0.0072026,-0.0070915,-0.006091
1270,B,False,0.0045794,0.0046437,0.0041799,0.0035996,0.0035564,0.0030849,0.0030061,0.0040986,0.0041546,0.0042111
1271,B,False,-0.00071356,-0.0012144,-0.0012511,-0.00079728,-0.00072995,-0.00059184,-0.00051087,-0.0010707,-0.0011583,-0.00012817
1272,B,False,0.0095172,0.0074329,0.0096201,0.0088677,0.0093298,0.0098926,0.008653,0.0087817,0.0086864,0.006102
1273,B,True,0.0095599,0.010083,0.0095143,0.0098537,0.010817,0.0087786,0.0089965,0.0082837,0.0095537,0.010224
1274,B,False,-0.0072639,-0.0071279,-0.0065437,-0.006679,-0.0068103,-0.0070078,-0.0072915,-0.0067312,-0.0067457,-0.0067135
1275,B,False,-0.0048635,-0.0058652,-0.0031335,-0.0031919,-0.0030233,-0.0036366,-0.0042191,-0.0041574,-0.0034696,-0.0036687
1276,B,False,0.0066337,0.0064886,0.0063195,0.0068302,0.0058219,0.0068395,0.0073045,0.0079789,0.0075504,0.0073764
1277,B,False,0.0069356,0.0088705,0.0089137,0.0076617,0.0065053,0.0060371,0.0092929,0.0037583,0.0042615,0.004737
1278,B,False,-0.00083794,-0.00077909,-0.001103,-0.0011437,-0.00058789,-0.00123,-0.0011279,-0.0009265,-0.0010844,-0.0013412
1279,B,True,-0.0070353,-0.0073843,-0.0073737,-0.0034251,-0.0054168,-0.0057453,-0.0054028,-0.0041981,-0.0035445,-0.0036711
1280,B,False,-0.0025131,-0.0045652,-0.0044646,-0.0043604,-0.0049696,-0.00454,-0.0042809,-0.0058561,-0.0044911,-0.0051061
1281,B,False,-0.022763,-0.02057,-0.020244,-0.018154,-0.018012,-0.016128,-0.013995,-0.013613,-0.013473,-0.011659
1282,B,False,-0.00032725,-7.5444e-05,5.2628e-05,0.00036989,0.00030145,0.00011391,0.00034041,0.00069964,0.00011461,-2.8892e-05
1283,B,False,-0.0075677,-0.0068561,-0.0081438,-0.0078598,-0.00879,-0.0086631,-0.0089508,-0.0068417,-0.0076382,-0.0080188
1284,B,False,-0.010579,-0.012558,-0.01252,-0.012148,-0.011819,-0.011776,-0.011772,-0.010364,-0.0084368,-0.0072747
1285,B,False,0.0059647,0.0062054,0.0062136,0.0058206,0.0059026,0.0051271,0.0059145,0.0059546,0.0062313,0.0051694
1286,B,True,-0.011281,-0.011615,-0.011339,-0.012633,-0.01287,-0.012924,-0.013084,-0.013249,-0.014125,-0.013838
1287,B,False,0.0029773,0.0032515,0.0026307,0.0039299,0.0055054,0.0036825,0.002867,0.0020771,0.00018477,2.586e-05
1288,B,False,-0.011561,-0.01191,-0.01381,-0.015048,-0.0144,-0.015617,-0.015284,-0.013965,-0.014675,-0.012565
1289,B,False,0.0011946,0.001428,0.00088591,0.00059502,0.0010428,0.00082278,0.0010567,0.00056114,0.0011819,0.00079934
1290,B,False,0.013141,0.0089978,0.0068899,0.00585,0.0051578,0.0070186,0.0033772,1.7427e-05,0.0014656,0.0025383
1291,B,False,-0.0025228,-0.0028371,-0.0031341,-0.0028783,-0.0024845,-0.0030697,-0.0025115,-0.0024609,-0.0020156,-0.00338
