,FLARE_TYPE,COINCIDENCE,MEANJZD_1,MEANJZD_2,MEANJZD_3,MEANJZD_4,MEANJZD_5,MEANJZD_6,MEANJZD_7,MEANJZD_8,MEANJZD_9,MEANJZD_10
1538,B,False,0.89356,0.61131,0.99477,0.76143,0.86606,1.1028,0.61189,0.18697,0.37559,0.68307
1539,B,False,0.19351,0.25985,0.22538,0.17526,0.05259,0.15745,0.16475,0.10539,0.19618,0.098798
1540,B,False,0.12725,0.020332,0.094534,0.1249,0.008083,0.029875,0.079148,0.056783,-0.066956,0.1062
1541,B,False,0.38557,0.36124,0.3665,0.27148,0.43819,0.2566,0.11723,0.25217,0.34195,0.22811
1542,B,False,-0.60043,-0.57015,-0.54716,-0.59543,-0.65006,-0.58048,-0.52626,-0.61218,-0.54512,-0.64635
1543,B,False,0.46468,0.27452,0.3126,0.54354,0.44316,0.63137,0.72809,0.30603,0.10668,0.33128
1544,B,False,0.11702,0.16385,0.32564,0.33105,0.69292,0.61921,0.48784,0.50591,0.73188,0.54627
1545,B,False,0.38663,0.31385,-0.17502,0.18368,0.14917,0.14317,0.096618,0.052546,-0.033345,0.11868
1546,B,True,0.47914,0.45048,0.44924,0.47807,0.45957,0.48472,0.49192,0.37996,0.43683,0.39192
1547,B,False,0.1911,0.032712,-0.022293,-0.049848,0.028297,0.049189,-0.05655,0.025365,0.1847,0.026483
1548,B,False,0.060685,-0.054773,-0.13334,-0.052118,0.08355,-0.010812,-0.041631,0.0027249,0.074447,0.16521
1549,B,False,0.12105,0.25765,0.21205,0.18035,0.10184,0.30815,0.23733,0.32157,0.3662,0.29168
1550,B,False,0.49794,0.47406,0.45542,0.45557,0.49207,0.39059,0.25429,0.30928,0.28259,0.34088
1551,B,False,0.91537,0.68143,0.6485,1.0933,0.94939,0.7141,1.0211,1.0038,1.2903,1.1764
1552,B,False,-0.26299,-0.27221,-0.22868,-0.22835,-0.24624,-0.20258,-0.19599,-0.23479,-0.32352,-0.19308
1553,B,False,-0.046352,-0.2023,-0.040572,-0.18192,-0.23633,-0.24062,-0.24019,-0.1923,-0.27542,-0.23443
1554,B,False,0.26218,0.10179,0.034702,0.18752,0.14593,0.092915,0.17844,0.14328,0.13251,0.16893
1555,B,False,-0.15268,-0.14248,-0.13511,-0.17553,-0.19604,-0.16263,-0.17714,-0.15803,-0.24082,-0.29562
1556,B,True,-0.0098356,-0.025006,-0.0014026,0.0067287,-0.029905,-0.016995,-0.08454,-0.25573,-0.26363,-0.25396
1557,B,False,-0.31174,-0.026935,-0.18101,-0.20053,-0.16372,-0.17718,-0.13752,-0.098018,-0.074853,-0.0067833
1558,B,False,-0.14669,-0.078259,-0.082425,-0.040869,-0.078091,-0.074808,-0.10888,0.04031,-0.077342,-0.042044
1559,B,False,0.062989,0.12725,0.059088,0.0026225,0.018945,0.083458,-0.065271,-0.063061,0.028445,0.17384
1560,B,False,0.11609,0.30979,0.24495,0.22317,0.18181,0.18968,0.12701,0.13034,0.0066769,-0.10273
1561,B,False,-0.42942,-0.1428,-0.24477,-0.26687,-0.33859,-0.2718,-0.63538,0.25906,0.069409,0.063153
1562,B,False,0.11351,0.099812,0.063545,0.10322,0.13744,0.10631,0.1414,0.16926,0.12121,0.069183
1563,B,False,-0.12398,-0.037805,-0.15841,-0.10367,-0.060555,-0.22656,-0.11656,-0.091702,-0.14874,-0.12544
1564,B,True,0.52777,0.54924,0.60201,0.69844,0.75124,0.8769,0.94468,0.87348,0.60123,0.5256
1565,B,False,0.18172,0.26514,0.28069,0.35356,0.26924,0.33614,0.39945,0.36891,0.30077,0.34305
1566,B,False,-0.12351,-0.11034,-0.19419,-0.18513,-0.13003,-0.19797,-0.25702,-0.26336,-0.23738,-0.21996
