,FLARE_TYPE,COINCIDENCE,slf_1,slf_2,slf_3,slf_4,slf_5,slf_6,slf_7,slf_8,slf_9,slf_10
852,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
853,B,True,32.963,32.913,32.727,31.992,31.886,31.917,31.808,32.294,32.279,30.729
854,B,True,24.33,25.076,24.91,23.262,23.341,23.03,22.046,20.632,19.782,19.808
855,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
856,B,False,14.807,14.471,14.625,14.54,14.595,14.523,14.939,15.02,15.204,15.023
857,B,False,11.315,11.52,12.067,11.841,11.801,11.616,11.356,11.4,11.027,11.136
858,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
859,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
860,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6294,0.0
861,B,True,13.222,13.983,13.649,13.55,12.747,12.935,13.861,13.506,13.401,13.915
862,B,True,5.4162,20.108,0.0,18.059,16.365,15.461,15.675,15.337,16.327,16.096
863,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
864,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
865,B,False,53.768,0.0,57.647,62.086,63.223,63.344,62.636,56.549,62.517,64.711
866,B,True,3.1448,3.1182,3.1149,3.1149,3.047,3.0092,2.8912,2.956,2.8787,2.7873
867,B,False,26.986,28.261,28.708,29.583,29.076,30.62,29.735,29.58,31.458,31.328
868,B,True,0.0,19.944,19.29,19.766,20.072,20.129,19.364,18.451,19.414,20.068
869,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
870,B,True,9.9166,8.3655,7.8118,8.3872,5.0061,6.6961,7.8612,6.5641,6.8428,4.961
871,B,True,37.78,36.329,35.526,35.939,36.385,36.107,34.805,34.558,33.875,33.999
872,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
873,B,False,30.535,31.398,31.608,31.592,31.087,31.313,31.264,30.894,30.854,30.785
874,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
875,B,False,2.7383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
876,B,False,126.58,150.25,109.98,151.59,139.83,138.68,166.11,121.59,139.43,154.14
877,B,False,13.169,13.116,12.97,12.901,12.667,12.563,12.491,12.455,12.822,13.165
878,B,False,10.713,10.508,11.159,11.01,11.353,11.467,11.206,11.467,11.605,11.328
879,B,False,14.931,12.969,12.921,13.227,12.711,12.884,12.413,12.101,11.864,11.832
880,B,True,0.0,0.0,0.0,0.0,0.0,0.0,93.192,20.305,0.0,0.0
881,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
882,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
883,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
884,B,True,48.497,47.814,49.341,49.913,51.033,52.021,52.301,50.554,51.554,52.346
885,B,False,5.6543,5.6777,5.7732,5.7885,5.7906,4.9024,5.8535,5.8736,5.8542,5.7777
886,B,True,0.0,55.281,50.921,49.173,56.619,55.729,58.135,60.398,63.943,66.789
887,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
888,B,False,21.84,0.0,0.0,22.654,23.113,0.0,0.0,23.352,23.072,23.333
889,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8939,0.0,0.0
890,B,False,0.0,35.372,34.955,34.362,30.305,31.476,32.087,32.407,33.34,33.322
891,B,False,20.994,20.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
892,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
893,B,False,14.12,14.897,15.35,15.652,14.754,14.304,15.122,14.956,15.691,15.932
894,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
895,B,False,6.5873,6.9406,7.2114,7.4261,6.3599,7.3137,7.2783,6.9636,7.6023,7.978
896,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
897,B,False,8.5673,8.4118,8.3342,8.351,8.478,8.3623,8.419,8.4668,8.4985,8.6473
898,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
899,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
901,B,False,25.84,54.014,23.529,23.888,22.345,23.233,22.256,23.529,24.641,23.529
902,B,True,21.197,21.393,21.211,21.108,21.575,21.061,20.91,20.829,20.725,20.488
903,B,False,27.378,29.269,29.817,29.749,29.887,30.952,29.245,27.717,26.449,27.33
904,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
905,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
906,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
