,FLARE_TYPE,COINCIDENCE,MEANPOT_1,MEANPOT_2,MEANPOT_3,MEANPOT_4,MEANPOT_5,MEANPOT_6,MEANPOT_7,MEANPOT_8,MEANPOT_9,MEANPOT_10
2196,N,False,5163.9,5145.2,5228.9,5158.1,5045.0,5046.3,5023.7,5087.8,5101.9,5139.4
2197,N,False,8291.3,7939.1,8106.8,7912.3,7994.2,7753.8,7573.3,7540.8,7410.8,7362.4
2198,N,False,3172.3,3170.9,3303.2,3345.6,3367.4,3257.3,3529.9,3276.4,3351.1,3241.9
2199,N,False,6100.1,6293.6,6315.1,6243.0,6222.4,6377.6,6633.8,6682.3,6798.5,6850.5
2200,N,False,5195.0,5344.4,5472.4,5581.0,5770.3,5937.1,5971.8,6106.6,6203.2,6148.6
2201,N,False,1884.6,1921.9,1905.0,1920.6,1906.9,1951.6,2027.8,2079.5,2042.3,2013.4
2202,N,False,2841.0,2880.3,2722.9,2690.8,2573.3,2492.9,2466.8,2375.9,2296.4,2215.2
2203,N,False,4380.1,4484.0,4574.3,4564.7,4786.6,4729.2,4778.0,4801.1,4873.7,5160.2
2204,N,False,1278.6,1310.8,1608.0,1539.3,1635.9,1358.2,1240.4,1650.6,1345.8,1221.8
2205,N,False,1555.2,1582.6,1564.3,1601.1,1628.2,1713.7,1699.9,1700.5,1728.2,1756.0
2206,N,False,7486.4,7432.5,7540.9,7460.2,7425.9,7343.3,7313.3,7328.8,7171.0,7026.7
2207,N,False,3026.6,3045.0,2848.2,2874.0,2893.5,2789.0,2872.0,2867.7,2946.9,3068.6
2208,N,False,1491.3,1508.5,1574.6,1577.4,1654.6,1675.7,1664.2,1676.8,1742.6,1737.3
2209,N,False,2628.5,2581.9,2569.9,2425.6,2377.7,2272.5,2358.1,2321.8,2168.0,2187.6
2210,N,False,3789.8,3937.9,3932.1,3881.9,3918.9,3949.3,4248.8,4058.6,3893.6,3920.3
2211,N,False,3763.0,3795.4,3921.6,3991.0,3903.3,3976.3,3971.4,3963.5,4059.0,4074.8
2212,N,False,2277.7,2245.2,2273.2,2272.9,2263.6,2314.2,2414.0,2395.0,2440.4,2434.9
2213,N,False,5267.2,5295.3,5461.2,5451.4,5575.2,5686.1,5652.1,5739.0,5743.9,5692.6
2214,N,False,1959.0,1939.3,1945.8,1950.5,1934.7,1920.2,1917.4,1914.1,1859.2,1875.2
2215,N,False,1869.5,1880.9,1909.1,1915.5,1908.9,1898.4,1887.3,1902.8,1911.4,1935.5
2216,N,False,1869.5,1880.9,1909.1,1915.5,1908.9,1898.4,1887.3,1902.8,1911.4,1935.5
2217,N,False,2963.2,2950.0,2761.9,2816.2,2730.8,2672.2,2700.0,2661.3,2725.9,2733.1
2218,N,False,6316.3,6234.9,6304.7,6150.5,6195.8,6091.6,6173.0,6138.2,5934.9,5992.4
2219,N,False,1937.9,1844.6,1886.7,1792.8,1810.3,1762.6,1764.3,1752.7,1722.6,1592.2
2220,N,False,2551.0,2551.3,2642.6,2696.5,2709.2,2708.1,2738.7,2729.7,2815.9,2791.6
2221,N,False,4295.2,4169.1,4074.3,4156.7,4159.0,4100.5,4159.4,4153.4,4023.3,4115.6
2222,N,False,2400.0,2385.7,2301.0,2265.6,2256.0,2184.9,2230.6,2234.6,2212.8,2167.0
2223,N,False,18998.0,19722.0,18989.0,18515.0,17839.0,17541.0,17668.0,16992.0,16792.0,16892.0
2224,N,False,11961.0,11992.0,11906.0,11904.0,11696.0,11890.0,11744.0,11952.0,11679.0,11870.0
2225,N,False,1866.9,1943.7,1865.8,1904.9,2026.9,2106.5,2124.5,2033.0,2042.8,1997.9
2226,N,False,1273.7,1276.0,1288.2,1275.5,1265.2,1263.2,1268.6,1196.8,1264.4,1239.7
2227,N,False,2655.5,2611.0,2737.6,2689.6,2758.6,2807.4,3070.4,3036.4,3155.8,3242.1
