,FLARE_TYPE,COINCIDENCE,R_VALUE_1,R_VALUE_2,R_VALUE_3,R_VALUE_4,R_VALUE_5,R_VALUE_6,R_VALUE_7,R_VALUE_8,R_VALUE_9,R_VALUE_10
69,M,False,4.4048,4.4312,4.4194,4.4258,4.4037,4.4009,4.3593,4.4051,4.4274,4.5368
70,M,False,4.4707,4.5411,4.51,4.4322,4.5305,4.3568,4.4678,4.4199,4.3338,4.4558
71,M,False,4.437,4.4764,4.4836,4.4454,4.4687,4.4901,4.4715,4.4564,4.4886,4.4317
72,M,False,4.5962,4.5602,4.5546,4.5441,4.5832,4.5585,4.58,4.562,4.5101,4.573
73,M,False,4.7526,4.7725,4.8031,4.7774,4.776,4.7934,4.7861,4.7867,4.7944,4.7158
74,M,True,4.3433,4.3757,4.3894,4.4271,4.4141,4.3921,4.3777,4.408,4.3953,4.4484
75,M,False,4.4983,4.4959,4.5173,4.5612,4.5628,4.5944,4.5631,4.521,4.5551,4.5898
76,M,True,4.3738,4.3422,4.3346,4.3428,4.3662,4.329,4.3689,4.4017,4.3874,4.4186
77,M,False,4.7549,4.6724,4.6478,4.6835,4.6517,4.7908,4.6471,4.6282,4.5641,4.6364
78,M,False,3.9993,3.8866,3.9707,4.0506,4.0083,3.9702,4.0842,4.0367,4.0527,4.065
79,M,False,5.0473,4.8361,4.9204,4.8782,4.8872,4.9819,4.9893,5.0378,5.0371,4.9501
80,M,False,4.4213,4.4076,4.3756,4.3971,4.4462,4.4523,4.3607,4.3996,4.4102,4.4068
81,M,False,4.4644,4.5097,4.5129,4.5137,4.4881,4.5111,4.5107,4.5243,4.4763,4.5256
82,M,True,4.7573,4.7742,4.851,4.8011,4.8526,4.8782,4.867,4.8842,4.8912,4.8666
83,M,True,4.7564,4.736,4.7345,4.7646,4.7668,4.7491,4.78,4.7909,4.7579,4.6992
84,M,False,4.8128,4.8173,4.8298,4.8533,4.8623,4.8124,4.8348,4.8591,4.8053,4.7967
85,M,True,4.7422,4.7617,4.7804,4.7775,4.7428,4.7652,4.7485,4.7526,4.7611,4.7482
86,M,False,4.7177,4.7285,4.7296,4.7512,4.7423,4.7475,4.7436,4.7509,4.742,4.7445
87,M,True,4.7502,4.7492,4.7546,4.7369,4.7476,4.7491,4.7632,4.6856,4.7127,4.6835
88,M,False,4.5445,4.5456,4.5223,4.5375,4.5325,4.5335,4.5737,4.5571,4.5638,4.6032
89,M,True,3.719,3.7222,3.7563,3.8058,3.8013,3.8051,3.8483,3.7826,3.7848,3.7602
90,M,False,3.7239,3.821,3.7861,3.7887,3.8823,3.8955,3.8867,3.9066,3.863,3.906
91,M,False,3.946,3.9079,3.8585,3.7994,3.9026,3.8283,3.8192,3.813,3.8238,3.809
92,M,True,4.1445,4.1944,4.2925,4.2944,4.2793,4.2703,4.292,4.3779,4.383,4.3613
93,M,True,4.3539,4.3316,4.3663,4.3188,4.3816,4.3784,4.4174,4.3708,4.3936,4.4082
94,M,False,4.4981,4.4947,4.4148,4.4211,4.3985,4.442,4.3899,4.4057,4.4253,4.3944
95,M,True,4.4843,4.5026,4.4808,4.4977,4.5308,4.5118,4.534,4.5515,4.5214,4.5234
96,M,False,4.543,4.5232,4.5708,4.61,4.6045,4.5539,4.5242,4.5744,4.5615,4.5207
97,M,False,4.1794,4.1533,4.1352,4.1043,4.1372,4.1146,4.1094,4.0979,4.1357,4.1503
98,M,True,4.5218,4.5615,4.5233,4.5149,4.4299,4.4553,4.5124,4.5481,4.5429,4.5726
99,M,True,4.6723,4.6639,4.6507,4.626,4.6346,4.6625,4.6561,4.6697,4.6742,4.6587
100,M,True,4.9025,4.9075,4.8593,4.9003,4.8854,4.8907,4.8713,4.873,4.8677,4.901
101,M,False,4.7066,4.7248,4.741,4.748,4.7339,4.7489,4.7291,4.727,4.7404,4.717
102,M,False,4.6764,4.6412,4.6428,4.6333,4.6373,4.6073,4.6109,4.5872,4.5643,4.5733
