,FLARE_TYPE,COINCIDENCE,SHRGT45_1,SHRGT45_2,SHRGT45_3,SHRGT45_4,SHRGT45_5,SHRGT45_6,SHRGT45_7,SHRGT45_8,SHRGT45_9,SHRGT45_10
2216,N,False,2.8992,2.528,3.1426,2.6567,3.5825,4.148,3.2881,3.1114,3.0061,3.5459
2217,N,False,5.4835,5.652,7.1593,5.7525,6.2373,6.3887,7.6112,5.7857,6.9342,5.1383
2218,N,False,18.608,18.513,17.853,17.422,17.649,18.531,17.183,15.385,17.162,16.631
2219,N,False,2.5037,3.8997,3.4946,3.201,3.1929,3.0799,2.975,1.8711,3.5762,2.8496
2220,N,False,17.486,18.256,16.537,15.301,14.753,15.402,14.326,13.137,15.371,16.903
2221,N,False,24.786,24.267,25.704,24.699,24.565,24.879,25.47,25.542,25.835,26.08
2222,N,False,5.0277,5.4472,4.4032,5.7502,5.4006,5.7249,6.2892,5.889,7.0557,6.0
2223,N,False,69.258,69.199,68.955,68.238,69.033,68.141,68.291,68.733,69.31,68.279
2224,N,False,59.633,59.694,58.899,59.089,58.768,58.699,58.499,59.001,60.071,60.149
2225,N,False,4.1631,3.3272,3.2714,4.3184,2.5594,3.6597,3.3505,2.6249,4.188,2.8037
2226,N,False,1.8876,2.0885,2.8766,3.4038,3.5505,2.4003,1.6956,1.0467,1.0278,1.8195
2227,N,False,14.271,17.839,17.644,13.502,12.431,13.53,11.468,9.1245,10.389,8.0024
2228,N,False,5.2632,4.4809,7.1754,5.8621,4.7072,5.7208,7.1429,6.3855,5.6054,9.1209
2229,N,False,3.8114,2.8504,3.2083,4.4576,4.6651,3.4173,4.2135,3.8863,2.8056,2.4465
2230,N,False,4.3609,4.1866,4.9352,4.106,4.1234,3.5573,2.5631,3.7144,2.9755,3.3872
2231,N,False,5.6618,5.4442,5.2554,5.0918,4.858,5.1235,4.7865,4.864,5.3434,6.4254
2232,N,False,28.422,26.325,26.189,24.792,23.817,21.966,20.03,20.844,18.792,17.624
2233,N,False,12.399,12.659,14.114,15.205,16.337,17.28,14.564,13.015,11.241,13.53
2234,N,False,25.276,26.686,27.948,24.858,28.422,26.325,26.189,24.792,23.817,21.966
2235,N,False,3.3457,3.574,4.2748,3.6271,4.748,4.2448,3.8927,3.7146,4.7344,4.8205
2236,N,False,16.179,16.816,16.932,16.377,15.558,16.33,16.015,16.628,15.795,15.11
2237,N,False,19.578,20.025,20.326,19.884,19.628,20.041,19.901,19.267,20.232,20.512
2238,N,False,4.4261,4.7283,3.5537,3.5328,2.2587,2.5698,2.5868,3.6413,3.3585,3.4228
2239,N,False,52.627,52.142,52.247,52.646,52.635,52.578,53.285,53.758,53.532,53.633
2240,N,False,33.775,32.755,36.335,34.983,39.66,37.821,42.636,43.753,46.072,46.278
2241,N,False,45.435,44.125,46.083,45.132,46.822,45.911,46.181,44.35,43.428,43.195
2242,N,False,32.96,32.901,32.324,33.158,33.413,33.134,33.38,33.303,33.339,32.999
2243,N,False,4.6905,4.7589,4.5719,4.3539,4.7256,4.3511,4.4613,4.1739,4.2096,3.7739
2244,N,False,35.666,34.998,35.53,36.584,37.054,36.291,36.16,37.254,36.937,36.56
2245,N,False,3.7229,4.0256,2.8376,2.5668,2.5743,3.7602,3.8806,2.1739,3.5865,3.3301
2246,N,False,1.7143,4.086,2.5896,6.0547,3.4836,4.4088,3.827,2.8933,4.2445,3.6923
2247,N,False,14.157,10.081,8.6957,8.6998,10.062,8.5603,4.8057,2.4641,5.6513,3.85
2248,N,False,36.42,36.537,36.776,36.453,36.395,37.166,37.239,36.885,36.902,36.681
2249,N,False,3.1879,2.7825,2.5985,3.1987,2.8357,2.7027,2.3353,1.9231,3.149,2.0713
2250,N,False,28.36,28.619,29.17,30.361,27.873,27.525,27.835,27.785,28.828,28.114
2251,N,False,6.8441,8.37,9.2084,10.664,8.2707,6.3773,7.6014,8.7838,7.6249,3.3302
2252,N,False,10.377,11.108,11.077,11.267,10.956,11.201,11.011,11.201,11.282,10.824
2253,N,False,29.222,27.962,27.669,28.212,28.208,27.532,28.321,27.483,29.12,29.181
2254,N,False,2.378,2.8233,1.6939,1.2911,2.5507,1.5644,2.3895,2.2286,2.8145,2.3041
2255,N,False,48.432,48.857,49.054,48.666,48.967,49.07,49.253,48.481,48.538,48.796
2256,N,False,4.3084,3.9627,1.993,4.2952,4.0984,4.4715,6.2832,4.9546,4.6127,3.6731
2257,N,False,18.614,18.328,17.519,16.755,16.687,16.252,16.395,16.691,17.16,16.339
2258,N,False,13.435,12.454,11.944,10.925,10.199,14.364,11.73,12.233,10.599,8.665
2259,N,False,5.1937,1.4337,1.4382,1.1618,2.0576,1.2759,1.9142,1.6579,1.7332,2.1723
2260,N,False,1.9188,1.786,2.8266,3.0903,1.6194,2.2462,2.4466,1.7256,1.9896,3.3543
2261,N,False,19.168,22.253,22.004,21.971,20.563,20.921,26.316,24.854,23.914,24.305
2262,N,False,11.629,9.8859,8.6989,8.8408,9.8471,10.101,10.198,13.119,14.5,14.823
2263,N,False,5.7578,6.6667,5.52,5.6752,4.701,4.3269,3.3946,2.6434,4.1007,3.5673
2264,N,False,3.0657,3.3994,3.5912,5.6931,3.8824,4.7225,4.1518,3.6188,4.5767,1.2579
2265,N,False,6.7047,3.8849,3.662,2.7576,3.1519,3.0872,3.0523,4.9479,3.0747,3.8028
2266,N,False,4.918,2.5157,3.9755,3.4921,4.0134,6.3444,5.0314,5.7325,4.6053,3.0075
2267,N,False,29.278,29.477,28.521,28.488,27.172,28.797,25.288,25.889,27.634,26.97
2268,N,False,73.477,72.824,73.162,72.877,72.607,71.95,72.628,71.925,72.638,73.043
2269,N,False,5.1788,6.1425,3.6036,2.9004,2.5767,5.7953,5.0299,10.349,3.8119,3.7565
2270,N,False,0.0,0.0,0.0,0.0,1.4493,0.0,0.0,0.84746,2.1429,3.4483
2271,N,False,3.2078,3.0345,4.065,0.74627,6.4801,8.5843,9.3897,9.8068,11.391,14.305
2272,N,False,3.049,1.9761,2.8935,1.9048,2.1883,3.5549,3.0963,2.7791,2.4878,1.9582
2273,N,False,10.883,9.8746,11.109,10.347,10.8,10.204,10.075,9.5143,8.2679,10.303
2274,N,False,5.0086,5.6587,7.4109,6.7961,8.4646,7.3597,5.6066,6.1739,4.5028,5.6169
2275,N,False,10.262,11.832,10.352,11.486,11.553,11.799,12.194,13.747,11.544,14.103
2276,N,False,7.5356,8.9226,9.7229,8.5267,12.953,11.888,9.1861,11.399,13.616,15.07
2277,N,False,42.836,43.239,43.063,44.001,43.905,43.655,43.67,44.923,44.799,44.831
2278,N,False,42.836,43.239,43.063,44.001,43.905,43.655,43.67,44.923,44.799,44.831
2279,N,False,42.836,43.239,43.063,44.001,43.905,43.655,43.67,44.923,44.799,44.831
2280,N,False,48.079,49.353,50.95,52.389,53.21,51.816,53.076,53.549,54.699,53.247
2281,N,False,4.6089,4.9652,4.7749,5.0464,4.3659,3.9643,3.6582,3.0773,3.619,3.3499
2282,N,False,56.083,56.349,56.589,56.612,56.683,56.738,56.361,56.672,56.57,56.87
2283,N,False,36.929,36.855,36.06,36.446,37.134,37.966,36.427,36.902,36.539,33.608
2284,N,False,27.321,27.833,26.246,26.36,27.257,26.045,27.379,28.715,27.063,27.074
2285,N,False,66.722,66.283,66.526,67.275,67.709,68.485,68.299,69.047,69.28,69.008
2286,N,False,9.4822,7.0163,7.1164,7.6471,7.9259,7.7434,11.681,10.91,9.9925,11.936
2287,N,False,6.8037,6.4144,7.897,13.35,10.08,6.4663,7.7024,9.7592,6.2005,7.2703
2288,N,False,25.208,25.42,25.713,26.262,27.596,25.152,26.074,24.268,20.548,20.46
2289,N,False,14.561,14.922,14.439,16.18,14.213,11.97,11.432,11.068,11.439,12.697
2290,N,False,2.5118,2.3521,2.177,2.22,2.1482,2.5231,1.7194,1.9453,2.2166,1.6595
2291,N,False,5.0768,4.0016,6.4632,6.2166,6.7202,7.0499,6.6211,6.3028,6.4566,5.7632
2292,N,False,5.0178,5.5634,6.147,6.8525,6.1798,6.2644,5.5956,5.692,5.0592,6.6435
2293,N,False,15.317,20.381,20.454,22.134,20.782,23.316,21.338,22.092,20.361,21.588
2294,N,False,17.418,16.967,17.985,17.823,17.74,17.709,16.468,16.26,16.255,16.55
2295,N,False,6.11,7.8695,10.756,7.7519,9.0659,7.7634,6.7781,5.5944,4.572,3.5354
2296,N,False,41.806,41.843,40.948,40.523,40.658,41.568,41.648,41.606,42.576,43.312
2297,N,False,15.931,16.669,15.599,15.158,17.023,15.655,15.674,15.201,13.467,13.73
2298,N,False,1.4056,1.0101,0.63898,1.1643,1.2926,2.3895,3.6223,1.8258,1.0558,1.6467
