,FLARE_TYPE,COINCIDENCE,MEANGBZ_1,MEANGBZ_2,MEANGBZ_3,MEANGBZ_4,MEANGBZ_5,MEANGBZ_6,MEANGBZ_7,MEANGBZ_8,MEANGBZ_9,MEANGBZ_10
1864,N,False,146.54,144.62,146.37,145.24,145.1,143.84,140.62,141.73,142.92,147.05
1865,N,False,170.03,172.84,169.75,170.78,163.89,167.34,169.71,172.24,173.82,165.85
1866,N,False,136.19,133.64,131.26,131.79,131.75,132.82,132.7,132.93,134.38,137.17
1867,N,False,137.8,132.45,135.05,136.72,133.81,134.46,133.69,132.49,128.91,132.49
1868,N,False,166.14,165.98,174.28,174.74,182.18,174.89,184.57,189.75,193.53,201.52
1869,N,False,153.46,143.55,145.82,147.8,146.07,148.57,145.06,141.08,145.1,142.53
1870,N,False,137.73,138.1,138.75,138.75,139.74,139.79,139.08,138.31,138.6,137.23
1871,N,False,138.0,135.83,134.33,135.57,143.43,146.14,146.58,148.85,149.32,147.56
1872,N,False,139.58,124.36,116.06,109.15,109.52,108.29,107.45,102.05,98.588,97.198
1873,N,False,133.05,132.51,132.39,132.77,124.23,131.37,132.48,133.15,131.6,132.91
1874,N,False,127.88,127.3,124.99,123.79,122.89,122.37,121.72,121.63,122.37,121.86
1875,N,False,152.66,148.18,149.46,152.3,148.47,146.76,144.53,141.17,139.05,136.92
1876,N,False,107.23,106.98,106.86,106.72,106.96,107.14,106.92,106.98,108.0,109.29
1877,N,False,140.14,140.65,140.89,137.27,138.45,134.58,131.65,129.58,130.08,129.87
1878,N,False,106.46,105.7,106.09,105.68,106.93,105.67,106.46,106.39,106.45,106.92
1879,N,False,130.16,130.68,133.2,132.61,132.08,133.55,134.96,134.8,135.69,135.44
1880,N,False,127.62,128.14,127.9,130.32,129.9,130.87,131.88,136.0,133.6,132.82
1881,N,False,144.9,142.23,141.3,140.99,144.74,146.54,144.54,150.99,148.86,148.49
1882,N,False,132.04,133.11,134.37,133.41,133.53,132.68,127.63,128.94,130.2,126.3
1883,N,False,142.58,142.12,138.76,136.95,135.5,138.6,139.53,136.3,141.23,139.15
1884,N,False,123.18,120.63,129.84,128.26,116.75,117.29,112.94,115.59,116.66,128.53
1885,N,False,96.807,95.609,97.558,94.864,95.716,94.092,93.773,93.132,91.807,92.881
1886,N,False,117.82,117.62,117.33,117.76,116.86,115.31,114.73,115.99,113.52,113.06
1887,N,False,142.3,139.39,135.32,136.92,139.61,139.05,134.41,133.73,129.02,128.07
1888,N,False,119.42,119.28,118.22,117.89,116.64,115.83,116.19,114.94,114.85,114.04
1889,N,False,164.86,171.1,165.69,168.92,174.34,179.27,175.49,172.37,165.81,163.0
1890,N,False,166.66,164.36,160.36,160.01,168.79,166.65,170.71,178.95,178.55,187.03
1891,N,False,127.44,121.69,125.45,125.76,126.58,132.37,128.71,124.28,127.18,125.56
1892,N,False,95.499,95.757,96.004,95.769,97.326,96.48,97.62,96.739,97.069,97.989
1893,N,False,100.05,100.75,100.51,100.62,100.69,101.21,100.88,100.78,101.23,101.24
1894,N,False,100.05,100.75,100.51,100.62,100.69,101.21,100.88,100.78,101.23,101.24
1895,N,False,151.65,145.82,142.4,141.92,137.82,137.22,139.31,141.65,139.74,138.83
1896,N,False,135.58,133.74,134.02,133.76,135.42,133.85,134.52,133.84,134.47,134.08
1897,N,False,127.95,132.29,132.95,129.97,126.49,128.48,131.68,129.45,124.4,124.32
1898,N,False,160.54,157.75,156.63,158.52,153.45,152.74,149.97,154.02,154.22,152.87
1899,N,False,125.14,123.93,126.52,125.84,125.31,126.99,127.57,129.93,125.65,126.48
1900,N,False,117.66,117.46,116.87,116.08,114.85,115.67,115.79,114.81,114.41,114.35
1901,N,False,140.02,140.48,141.71,140.69,140.9,138.09,144.6,142.44,141.96,137.92
1902,N,False,92.589,91.588,91.558,90.137,89.131,87.553,88.556,89.445,87.226,88.081
1903,N,False,156.2,156.84,161.35,157.16,149.3,153.46,151.64,159.1,157.02,160.43
1904,N,False,141.0,147.82,147.43,150.62,147.01,145.24,138.97,143.38,146.0,151.24
1905,N,False,101.55,101.61,101.76,100.38,99.934,100.34,101.38,100.96,100.35,100.27
1906,N,False,131.63,135.86,135.95,135.5,134.62,136.14,135.41,131.78,130.84,131.18
1907,N,False,138.34,138.26,134.13,133.14,132.43,131.02,129.73,128.74,128.4,127.97
1908,N,False,114.27,116.69,117.8,117.73,118.09,118.01,116.43,116.92,115.84,113.33
1909,N,False,93.382,123.72,125.27,97.943,127.0,128.92,129.62,131.92,130.26,130.41
1910,N,False,105.95,107.39,109.89,111.68,111.72,112.29,113.52,112.63,112.97,114.13
1911,N,False,117.2,117.12,118.31,121.26,123.35,125.58,125.2,126.21,126.42,127.2
1912,N,False,133.35,131.12,130.1,128.54,130.56,131.7,132.29,133.66,135.77,137.16
1913,N,False,109.08,110.59,111.77,108.2,108.27,106.06,104.84,103.24,102.59,103.03
1914,N,False,114.09,113.88,113.5,112.54,112.79,111.26,112.03,111.92,112.27,113.16
1915,N,False,99.102,97.299,97.497,100.37,99.15,99.43,102.55,101.26,100.32,98.922
1916,N,False,127.75,126.73,125.42,124.73,125.52,125.08,124.49,126.17,127.76,126.21
1917,N,False,131.37,129.22,124.82,126.56,126.55,127.76,129.61,125.24,135.53,137.7
1918,N,False,111.41,111.95,112.49,112.87,112.35,112.42,113.67,112.35,113.6,113.72
1919,N,False,138.93,141.16,140.1,139.34,139.4,140.57,138.66,139.77,139.05,137.09
1920,N,False,110.47,109.37,108.3,108.84,107.2,107.18,106.11,105.42,104.41,104.99
1921,N,False,85.021,84.146,88.239,86.363,84.316,85.311,85.621,83.446,83.041,82.533
1922,N,False,86.902,87.267,86.245,87.587,87.883,86.406,86.278,85.923,84.701,82.997
1923,N,False,128.81,129.42,132.26,133.23,134.07,133.77,133.14,132.77,130.15,129.52
1924,N,False,128.81,129.42,132.26,133.23,134.07,133.77,133.14,132.77,130.15,129.52
1925,N,False,81.776,81.303,83.789,86.037,87.166,86.287,86.336,85.489,83.863,85.396
1926,N,False,102.19,103.08,102.4,102.37,102.45,100.85,100.95,100.84,100.95,99.882
1927,N,False,100.58,101.04,101.77,102.2,102.57,103.18,103.74,104.05,104.19,104.13
1928,N,False,144.44,142.11,142.29,138.91,146.99,143.8,143.28,146.69,142.91,138.82
1929,N,False,120.77,120.78,120.17,119.71,119.91,119.66,119.61,119.95,120.7,122.08
1930,N,False,125.02,124.49,125.14,125.66,125.46,126.29,125.65,126.42,126.38,125.54
1931,N,False,108.3,109.42,109.69,109.95,109.54,109.59,109.92,110.47,110.82,110.85
1932,N,False,111.61,111.8,110.57,110.72,110.27,110.05,110.12,110.05,109.58,109.66
1933,N,False,152.16,156.21,155.91,159.1,162.27,165.02,167.7,170.28,171.37,170.35
1934,N,False,111.31,110.84,110.78,111.47,111.07,111.0,111.16,111.26,112.36,111.66
1935,N,False,111.31,110.84,110.78,111.47,111.07,111.0,111.16,111.26,112.36,111.66
1936,N,False,137.6,136.06,138.37,138.5,135.07,137.13,135.85,141.89,142.47,141.2
1937,N,False,137.6,136.06,138.37,138.5,135.07,137.13,135.85,141.89,142.47,141.2
1938,N,False,125.2,122.78,124.0,124.41,125.8,124.3,128.84,127.86,126.78,126.48
1939,N,False,93.636,93.007,93.389,94.042,93.514,93.498,92.872,93.235,92.705,92.125
1940,N,False,133.91,135.23,137.0,136.6,131.12,131.61,132.62,136.34,138.03,139.9
1941,N,False,105.04,105.42,105.24,105.52,106.11,106.95,107.07,108.04,108.62,109.33
1942,N,False,101.76,101.97,101.24,101.63,100.8,100.9,101.15,101.84,101.97,100.72
