,FLARE_TYPE,COINCIDENCE,USFLUX_1,USFLUX_2,USFLUX_3,USFLUX_4,USFLUX_5,USFLUX_6,USFLUX_7,USFLUX_8,USFLUX_9,USFLUX_10
235,M,False,1.6104e+22,1.6131e+22,1.6148e+22,1.616e+22,1.6093e+22,1.6202e+22,1.6166e+22,1.6242e+22,1.6308e+22,1.6273e+22
236,M,False,1.6541e+22,1.6609e+22,1.6404e+22,1.6352e+22,1.6199e+22,1.6133e+22,1.6078e+22,1.6095e+22,1.6028e+22,1.6038e+22
237,M,False,3.0722e+22,3.0843e+22,3.1083e+22,3.114e+22,3.1161e+22,3.116e+22,3.1286e+22,3.1029e+22,3.0904e+22,3.0869e+22
238,M,False,2.0646e+22,2.0654e+22,2.086e+22,2.1037e+22,2.1051e+22,2.0967e+22,2.1073e+22,2.1278e+22,2.153e+22,2.1628e+22
239,M,False,2.8967e+22,2.9091e+22,2.8825e+22,2.8688e+22,2.8705e+22,2.8922e+22,2.9267e+22,2.8881e+22,2.8853e+22,2.9379e+22
240,M,True,5.7648e+22,5.7511e+22,5.7839e+22,5.7932e+22,5.7747e+22,5.75e+22,5.7291e+22,5.7192e+22,5.6837e+22,5.6438e+22
241,M,False,5.4631e+22,5.4627e+22,5.4889e+22,5.5233e+22,5.5454e+22,5.5551e+22,5.5987e+22,5.6534e+22,5.6851e+22,5.7422e+22
242,M,True,2.2984e+22,2.2895e+22,2.2686e+22,2.2721e+22,2.2706e+22,2.2546e+22,2.257e+22,2.27e+22,2.244e+22,2.2475e+22
243,M,False,2.0232e+22,2.0027e+22,2.0084e+22,1.9986e+22,2.0024e+22,1.961e+22,1.989e+22,1.9886e+22,1.9859e+22,1.996e+22
244,M,False,8.8847e+20,1.0468e+21,1.109e+21,1.2507e+21,1.3442e+21,1.536e+21,1.6511e+21,1.7344e+21,1.8115e+21,1.9372e+21
245,M,False,1.7848e+22,1.7903e+22,1.7972e+22,1.8174e+22,1.8257e+22,1.8373e+22,1.839e+22,1.8392e+22,1.8371e+22,1.8453e+22
246,M,False,2.4922e+22,2.4963e+22,2.4874e+22,2.5003e+22,2.5176e+22,2.5181e+22,2.5193e+22,2.5303e+22,2.5402e+22,2.5596e+22
247,M,False,2.4414e+22,2.4463e+22,2.4529e+22,2.4617e+22,2.4622e+22,2.4647e+22,2.4762e+22,2.4748e+22,2.4832e+22,2.4949e+22
248,M,False,2.428e+22,2.4202e+22,2.4194e+22,2.4488e+22,2.4844e+22,2.5103e+22,2.5087e+22,2.475e+22,2.4633e+22,2.4126e+22
249,M,False,2.5376e+22,2.5767e+22,2.6385e+22,2.6553e+22,2.6842e+22,2.6919e+22,2.6792e+22,2.6732e+22,2.6537e+22,2.648e+22
250,M,False,2.8345e+22,2.8125e+22,2.787e+22,2.7757e+22,2.7691e+22,2.7309e+22,2.7275e+22,2.7482e+22,2.7539e+22,2.7785e+22
