,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10
1783,B,False,105.49,107.93,106.46,105.56,108.53,108.6,112.14,108.9,109.72,109.14
1784,B,False,313.66,313.3,311.33,311.66,309.34,307.73,304.43,305.12,305.06,305.37
1785,B,False,166.38,166.24,170.8,165.71,169.66,169.59,173.25,174.27,174.81,165.69
1786,B,False,545.85,553.46,558.6,559.53,561.08,561.87,565.32,568.61,572.58,568.65
1787,B,False,211.44,210.95,209.04,209.42,211.82,211.56,209.6,213.56,212.09,213.65
1788,B,False,198.91,200.32,199.85,203.71,208.6,209.59,207.98,209.85,210.66,212.2
1789,B,False,461.79,466.63,465.7,466.73,468.62,470.04,474.13,472.57,469.45,471.78
1790,B,False,394.81,394.1,389.7,394.87,390.44,386.61,384.73,380.74,375.35,374.12
1791,B,False,335.12,333.1,333.4,334.26,339.42,339.1,338.9,342.15,337.44,344.21
1792,B,False,241.0,243.26,241.97,242.72,242.3,244.62,247.74,247.12,247.85,247.72
1793,B,False,321.14,319.51,318.43,316.56,315.96,316.22,318.96,321.02,320.32,321.68
1794,B,False,137.4,136.7,134.94,138.0,135.98,134.77,135.09,135.52,133.16,133.62
1795,B,False,509.74,507.15,503.81,522.89,506.0,502.73,503.08,494.44,501.52,505.82
1796,B,False,157.15,157.05,157.07,156.85,155.77,157.03,155.94,152.28,155.34,155.64
1797,B,False,335.53,340.41,339.81,344.03,342.99,342.27,343.49,346.65,346.42,345.9
1798,B,False,653.12,654.69,654.97,658.19,655.78,660.89,664.36,665.91,671.79,673.11
1799,B,False,754.45,754.84,756.29,757.77,770.89,787.96,771.13,770.36,769.89,777.8
1800,B,False,309.93,310.66,317.42,318.2,312.67,309.95,313.13,311.76,323.55,318.65
1801,B,False,331.37,327.44,327.44,329.39,330.29,326.12,321.94,325.76,323.23,327.14
1802,B,False,162.89,162.59,161.88,159.65,162.82,166.08,165.87,168.04,165.07,164.4
1803,B,False,269.36,268.07,272.38,272.5,278.39,279.31,278.25,281.74,281.24,283.03
1804,B,False,159.11,160.42,157.84,159.02,153.83,161.48,159.69,160.84,160.22,162.69
1805,B,False,499.69,499.18,500.24,497.19,501.75,500.6,501.04,505.03,508.08,507.35
1806,B,False,522.45,525.61,526.6,529.76,531.41,528.97,521.4,518.35,523.46,529.97
1807,B,False,152.76,151.14,168.24,180.83,190.16,205.49,207.62,212.63,205.49,210.51
1808,B,False,81.76,82.641,80.802,82.226,89.089,88.86,96.251,102.1,96.202,98.349
