,FLARE_TYPE,COINCIDENCE,MEANSHR_1,MEANSHR_2,MEANSHR_3,MEANSHR_4,MEANSHR_5,MEANSHR_6,MEANSHR_7,MEANSHR_8,MEANSHR_9,MEANSHR_10
1203,B,False,23.211,23.33,23.237,23.052,23.582,22.865,23.189,22.819,23.189,23.203
1204,B,False,29.241,28.582,28.499,29.059,28.404,28.887,29.393,29.364,30.139,30.985
1205,B,False,26.067,25.946,25.761,26.874,27.337,27.396,27.899,28.458,27.852,28.148
1206,B,True,19.25,19.201,19.538,19.251,19.12,19.114,19.242,18.991,18.685,18.597
1207,B,False,46.508,46.623,47.034,47.92,49.884,49.709,49.141,50.875,50.99,51.664
1208,B,True,24.623,24.769,24.651,24.8,24.786,24.867,24.946,25.152,24.749,25.115
1209,B,True,20.166,20.212,21.112,20.427,20.034,20.785,20.027,20.451,20.967,20.649
1210,B,False,36.816,36.561,36.586,36.38,36.326,37.025,36.386,35.896,36.303,35.02
1211,B,False,27.354,27.636,26.375,26.657,27.498,27.886,27.613,28.247,25.805,27.06
1212,B,True,23.417,23.524,23.556,23.827,23.833,24.12,24.257,24.334,24.176,24.463
1213,B,False,54.28,54.386,54.21,54.201,54.536,54.13,54.126,54.069,54.263,54.182
1214,B,False,19.064,18.89,18.437,18.511,18.885,18.891,19.058,18.679,19.216,18.861
1215,B,False,45.72,45.567,46.196,45.961,46.552,46.714,46.88,47.046,47.184,47.009
1216,B,False,20.141,20.056,20.115,20.134,20.49,20.261,20.359,20.752,20.527,20.217
1217,B,False,29.414,29.218,29.082,28.807,28.956,29.045,29.08,29.103,29.223,29.237
1218,B,False,38.703,37.895,38.005,37.549,38.434,38.787,38.873,39.707,40.064,40.146
1219,B,False,36.178,36.097,36.326,36.379,35.995,35.99,36.398,36.179,35.829,36.278
1220,B,True,28.018,28.165,28.068,27.866,27.836,27.377,27.598,27.023,27.065,27.134
1221,B,False,37.905,37.799,37.41,38.049,37.758,37.441,36.692,36.653,37.017,36.597
1222,B,True,32.51,32.542,31.664,33.578,33.395,33.243,33.257,32.362,30.774,31.696
1223,B,False,30.199,31.439,29.917,32.37,33.826,34.331,32.407,32.807,31.515,29.88
1224,B,True,27.559,27.143,27.099,26.597,27.522,27.788,28.047,27.249,28.266,27.969
1225,B,False,32.687,32.185,32.419,32.657,31.964,32.037,33.139,33.025,32.666,32.207
1226,B,False,34.266,34.46,33.838,33.96,34.562,34.775,34.548,34.269,34.381,34.358
1227,B,False,22.556,22.405,22.573,23.031,22.711,22.769,23.343,22.954,22.941,23.645
1228,B,False,29.354,29.484,30.123,30.392,30.3,30.772,30.679,30.666,31.281,30.566
1229,B,True,41.203,41.039,41.809,41.6,41.72,42.105,41.846,42.365,42.062,41.79
1230,B,False,23.956,24.712,24.18,23.943,23.392,24.48,26.173,28.025,29.552,28.785
1231,B,False,40.406,40.082,40.08,40.255,39.975,40.046,40.069,40.044,40.557,40.182
1232,B,False,27.278,26.666,27.306,26.667,26.551,26.044,26.818,25.93,25.72,25.628
1233,B,False,35.605,35.77,35.547,35.773,35.518,35.534,35.796,35.941,35.983,35.504
1234,B,False,22.454,22.729,22.737,22.351,22.278,21.765,21.68,22.071,22.023,22.289
1235,B,False,41.589,41.05,39.719,42.484,41.962,39.586,39.48,37.714,37.659,39.109
1236,B,True,22.331,22.518,22.183,22.397,22.399,22.71,23.209,22.865,23.169,22.736
1237,B,False,34.306,34.354,34.61,33.957,33.6,32.937,34.448,34.309,33.153,32.743
1238,B,False,47.069,44.857,43.324,40.938,39.968,43.786,41.246,41.4,40.805,41.395
1239,B,False,30.144,29.843,30.357,30.415,30.221,30.093,29.98,29.8,29.923,30.4
1240,B,False,33.414,33.564,33.581,34.436,34.411,34.262,33.507,34.68,34.296,34.007
1241,B,False,19.406,19.317,19.265,19.348,19.404,19.472,19.64,19.785,19.693,19.574
1242,B,False,45.061,46.395,46.923,46.437,46.201,46.388,46.394,45.692,46.049,46.965
1243,B,False,23.189,23.441,23.677,23.644,23.444,23.446,23.333,23.163,23.079,23.423
1244,B,False,20.187,20.327,20.689,19.897,20.313,20.227,20.037,20.14,20.203,20.293
1245,B,False,18.05,17.997,18.305,18.49,18.492,18.913,18.681,18.933,19.252,19.276
1246,B,False,31.276,31.226,31.793,32.373,32.85,32.899,33.283,32.823,33.35,33.039
1247,B,True,26.588,26.181,26.236,26.174,26.053,25.46,25.269,25.003,25.255,25.386
1248,B,True,45.37,45.545,45.741,45.537,45.621,45.716,45.72,45.299,45.737,46.22
1249,B,False,17.098,17.346,17.431,17.586,17.904,18.253,18.097,18.17,18.231,18.142
1250,B,False,45.434,45.217,45.313,45.27,45.096,45.055,45.109,45.136,45.161,45.265
1251,B,False,25.265,24.379,25.272,24.873,23.065,23.976,23.989,23.125,23.753,23.656
1252,B,False,26.217,26.27,26.142,26.011,25.909,25.783,26.288,25.887,25.854,26.083
1253,B,False,43.601,43.249,42.625,42.418,42.581,42.144,41.584,41.982,41.791,41.931
1254,B,False,36.912,37.347,36.225,34.673,35.412,35.12,34.955,34.782,33.342,33.295
1255,B,False,39.109,42.5,43.84,43.899,44.43,43.951,43.589,42.778,42.68,41.995
1256,B,False,22.288,22.811,21.742,21.175,21.837,22.959,20.856,21.164,21.926,21.64
1257,B,True,19.868,20.193,20.149,19.943,20.16,20.076,20.134,20.272,20.288,20.419
1258,B,False,34.477,35.144,34.752,34.44,34.541,34.077,33.634,33.382,33.329,32.506
1259,B,False,35.689,35.842,35.285,0.0,35.102,34.864,34.624,34.895,35.188,35.368
1260,B,False,38.194,38.895,38.414,39.558,40.235,40.927,37.796,37.176,37.686,37.084
1261,B,True,29.338,29.673,30.257,29.98,29.664,31.578,29.954,29.942,30.279,30.28
1262,B,False,42.143,42.396,41.991,41.43,41.5,41.56,40.817,41.462,41.413,40.686
1263,B,False,36.582,36.833,36.739,36.519,36.5,36.541,36.505,35.782,35.815,36.147
1264,B,False,19.561,21.16,20.344,21.398,21.642,22.239,23.404,20.625,20.222,20.488
1265,B,False,27.43,27.522,27.919,28.143,28.484,28.319,27.893,27.927,27.72,28.316
1266,B,False,21.361,21.22,20.967,21.124,21.131,21.124,21.022,20.723,20.416,20.465
1267,B,True,34.968,35.183,35.022,35.123,34.897,34.796,35.016,35.03,35.361,35.433
1268,B,False,42.937,42.886,42.688,42.592,42.875,44.153,42.304,42.978,43.549,42.917
1269,B,False,37.379,38.211,37.918,37.265,36.876,37.448,37.494,36.847,37.661,37.92
1270,B,False,30.51,31.061,30.947,30.556,31.306,31.009,30.64,31.116,30.751,30.733
1271,B,False,37.81,37.314,37.161,37.568,37.572,37.13,36.846,36.431,36.127,36.423
1272,B,False,27.221,26.499,26.89,26.498,27.06,27.297,27.021,27.483,27.028,26.906
1273,B,True,25.239,25.109,24.849,24.678,26.031,24.424,25.15,25.057,24.981,25.046
1274,B,False,28.547,28.693,28.964,29.113,28.863,28.765,28.698,29.071,29.258,29.436
1275,B,False,27.366,27.707,27.806,28.339,28.194,28.323,27.337,27.517,29.008,29.156
1276,B,False,25.298,24.994,25.007,25.221,25.038,25.398,25.392,25.053,24.973,25.06
1277,B,False,28.203,27.95,27.061,26.432,27.299,27.33,28.8,29.08,28.135,27.522
1278,B,False,29.919,29.755,29.958,30.187,30.071,30.233,30.299,29.799,30.584,31.093
1279,B,True,38.105,38.04,37.879,38.949,37.57,38.807,38.701,37.485,38.445,38.534
1280,B,False,30.323,30.521,30.669,30.8,30.544,31.407,30.54,30.83,30.799,30.67
1281,B,False,42.304,41.925,42.061,42.407,43.011,43.176,43.793,44.747,45.535,45.343
1282,B,False,26.284,26.262,26.183,26.358,26.406,26.092,26.344,26.456,26.234,26.41
1283,B,False,23.276,22.932,24.099,22.828,23.495,22.069,21.767,22.468,22.092,22.716
1284,B,False,43.291,42.832,42.152,41.955,43.533,42.806,42.813,43.402,44.799,44.948
1285,B,False,47.833,47.605,47.913,47.915,47.827,48.018,47.956,47.339,46.873,46.637
1286,B,True,40.32,40.248,40.237,40.194,39.793,39.422,39.22,39.122,38.987,38.502
1287,B,False,22.626,22.395,23.101,23.383,23.2,23.588,23.461,23.389,23.631,22.953
1288,B,False,40.537,40.424,38.789,38.283,37.73,37.45,36.301,36.857,36.167,36.134
1289,B,False,15.031,15.117,14.994,14.578,14.65,14.554,14.508,14.637,14.452,14.454
