T_REC,NOAA_AR,SAVNCPP,MEANPOT,EPSZ,TOTBSQ,TOTFZ,TOTABSTWIST
2013.12.20_17:48:00.000_TAI,11934,12952970000000.0,5746.9,-0.1041279409164278,56704689687.25424,-3120.032693144637,7825.363055645327
2012.07.04_11:48:00.000_TAI,11515,19500780000000.0,12953.0,-0.0931782424120699,57206060430.36209,-2816.627469198124,8123.981214795997
2012.07.04_13:12:00.000_TAI,11515,21660410000000.0,12898.0,-0.0931067788008447,57897302022.02586,-2848.475223460832,8322.467679144382
2013.01.11_08:12:00.000_TAI,11654,11601240000000.0,13091.0,-0.111608921053696,64826908719.53959,-3823.200657002867,9137.425968878477
2013.10.16_07:00:00.000_TAI,11861,9482683000000.0,5618.9,-0.1077439759855159,66098092035.337685,-3763.177993454552,9261.32919945895
2011.05.29_06:48:00.000_TAI,11226,22974980000000.0,8653.6,-0.1313803838810952,67262953642.16723,-4669.595735499472,9286.409187263567
2021.10.08_04:00:00.000_TAI,12882,17841330000000.0,17623.0,-0.1326715285463179,67879167023.35597,-4758.685886382164,9264.462810960127
2012.07.05_08:24:00.000_TAI,11515,22266570000000.0,13612.0,-0.1411711647255309,68658040168.59226,-5121.654657109358,9246.58693462576
2015.06.23_18:24:00.000_TAI,12371,21034510000000.0,16471.0,-0.146257966901554,67733944713.11589,-5234.783387780812,8972.311696945362
2012.07.05_13:36:00.000_TAI,11515,35151470000000.0,13422.0,-0.1533547382628574,68355184619.751526,-5539.128967853271,9367.604204834248
2012.07.05_19:00:00.000_TAI,11515,29461630000000.0,13050.0,-0.1657109304472818,75628562097.26105,-6622.315759664383,10496.905369574692
2012.07.05_23:12:00.000_TAI,11515,47115540000000.0,14403.0,-0.1754356644744188,78467477721.63882,-7274.1195759460925,10396.96421670072
2012.07.06_03:12:00.000_TAI,11515,53035880000000.0,14261.0,-0.1812506988802292,80774241888.27966,-7736.160319074805,10348.542043138914
2012.07.06_11:00:00.000_TAI,11515,53358610000000.0,14032.0,-0.1972773088181113,83328544144.42458,-8686.480274183505,10139.353956400157
2012.07.07_09:48:00.000_TAI,11515,52523160000000.0,12368.0,-0.2560948879958525,91824173331.49634,-12425.980397459907,10371.203550513748
2012.03.04_04:24:00.000_TAI,11429,40719160000000.0,14658.0,-0.2552027113891791,88056822192.49374,-11874.658483345062,9935.421269740466
2012.07.07_16:36:00.000_TAI,11515,37300190000000.0,11758.0,-0.2788421389332616,88558127738.45633,-13048.470573670242,10043.326923257882
2012.07.08_23:12:00.000_TAI,11520,71239720000000.0,11533.0,-0.2151957870634999,132364324257.64618,-15051.423939369042,15850.80785583785
2012.07.09_05:12:00.000_TAI,11520,86663520000000.0,12538.0,-0.191560508630628,133207732070.7495,-13483.673942840447,16135.09452299035
2012.07.09_06:24:00.000_TAI,11520,92541290000000.0,12738.0,-0.1903281510719918,130987381945.69247,-13173.626013756631,15856.620442740144
2012.07.11_16:48:00.000_TAI,11520,58564760000000.0,12369.0,-0.0996253125136768,110795441331.38664,-5832.6293752962265,12791.383798094526
2012.07.13_05:00:00.000_TAI,11521,39001260000000.0,12284.0,-0.137300909156058,115789654561.23984,-8400.709791978808,13470.479920526672
2012.06.02_02:00:00.000_TAI,11496,4527767000000.0,3619.7,-0.4044711058248088,71310204422.61078,-15240.950447820524,10532.347790052752
2012.07.28_06:24:00.000_TAI,11532,7981285000000.0,6691.4,-0.3804407091891303,69556871471.16269,-13982.982725390952,10408.162231165124
2012.07.29_15:48:00.000_TAI,11536,2489641000000.0,7918.0,-0.2826369056934678,64478380804.965485,-9629.766917062148,10843.172871808812
2012.08.10_12:24:00.000_TAI,11540,3697403000000.0,3747.4,-0.4566004503573176,29546859782.98007,-7128.866617574327,6661.329680405235
2012.09.05_04:12:00.000_TAI,11560,16690010000000.0,5704.0,-0.3789846947058311,15624526926.490835,-3128.9698660157005,2857.902692013951
2012.09.07_18:00:00.000_TAI,11564,5321366000000.0,2645.5,-0.4187485317429949,26077454565.416546,-5770.204679471699,8613.062801729073
2012.09.08_22:36:00.000_TAI,11564,9068239000000.0,3826.1,-0.4880274791679981,33233347299.694187,-8570.20417900381,8184.894200414104
2012.09.29_04:36:00.000_TAI,11583,6121575000000.0,4448.3,-0.4610580274987276,28408298757.88021,-6921.075960766013,5891.490580924106
2012.11.12_02:00:00.000_TAI,11613,3102245000000.0,9459.2,-0.3110725468820048,11810975877.724863,-1941.4228692393256,1332.51289019944
2012.11.12_05:48:00.000_TAI,11613,6230767000000.0,7914.0,-0.3272944427932051,12293215997.882956,-2126.066511973129,1623.994330039184
