,time_start,time_peak,time_end,nar,xray_class,magnitude,COINCIDENCE,AR_class,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
27,2011-02-09 19:48:00,2011-02-09 20:00:00,2011-02-09 20:00:00,11157,B,2.9,False,0,7.2946,146.96,31.216,53.017,121.27,122.9,0.032055,-0.0012686,2855.1,25.473,3.4073,150190000000.0,8.6246,2.1806e+22,297.33,5639500000000.0,4.0475e+21,86.621,88.568,31.242
28,2013-03-25 13:00:00,2013-03-25 13:00:00,2013-03-25 13:12:00,11704,B,2.6,False,0,56.246,300.62,29.222,30.746,63.113,66.03,-0.30752,0.0025311,3450.9,22.191,3.7744,3992800000000.0,9.8686,1.0184e+23,598.31,11699000000000.0,1.5228e+22,0.0,0.0,0.0
29,2021-01-01 04:24:00,2021-01-01 04:36:00,2021-01-01 04:36:00,12795,B,2.1,False,0,58.269,286.58,39.296,72.123,140.11,139.19,0.26781,-0.0082709,4145.7,30.367,2.6488,1631500000000.0,17.459,3.8787e+22,419.52,8078100000000.0,4.7699e+21,245.38,632.32,38.168
30,2017-05-06 11:00:00,2017-05-06 11:12:00,2017-05-06 11:12:00,12655,B,1.1,False,0,76.192,154.22,44.009,73.144,133.05,135.9,-0.1151,-0.013505,4668.9,34.981,3.8641,2270800000000.0,25.86,3.4984e+22,356.18,6695400000000.0,3.6692e+21,64.419,2046.2,10.316
31,2012-09-14 23:24:00,2012-09-14 23:36:00,2012-09-14 23:48:00,11566,B,3.0,False,0,10.506,105.52,39.198,43.926,94.259,96.412,0.086167,-0.0017469,5210.2,32.811,3.4319,275780000000.0,22.897,4.1613e+22,220.24,4798900000000.0,3.7461e+21,0.0,0.0,0.0
32,2010-06-21 19:00:00,2010-06-21 19:12:00,2010-06-21 19:12:00,11082,B,1.3,False,0,48.49,276.67,42.387,64.658,121.98,120.14,0.66617,0.0058948,4968.6,32.656,3.4437,4301000000000.0,21.602,5.4279e+22,402.36,8892600000000.0,4.8055e+21,150.63,296.13,22.881
33,2018-06-17 13:12:00,2018-06-17 14:24:00,2018-06-17 15:00:00,12713,B,1.2,False,0,23.298,505.19,32.079,51.208,128.4,128.67,0.65389,-0.0027208,1705.4,25.183,2.166,3039400000000.0,8.6302,1.9394e+22,372.87,8853100000000.0,4.7692e+21,0.0,0.0,0.0
34,2011-06-29 00:12:00,2011-06-29 00:24:00,2011-06-29 00:48:00,11240,B,7.3,False,0,53.105,167.68,28.871,46.481,109.33,111.57,0.10068,-0.0048299,2795.8,23.797,3.5694,1757200000000.0,5.0932,4.0825e+22,493.37,9447500000000.0,7.3153e+21,97.824,61.571,37.836
35,2021-04-24 04:36:00,2021-04-24 05:00:00,2021-04-24 05:12:00,12820,B,4.3,False,0,87.403,145.82,44.103,46.89,96.618,96.531,0.17142,-0.01448,7792.5,36.614,3.3355,1128000000000.0,33.184,6.2465e+22,257.05,4871300000000.0,3.7411e+21,0.0,0.0,0.0
36,2017-06-18 21:24:00,2017-06-18 21:36:00,2017-06-18 21:48:00,12663,B,2.1,False,0,31.164,293.2,49.094,63.48,109.5,107.1,0.16481,0.0030312,7025.2,38.907,3.4235,1313500000000.0,34.608,9.5919e+22,422.75,9496800000000.0,6.2356e+21,264.29,789.78,32.963
