T_REC,NOAA_AR,USFLUX,MEANPOT,EPSZ,TOTBSQ,TOTFZ,TOTABSTWIST
2011.09.23_09:36:00.000_TAI,11302,6.115072e+22,13578.0,-0.1858562942518982,77360783583.10828,-7597.502878583216,7046.944296137299
2011.09.23_13:12:00.000_TAI,11302,6.133609e+22,14317.0,-0.206602187194616,78211355819.69627,-8538.419656516638,7158.588506674743
2011.09.23_17:00:00.000_TAI,11295,6.692948e+22,7156.2,-0.3778392469072007,58569800374.78023,-11693.74597570903,7849.050050178725
2011.09.23_17:24:00.000_TAI,11302,6.188453e+22,15260.0,-0.1997025365787114,81900636628.3265,-8642.584781637783,7762.1090793552
2011.09.23_18:12:00.000_TAI,11302,6.336746e+22,14432.0,-0.198644013557081,82911089283.45328,-8702.838699436132,8227.44049121367
2014.06.10_11:24:00.000_TAI,12080,6.141792e+22,12106.0,-0.1598369601669474,84707736218.03972,-7154.397688088148,7529.501921708532
2011.09.23_20:36:00.000_TAI,11302,6.120718e+22,16434.0,-0.1969437986327254,85205041799.16994,-8867.072426543185,7667.964159926211
2011.09.24_02:36:00.000_TAI,11302,6.211403e+22,17684.0,-0.1407727030387023,90619121450.6807,-6740.792989296327,7812.918958260803
2011.09.24_04:48:00.000_TAI,11302,5.833914e+22,19251.0,-0.1151085428795228,87602577668.72116,-5328.404906700112,7801.72418275831
2011.09.24_08:48:00.000_TAI,11302,5.496934e+22,19149.0,-0.0931932835475033,82086600212.42987,-4042.309750192947,8102.093037515268
2011.09.24_09:36:00.000_TAI,11303,3.815461e+21,2691.3,-0.5538433674962292,2773803811.254012,-811.7746267211337,510.6064743819624
2011.09.24_15:36:00.000_TAI,11302,5.29862e+22,19711.0,-0.054743173990419,81095173309.30998,-2345.8361580869487,7692.584057545852
2011.09.24_17:00:00.000_TAI,11303,7.610288e+21,5231.9,-0.4589203409711508,6775402667.585993,-1643.029058902854,964.3511933560176
2012.05.10_04:12:00.000_TAI,11476,5.194643e+22,17318.0,-0.0951326474177469,85737039434.88794,-4309.9365940216685,7167.538022407657
2011.09.25_14:48:00.000_TAI,11302,4.722961e+22,20369.0,-0.0463391701049065,76444445448.75282,-1871.832656188796,6949.439192880786
2011.09.27_13:24:00.000_TAI,11302,3.758251e+22,20598.0,0.0112315436411437,65778751096.93887,390.3891811855244,5253.547472352417
2011.09.29_19:12:00.000_TAI,11305,8.963202e+21,13906.0,-0.078928611620452,13612111124.982763,-567.7180361441405,1475.663273368948
2011.09.30_10:00:00.000_TAI,11305,7.995265e+21,16653.0,-0.0289536166440679,13661567017.519505,-209.0143621867828,1173.4355210296494
2011.10.01_00:48:00.000_TAI,11305,9.600959e+21,16824.0,-0.0363744325652829,16971639287.63255,-326.20658233319176,1385.0997384682746
2011.10.01_17:24:00.000_TAI,11302,3.705024e+22,12921.0,-0.1938319895013013,48013463045.94447,-4917.691387571108,5301.594537048008
2011.10.20_13:00:00.000_TAI,11314,7.034761e+22,5866.0,-0.3713887294394251,59122598717.79928,-11602.589261117071,8088.778598662468
2011.10.21_11:12:00.000_TAI,11314,6.312541e+22,6532.2,-0.3503734531788321,54623129806.73784,-10113.010342287516,5936.627511272275
2011.11.04_05:48:00.000_TAI,11339,8.218218e+22,12001.0,-0.2030506792288216,100038271194.41573,-10733.548149904169,9800.115740354451
2011.11.04_03:36:00.000_TAI,11339,8.085321e+22,13113.0,-0.2085840993047252,98202670664.22765,-10823.735521773157,9860.456858576315
2011.11.04_11:24:00.000_TAI,11339,7.822827e+22,12052.0,-0.1965420104064204,90997201591.67244,-9450.529834211273,10017.789773419454
2011.11.04_20:36:00.000_TAI,11339,8.035227e+22,12783.0,-0.1999926236435187,96990082995.74892,-10249.766682510695,11054.360916367708
2014.01.02_03:24:00.000_TAI,11944,8.230209e+22,11689.0,-0.1933671823271484,98452778659.70476,-10059.663572760022,10684.762107140625
2011.11.05_06:36:00.000_TAI,11339,7.630486e+22,11998.0,-0.165300668342135,91463020135.48572,-7989.007648111978,10637.98947791457
2011.11.08_13:36:00.000_TAI,11342,3.637898e+22,6113.1,-0.3371578883973216,31375085672.0115,-5589.731544597133,6091.084003317824
2013.01.12_20:00:00.000_TAI,11652,2.232744e+22,4619.3,-0.474107698156029,16224876080.507812,-4064.723967373121,3333.8770910382677
2011.12.25_02:24:00.000_TAI,11387,3.206849e+21,3678.6,-0.3883841924276367,2618814379.474797,-537.4510321413493,684.2092179786184
2011.12.25_20:36:00.000_TAI,11387,8.63994e+21,9860.3,-0.1595928298945634,10155385013.471811,-856.4112342706172,2007.52436654484
2011.12.29_03:12:00.000_TAI,11389,6.501233e+22,5941.9,-0.4109551378851519,53208239733.14445,-11554.35965002011,7949.583385019607
2013.11.18_17:12:00.000_TAI,11893,5.844351e+22,7450.8,-0.3583915065033002,51415895342.75079,-9737.055489192762,9165.229496550131
2011.12.30_16:24:00.000_TAI,11389,6.036511e+22,6007.0,-0.3501103568385689,52032741948.22477,-9626.187562497766,8927.949829614705
2014.01.28_22:24:00.000_TAI,11967,8.615274e+22,15919.0,-0.2704008878557514,84566746739.12685,-12083.15381650792,11380.031334258849
2011.03.06_21:24:00.000_TAI,11164,5.995961e+22,9939.2,-0.2723791174242197,61124106076.1294,-8797.49348731212,10604.53248398174
2012.02.05_20:00:00.000_TAI,11410,2.741331e+22,5158.3,-0.4104502479438568,21738781055.490314,-4714.8545881276505,3789.080910736656
2012.03.04_04:00:00.000_TAI,11429,3.77381e+22,14848.0,-0.22678635194743,48525213397.60417,-5815.097960970187,3381.868812016284
2012.03.04_19:12:00.000_TAI,11429,4.341028e+22,13193.0,-0.2614381553622998,53298334829.011536,-7363.008329356898,5012.008065147217
2013.03.21_09:36:00.000_TAI,11692,4.308002e+22,6472.3,-0.2600418442441644,53203876254.33557,-7310.7035660030515,5108.6008563328505
2011.04.21_05:12:00.000_TAI,11195,4.617027e+22,3923.2,-0.2228646250099671,58700719348.6627,-6912.853143074532,5311.661272508673
2016.07.21_19:48:00.000_TAI,12567,4.733254e+22,9937.0,-0.2302487173546112,60993405614.41195,-7420.834567806227,5753.737283227294
2012.03.05_01:48:00.000_TAI,11429,4.819927e+22,14541.0,-0.2248436152842564,62832780034.28,-7465.167822786213,5890.297168198033
2012.03.05_04:00:00.000_TAI,11430,4.894667e+22,14435.0,-0.2107159921160361,64008236081.83067,-7126.987779393269,6292.116724735876
