,name,tss,timepoint,dataset
345,SVM,0.6965326582332397,19,All Flares
346,DART,0.8029027174376014,19,All Flares
347,LDA,0.6395063996081439,19,All Flares
348,KNN,0.7192265512265513,19,Coincidental Flares
349,LR,0.7864588744588744,19,Coincidental Flares
350,RFC,0.8004386724386723,19,Coincidental Flares
351,SVM,0.7539105339105341,19,Coincidental Flares
352,DART,0.7982741702741702,19,Coincidental Flares
353,LDA,0.7717806637806638,19,Coincidental Flares
354,KNN,0.7002148950588062,19,Noncoincidental Flares
355,LR,0.7779911257159301,19,Noncoincidental Flares
356,RFC,0.7555575668124054,19,Noncoincidental Flares
357,SVM,0.6532893332219406,19,Noncoincidental Flares
358,DART,0.7537390811959861,19,Noncoincidental Flares
359,LDA,0.607965505397904,19,Noncoincidental Flares
360,KNN,0.7538884807053411,20,All Flares
361,LR,0.7793932085356505,20,All Flares
362,RFC,0.7983234304455233,20,All Flares
363,SVM,0.7011441562313656,20,All Flares
364,DART,0.7944533179998299,20,All Flares
365,LDA,0.6297187792827328,20,All Flares
366,KNN,0.7580144300144301,20,Coincidental Flares
367,LR,0.7661356421356421,20,Coincidental Flares
368,RFC,0.7939336219336219,20,Coincidental Flares
369,SVM,0.76215873015873,20,Coincidental Flares
370,DART,0.789910533910534,20,Coincidental Flares
371,LDA,0.7482308802308805,20,Coincidental Flares
372,KNN,0.7071704400939411,20,Noncoincidental Flares
373,LR,0.7830720246549147,20,Noncoincidental Flares
374,RFC,0.7537191233395527,20,Noncoincidental Flares
375,SVM,0.6529031719067644,20,Noncoincidental Flares
376,DART,0.7580267713757926,20,Noncoincidental Flares
377,LDA,0.5960683022826218,20,Noncoincidental Flares
378,KNN,0.743021126160661,21,All Flares
379,LR,0.7524073068404465,21,All Flares
380,RFC,0.782700560098816,21,All Flares
381,SVM,0.7004285927251043,21,All Flares
382,DART,0.7934696843853821,21,All Flares
383,LDA,0.6151929465882955,21,All Flares
384,KNN,0.7273881673881674,21,Coincidental Flares
385,LR,0.7556363636363636,21,Coincidental Flares
386,RFC,0.7812409812409815,21,Coincidental Flares
387,SVM,0.7526464646464646,21,Coincidental Flares
388,DART,0.781090909090909,21,Coincidental Flares
389,LDA,0.748987012987013,21,Coincidental Flares
390,KNN,0.696557501833338,21,Noncoincidental Flares
391,LR,0.7686916928903619,21,Noncoincidental Flares
392,RFC,0.740894576104412,21,Noncoincidental Flares
393,SVM,0.644458677954459,21,Noncoincidental Flares
394,DART,0.7438228113657672,21,Noncoincidental Flares
395,LDA,0.5900930128937034,21,Noncoincidental Flares
396,KNN,0.738963071811909,22,All Flares
397,LR,0.7516315806286734,22,All Flares
398,RFC,0.7917483921117643,22,All Flares
399,SVM,0.6894166879631995,22,All Flares
400,DART,0.7912955745804584,22,All Flares
401,LDA,0.6298992673992673,22,All Flares
402,KNN,0.7196652236652236,22,Coincidental Flares
403,LR,0.7291139971139969,22,Coincidental Flares
404,RFC,0.7734372294372296,22,Coincidental Flares
405,SVM,0.7679134199134199,22,Coincidental Flares
406,DART,0.7828051948051947,22,Coincidental Flares
407,LDA,0.7413621933621936,22,Coincidental Flares
408,KNN,0.6985184772619678,22,Noncoincidental Flares
409,LR,0.7676548126282177,22,Noncoincidental Flares
410,RFC,0.7521289927316271,22,Noncoincidental Flares
411,SVM,0.6377310237916214,22,Noncoincidental Flares
412,DART,0.742703778996909,22,Noncoincidental Flares
413,LDA,0.5887581571936469,22,Noncoincidental Flares
414,KNN,0.7472990672118578,23,All Flares
415,LR,0.7448079052730218,23,All Flares
416,RFC,0.7948201507794532,23,All Flares
417,SVM,0.6775726211772723,23,All Flares
418,DART,0.7867469013544596,23,All Flares
419,LDA,0.6136183341851946,23,All Flares
420,KNN,0.7343896103896105,23,Coincidental Flares
421,LR,0.7163809523809525,23,Coincidental Flares
422,RFC,0.7864704184704185,23,Coincidental Flares
