index,nar,time_start,xray_class,time_peak,time_end
302,11943,2014-01-07 16:48:00,N,not applicable,not applicable
303,11945,2014-01-05 13:48:00,N,not applicable,not applicable
304,11948,2014-01-11 09:36:00,N,not applicable,not applicable
305,11949,2014-01-12 09:36:00,N,not applicable,not applicable
306,11951,2014-01-12 01:00:00,N,not applicable,not applicable
307,11952,2014-01-17 23:36:00,N,not applicable,not applicable
308,11954,2014-01-15 14:12:00,N,not applicable,not applicable
309,11958,2014-01-22 14:12:00,N,not applicable,not applicable
310,11962,2014-01-22 03:12:00,N,not applicable,not applicable
311,11964,2014-01-24 21:12:00,N,not applicable,not applicable
312,11965,2014-01-29 10:00:00,N,not applicable,not applicable
313,11966,2014-01-30 01:00:00,N,not applicable,not applicable
314,11969,2014-02-02 19:00:00,N,not applicable,not applicable
315,11970,2014-02-07 01:00:00,N,not applicable,not applicable
316,11978,2014-02-12 21:00:00,N,not applicable,not applicable
317,11981,2014-02-23 09:24:00,N,not applicable,not applicable
318,11983,2014-02-23 08:48:00,N,not applicable,not applicable
319,11985,2014-02-20 08:48:00,N,not applicable,not applicable
320,11992,2014-02-28 23:00:00,N,not applicable,not applicable
321,11997,2014-03-05 16:24:00,N,not applicable,not applicable
322,11999,2014-03-10 18:12:00,N,not applicable,not applicable
323,12000,2014-03-11 06:12:00,N,not applicable,not applicable
324,12001,2014-03-10 04:36:00,N,not applicable,not applicable
325,12004,2014-03-15 16:36:00,N,not applicable,not applicable
326,12007,2014-03-18 10:36:00,N,not applicable,not applicable
327,12009,2014-03-19 14:24:00,N,not applicable,not applicable
328,12012,2014-03-24 05:00:00,N,not applicable,not applicable
329,12019,2014-03-25 06:48:00,N,not applicable,not applicable
330,12020,2014-03-28 19:36:00,N,not applicable,not applicable
331,12039,2014-04-18 08:48:00,N,not applicable,not applicable
332,12040,2014-04-18 02:48:00,N,not applicable,not applicable
333,12041,2014-04-17 17:48:00,N,not applicable,not applicable
334,12043,2014-04-18 03:00:00,N,not applicable,not applicable
335,12046,2014-04-21 09:00:00,N,not applicable,not applicable
336,12054,2014-05-12 00:12:00,N,not applicable,not applicable
337,12057,2014-05-11 14:12:00,N,not applicable,not applicable
338,12062,2014-05-12 17:12:00,N,not applicable,not applicable
339,12064,2014-05-17 09:12:00,N,not applicable,not applicable
340,12067,2014-05-17 10:36:00,N,not applicable,not applicable
341,12070,2014-05-21 09:00:00,N,not applicable,not applicable
342,12074,2014-05-24 15:00:00,N,not applicable,not applicable
343,12077,2014-06-05 05:48:00,N,not applicable,not applicable
344,12078,2014-06-03 23:48:00,N,not applicable,not applicable
345,12081,2014-06-07 01:24:00,N,not applicable,not applicable
346,12084,2014-06-10 16:48:00,N,not applicable,not applicable
347,12088,2014-06-12 06:24:00,N,not applicable,not applicable
348,12090,2014-06-17 00:24:00,N,not applicable,not applicable
349,12091,2014-06-13 02:12:00,N,not applicable,not applicable
350,12094,2014-06-27 04:24:00,N,not applicable,not applicable
351,12097,2014-06-27 12:48:00,N,not applicable,not applicable
352,12098,2014-06-27 09:00:00,N,not applicable,not applicable
353,12099,2014-06-28 15:12:00,N,not applicable,not applicable
354,12101,2014-06-27 09:12:00,N,not applicable,not applicable
355,12103,2014-07-03 07:48:00,N,not applicable,not applicable
356,12105,2014-07-02 01:48:00,N,not applicable,not applicable
357,12110,2014-07-07 11:36:00,N,not applicable,not applicable
358,12111,2014-07-08 23:36:00,N,not applicable,not applicable
359,12112,2014-07-05 07:12:00,N,not applicable,not applicable
360,12115,2014-07-10 14:48:00,N,not applicable,not applicable
361,12116,2014-07-13 20:48:00,N,not applicable,not applicable
362,12118,2014-07-19 20:48:00,N,not applicable,not applicable
363,12124,2014-07-30 12:36:00,N,not applicable,not applicable
364,12128,2014-08-10 08:24:00,N,not applicable,not applicable
365,12129,2014-07-30 14:24:00,N,not applicable,not applicable
366,12131,2014-08-10 08:36:00,N,not applicable,not applicable
367,12179,2014-10-06 20:12:00,N,not applicable,not applicable
368,12183,2014-10-08 08:12:00,N,not applicable,not applicable
369,12184,2014-10-12 06:12:00,N,not applicable,not applicable
370,12186,2014-10-10 00:12:00,N,not applicable,not applicable
371,12188,2014-10-15 17:00:00,N,not applicable,not applicable
372,12189,2014-10-16 17:00:00,N,not applicable,not applicable
373,12190,2014-10-18 05:00:00,N,not applicable,not applicable
374,12191,2014-10-18 11:00:00,N,not applicable,not applicable
375,12194,2014-10-26 02:36:00,N,not applicable,not applicable
376,12195,2014-10-27 14:36:00,N,not applicable,not applicable
377,12196,2014-10-29 08:36:00,N,not applicable,not applicable
378,12197,2014-10-30 08:36:00,N,not applicable,not applicable
379,12198,2014-10-31 15:12:00,N,not applicable,not applicable
380,12199,2014-11-02 15:12:00,N,not applicable,not applicable
381,12200,2014-11-04 15:12:00,N,not applicable,not applicable
382,12202,2014-11-03 09:12:00,N,not applicable,not applicable
383,12204,2014-11-06 03:12:00,N,not applicable,not applicable
384,12206,2014-11-08 03:12:00,N,not applicable,not applicable
385,12207,2014-11-14 19:12:00,N,not applicable,not applicable
386,12211,2014-11-14 17:36:00,N,not applicable,not applicable
387,12212,2014-11-16 05:36:00,N,not applicable,not applicable
388,12213,2014-11-19 17:36:00,N,not applicable,not applicable
389,12215,2014-11-22 02:24:00,N,not applicable,not applicable
390,12218,2014-11-30 08:24:00,N,not applicable,not applicable
391,12224,2014-11-28 18:00:00,N,not applicable,not applicable
392,12225,2014-12-04 18:00:00,N,not applicable,not applicable
393,12228,2014-12-05 23:24:00,N,not applicable,not applicable
394,12229,2014-12-08 01:12:00,N,not applicable,not applicable
395,12238,2014-12-22 08:48:00,N,not applicable,not applicable
396,12240,2014-12-18 21:48:00,N,not applicable,not applicable
397,12243,2014-12-22 01:00:00,N,not applicable,not applicable
398,12246,2014-12-28 01:00:00,N,not applicable,not applicable
399,12247,2014-12-29 10:24:00,N,not applicable,not applicable
400,12252,2015-01-02 07:00:00,N,not applicable,not applicable
401,12254,2015-01-03 02:36:00,N,not applicable,not applicable
402,12255,2015-01-08 06:12:00,N,not applicable,not applicable
403,12260,2015-01-12 20:00:00,N,not applicable,not applicable
404,12261,2015-01-20 08:00:00,N,not applicable,not applicable
405,12262,2015-01-12 14:00:00,N,not applicable,not applicable
406,12265,2015-01-22 14:36:00,N,not applicable,not applicable
407,12269,2015-01-25 08:36:00,N,not applicable,not applicable
408,12272,2015-01-30 17:00:00,N,not applicable,not applicable
409,12274,2015-01-27 21:24:00,N,not applicable,not applicable
410,12278,2015-02-02 03:36:00,N,not applicable,not applicable
411,12279,2015-02-01 09:36:00,N,not applicable,not applicable
412,12285,2015-02-17 03:48:00,N,not applicable,not applicable
413,12295,2015-03-05 21:24:00,N,not applicable,not applicable
414,12296,2015-03-08 09:24:00,N,not applicable,not applicable
415,12298,2015-03-08 10:36:00,N,not applicable,not applicable
416,12300,2015-03-12 20:48:00,N,not applicable,not applicable
417,12301,2015-03-15 20:48:00,N,not applicable,not applicable
418,12304,2015-03-20 13:48:00,N,not applicable,not applicable
419,12306,2015-03-23 07:36:00,N,not applicable,not applicable
420,12307,2015-03-28 07:36:00,N,not applicable,not applicable
421,12308,2015-03-25 13:36:00,N,not applicable,not applicable
422,12313,2015-03-30 10:48:00,N,not applicable,not applicable
423,12314,2015-03-31 22:48:00,N,not applicable,not applicable
424,12316,2015-03-31 22:48:00,N,not applicable,not applicable
425,12317,2015-03-28 10:48:00,N,not applicable,not applicable
426,12319,2015-04-04 13:48:00,N,not applicable,not applicable
427,12328,2015-04-19 06:00:00,N,not applicable,not applicable
428,12329,2015-04-20 12:00:00,N,not applicable,not applicable
429,12330,2015-04-23 07:12:00,N,not applicable,not applicable
430,12332,2015-04-25 08:00:00,N,not applicable,not applicable
431,12334,2015-05-01 14:00:00,N,not applicable,not applicable
432,12336,2015-05-06 20:00:00,N,not applicable,not applicable
433,12337,2015-05-08 02:00:00,N,not applicable,not applicable
434,12340,2015-05-12 08:48:00,N,not applicable,not applicable
435,12341,2015-05-13 18:00:00,N,not applicable,not applicable
436,12343,2015-05-14 18:00:00,N,not applicable,not applicable
437,12348,2015-05-20 00:12:00,N,not applicable,not applicable
438,12350,2015-05-21 00:12:00,N,not applicable,not applicable
439,12354,2015-05-25 02:12:00,N,not applicable,not applicable
440,12355,2015-05-27 15:48:00,N,not applicable,not applicable
441,12357,2015-06-01 13:24:00,N,not applicable,not applicable
442,12359,2015-06-04 05:48:00,N,not applicable,not applicable
443,12363,2015-06-07 10:12:00,N,not applicable,not applicable
444,12370,2015-06-17 01:24:00,N,not applicable,not applicable
445,12374,2015-06-30 07:36:00,N,not applicable,not applicable
446,12375,2015-07-04 07:36:00,N,not applicable,not applicable
447,12379,2015-07-08 01:48:00,N,not applicable,not applicable
448,12380,2015-07-05 19:48:00,N,not applicable,not applicable
449,12382,2015-07-06 23:48:00,N,not applicable,not applicable
450,12383,2015-07-12 17:48:00,N,not applicable,not applicable
451,12392,2015-08-02 09:48:00,N,not applicable,not applicable
452,12397,2015-08-06 01:12:00,N,not applicable,not applicable
453,12398,2015-08-12 01:12:00,N,not applicable,not applicable
454,12399,2015-08-13 09:00:00,N,not applicable,not applicable
455,12402,2015-08-18 22:36:00,N,not applicable,not applicable
456,12404,2015-08-24 04:36:00,N,not applicable,not applicable
457,12406,2015-09-01 05:24:00,N,not applicable,not applicable
458,12411,2015-09-08 19:00:00,N,not applicable,not applicable
459,12412,2015-09-11 13:00:00,N,not applicable,not applicable
460,12413,2015-09-08 16:12:00,N,not applicable,not applicable
461,12417,2015-09-13 12:24:00,N,not applicable,not applicable
462,12424,2015-09-24 13:48:00,N,not applicable,not applicable
