,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10,AREA_ACR_11,AREA_ACR_12,AREA_ACR_13,AREA_ACR_14,AREA_ACR_15,AREA_ACR_16,AREA_ACR_17,AREA_ACR_18,AREA_ACR_19,AREA_ACR_20,AREA_ACR_21,AREA_ACR_22,AREA_ACR_23,AREA_ACR_24,AREA_ACR_25,AREA_ACR_26,AREA_ACR_27,AREA_ACR_28,AREA_ACR_29,AREA_ACR_30,AREA_ACR_31,AREA_ACR_32,AREA_ACR_33,AREA_ACR_34,AREA_ACR_35,AREA_ACR_36,AREA_ACR_37,AREA_ACR_38,AREA_ACR_39,AREA_ACR_40,AREA_ACR_41,AREA_ACR_42,AREA_ACR_43,AREA_ACR_44,AREA_ACR_45
1144,B,False,492.1,487.36,483.08,481.43,482.44,478.58,484.52,475.91,472.23,466.79,466.08,456.8,457.86,463.92,465.07,461.23,456.0,449.53,447.47,442.4,440.46,442.05,439.59,433.36,430.45,418.72,420.26,416.44,413.89,406.45,403.06,408.42,402.38,401.94,403.75,401.15,401.76,399.22,398.29,394.0,391.34,390.26,392.82,392.53,392.32
1145,B,False,185.53,187.9,191.63,192.37,195.61,199.8,202.27,204.56,210.98,212.7,210.65,216.68,219.97,221.56,221.59,225.39,224.18,223.9,225.67,226.6,228.84,234.56,237.65,238.43,239.57,240.58,243.0,243.98,248.99,248.38,251.11,253.89,254.59,253.43,250.14,252.58,256.1,262.35,264.25,263.42,263.94,265.84,265.31,267.75,270.07
1146,B,False,425.47,422.92,428.72,423.93,424.92,425.36,425.46,430.9,432.38,433.63,433.14,435.08,442.28,441.46,440.21,443.23,432.82,436.67,443.09,445.71,453.37,457.07,460.31,455.17,464.38,461.67,461.85,462.69,459.32,458.22,457.45,463.12,464.1,468.91,468.11,463.48,463.83,455.84,461.17,462.23,459.44,460.01,459.33,461.14,460.52
1147,B,False,58.476,61.758,63.833,62.234,70.306,75.219,76.993,72.13,73.257,77.928,77.368,75.672,76.675,76.827,79.207,82.174,83.935,87.778,96.794,100.81,95.959,102.47,100.19,113.42,116.19,123.62,122.39,125.66,136.33,132.52,131.49,127.81,125.2,132.65,132.46,138.11,142.52,140.45,143.79,151.58,149.11,145.76,145.24,144.53,147.82
1148,B,False,268.92,265.34,267.35,267.16,262.47,262.79,262.85,260.65,259.97,256.65,259.14,256.4,256.48,257.55,256.79,256.86,253.88,256.14,254.69,256.0,250.24,248.43,242.31,244.29,239.62,235.77,233.34,230.22,231.72,226.74,223.79,223.87,222.52,222.18,219.61,226.19,224.78,222.53,221.7,221.03,218.61,216.84,216.52,214.24,214.34
1149,B,False,308.93,305.96,306.69,307.15,302.58,300.84,297.48,295.5,293.03,298.81,297.35,300.14,300.35,300.4,299.5,300.3,304.05,298.45,302.36,301.01,300.92,305.06,306.95,310.02,304.02,296.85,292.31,297.77,301.33,300.82,296.16,298.62,297.52,298.42,306.45,296.55,296.37,298.64,299.35,294.49,295.15,301.19,300.06,297.39,297.57
1150,B,False,211.62,203.13,205.0,201.7,198.78,197.62,198.04,200.33,199.77,192.71,189.37,185.46,184.87,183.29,185.71,179.89,176.46,180.64,176.57,178.12,177.89,174.73,174.64,179.46,180.79,184.74,186.27,187.64,189.77,192.43,192.82,197.58,194.45,194.41,193.45,196.34,193.4,194.0,192.22,190.91,202.22,199.04,200.98,204.56,204.64
1151,B,False,144.38,142.19,141.65,140.41,142.14,140.94,139.47,137.25,139.9,140.08,137.62,138.57,137.4,136.72,139.57,136.73,134.85,136.92,136.85,138.47,137.46,137.1,136.81,133.91,132.3,131.35,128.82,126.02,122.84,121.53,123.29,121.03,120.77,119.15,121.53,120.84,120.83,125.56,123.46,121.69,119.28,121.75,121.44,119.05,119.25
1152,B,False,487.45,490.6,488.02,484.5,485.48,480.89,479.65,483.09,479.68,479.38,480.95,477.57,481.5,487.05,482.81,486.82,485.35,485.45,478.06,483.26,482.16,485.69,487.84,491.74,492.0,495.5,500.35,498.14,495.45,494.26,497.03,498.33,497.91,498.15,497.06,500.16,496.73,495.91,498.1,494.41,485.22,489.93,490.67,488.79,494.61
1153,B,False,36.199,38.562,36.588,36.752,38.915,41.735,40.116,43.648,41.231,47.255,42.196,40.951,42.203,40.563,38.038,46.226,44.233,43.859,47.878,49.953,44.892,39.078,41.959,44.282,45.482,48.913,44.458,44.355,46.448,45.022,44.303,43.167,43.278,39.894,36.602,37.939,37.892,37.937,38.273,34.125,36.415,36.134,36.385,34.551,33.49
