,FLARE_TYPE,COINCIDENCE,LABEL,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
26,X,False,1,212.12239999999997,1438.3752,41.5393,37.28686000000001,70.28402,94.31356000000004,-0.2932137400000001,-0.004877820399999999,7910.59,34.52324000000001,4.850778000000002,8684048000000.0,30.062960000000007,4.226406e+23,1617.4975999999997,26720540000000.0,2.7489600000000002e+22,171.65678,56165.664000000004,12.586438000000005
27,M,False,1,280.10300000000007,189.13380000000004,40.162119999999994,63.48062000000001,112.66420000000002,122.39600000000002,-0.042731854,-0.028455859999999996,6334.691999999999,32.74142000000001,4.099828000000001,10132588000000.0,20.086039999999997,8.335279999999999e+22,756.2698000000003,12274422000000.0,6.787234e+21,109.70944,3589.1100000000006,15.946919999999995
28,M,False,1,23.492375999999993,139.33906000000002,34.36978,46.30728,99.20178,118.58160000000002,-0.15887506400000007,4.468999999999136e-06,4697.296000000001,28.318799999999996,3.5659260000000006,1361620800000.0,15.610290000000003,4.441792e+22,370.23600000000005,6246228000000.0,5.197238000000002e+21,6.2303999999999995,2.46554,2.68824
29,M,False,1,126.56955999999997,481.24199999999996,37.37072,39.80366000000001,92.74446000000002,92.81744000000002,-0.07741560000000001,-0.005078454,6866.232000000001,32.29242,3.718622,1503401400000.0,20.80296,2.2659879999999995e+23,920.9738000000001,18614560000000.0,1.5537500000000005e+22,170.57190000000003,630.884,16.34392
30,M,True,1,39.23974,57.066039999999994,39.6136,30.49768,54.65146000000001,64.70312000000001,0.6793623359999998,0.012035623999999997,4901.170000000001,31.906040000000008,4.324480000000001,1411658600000.0,20.984260000000003,2.12383e+22,88.20204,1412524000000.0,2.471601999999999e+21,59.02881999999999,36531.204,6.039487999999999
31,M,False,1,76.61148000000001,469.86280000000005,28.240119999999997,35.13294,78.90979999999999,85.01834,0.10761079999999999,-0.0021724852999999993,2579.816,22.357919999999993,4.122216,3355790000000.0,7.82231,1.2420400000000001e+23,1228.1539999999998,23389460000000.0,2.5087099999999993e+22,502.57085999999987,24.66264,134.42371799999998
32,M,False,1,86.96845000000002,512.7690000000001,44.19107999999999,31.800659999999997,58.33976,66.70286000000002,-0.3124582000000001,0.0034048128,8837.137999999999,34.51597999999999,4.104675999999999,6916392000000.0,31.31844,2.600556e+23,816.4284000000001,12445600000000.0,1.5734359999999996e+22,135.35964,1834.4879999999996,20.449517999999987
33,M,False,1,51.62403200000001,309.86980000000005,35.99544,43.493019999999994,86.02611999999999,95.07905999999998,-0.24513244,-0.002748426,4695.202000000001,29.251619999999985,3.828438,2652044000000.0,16.460600000000003,1.1254218000000003e+23,735.7838,13720000000000.0,1.256294e+22,163.83319999999998,211.52401999999995,35.038639999999994
34,M,True,1,216.7139952,395.21100000000007,57.21286,81.67699999999999,119.15939999999999,121.2392,0.11410305199999997,0.012128283540000001,7191.261999999997,44.81612000000002,3.9537919999999986,7632459460000.0,42.08112,1.4744538000000001e+23,973.1940000000001,19913980000000.0,8.318454000000002e+21,156.37740000000002,9707.694,14.607575999999995
35,M,True,1,779.7209999999999,906.1579999999999,59.8721,77.79737999999998,105.68999999999997,116.0958,0.09452110199999998,0.023645,15156.42,50.49722000000001,4.832681999999999,15413600000000.0,55.49812000000001,6.654425999999998e+23,2842.2339999999995,48120120000000.0,2.099105999999999e+22,171.0422,90068.6,8.527742
36,M,False,1,200.89100000000002,449.9455999999999,39.220299999999995,56.71148,107.05180000000001,113.50739999999996,-0.21827695999999994,-0.009904892,5054.887999999999,32.69788000000001,4.251563999999999,5734046000000.0,19.73786,1.3665262000000006e+23,1167.3936000000003,21554160000000.0,1.3854700000000002e+22,138.44779999999994,3593.349799999999,15.993500000000001
37,M,False,1,1041.9962,1106.336,57.25611999999999,68.71662000000002,95.8852,106.30019999999999,0.2241682,0.024885099999999997,14916.78,49.83484000000001,4.855805999999999,33504180000000.0,55.728160000000024,8.297516000000001e+23,3173.39,54894440000000.0,2.7302720000000006e+22,182.34439999999998,73562.1,8.364236
38,M,True,1,776.6096000000001,1125.7079999999996,47.617140000000006,62.13565999999999,100.15160000000002,110.15620000000003,-0.050956362000000005,0.01691988,11346.66,40.86275999999999,4.976784000000001,26706500000000.0,37.13741999999999,6.925587999999999e+23,3205.538,53598780000000.0,3.314270000000001e+22,206.26420000000002,38792.2,10.206904
39,M,True,1,173.04920000000004,717.1029999999997,49.83657999999998,65.20648000000001,110.49640000000001,111.99239999999996,0.3699606,-0.00784086,9465.351999999999,41.03643999999999,4.012464,4221570000000.0,38.66522,2.7778099999999995e+23,1201.5359999999998,24586580000000.0,1.418528e+22,208.52779999999998,4409.142000000002,15.92084
40,M,False,1,768.1427999999999,1123.4119999999996,47.18834000000002,61.66504,99.17623999999998,109.21019999999997,-0.024088165000000005,0.016390759999999994,11504.86,40.665839999999996,4.923776,26856540000000.0,36.689139999999995,7.164761999999999e+23,3250.3860000000004,53688380000000.0,3.4154020000000006e+22,207.3464,39193.74,10.359243999999999
41,M,False,1,155.92979999999997,730.8838000000002,50.37229999999999,65.87722,111.71120000000002,113.03399999999998,0.34227278,-0.006943151999999998,9198.932,41.253200000000014,3.9238980000000008,4006730600000.0,39.185900000000004,2.77875e+23,1220.7940000000003,25370840000000.0,1.4475499999999996e+22,219.0302,4359.691999999999,16.9394
42,M,False,1,99.82719999999999,830.3968000000003,52.11201999999999,71.10767999999996,117.38300000000002,119.55979999999998,0.12388400419999997,-0.003733062000000001,8737.985999999997,42.06491999999999,4.142835999999999,2630416200000.0,39.80200000000001,3.13279e+23,1581.9559999999994,32865980000000.0,1.6641079999999997e+22,240.6284,7454.598000000001,17.645339999999997
43,M,False,1,476.82899999999995,604.8666000000001,33.21196,40.678520000000006,80.59361999999999,85.53732,-0.12861644,0.013073690000000002,4705.036,27.38153999999999,4.439362000000001,23839120000000.0,14.305639999999997,2.284364000000001e+23,1557.5440000000003,28583900000000.0,2.540973999999999e+22,163.531,3870.4080000000004,17.4586
44,M,True,1,624.8835999999998,2112.1699999999996,44.222559999999994,53.93238000000002,94.76246,104.28124,0.021732277999999983,0.008010856,11197.88,37.59850000000001,5.028332,37799120000000.0,33.84906,1.1607040000000003e+24,4204.259999999999,78710620000000.0,5.563555999999999e+22,186.12239999999997,71708.78,8.276734
45,M,True,1,202.59560000000005,1001.8174000000002,38.59317999999998,51.909700000000015,96.78800000000001,105.3818,-0.18881737999999995,-0.004735640000000002,5904.166,31.82137999999999,4.506031999999999,5173762000000.0,21.98302,3.433476e+23,2256.214,39489060000000.0,3.256514000000001e+22,180.06379999999993,6080.36,18.254700000000003
46,M,False,1,584.3518,2109.806,43.54841999999999,52.94239999999998,93.60834000000001,102.86668000000002,-0.008049921999999998,0.0074699380000000015,11005.46,37.09385999999999,5.018685999999999,33792900000000.0,32.84270000000001,1.1431460000000003e+24,4201.4439999999995,77615560000000.0,5.639197999999999e+22,187.03100000000006,68475.84,8.338654
47,M,False,1,579.861,2099.402,43.13156000000001,52.30311999999999,93.04894000000002,102.06418,-0.013054226799999999,0.007346406000000001,10826.264,36.722599999999986,5.0006319999999995,33118500000000.0,32.17966,1.1342539999999998e+24,4202.290000000001,77139180000000.0,5.706047999999999e+22,187.65420000000003,68373.52,8.390568
