,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5,MEANGBH_6,MEANGBH_7,MEANGBH_8,MEANGBH_9,MEANGBH_10,MEANGBH_11,MEANGBH_12,MEANGBH_13,MEANGBH_14,MEANGBH_15,MEANGBH_16,MEANGBH_17,MEANGBH_18,MEANGBH_19,MEANGBH_20,MEANGBH_21,MEANGBH_22,MEANGBH_23,MEANGBH_24,MEANGBH_25,MEANGBH_26,MEANGBH_27,MEANGBH_28,MEANGBH_29,MEANGBH_30,MEANGBH_31,MEANGBH_32,MEANGBH_33,MEANGBH_34,MEANGBH_35,MEANGBH_36,MEANGBH_37,MEANGBH_38,MEANGBH_39,MEANGBH_40,MEANGBH_41,MEANGBH_42,MEANGBH_43,MEANGBH_44,MEANGBH_45,MEANGBH_46,MEANGBH_47,MEANGBH_48,MEANGBH_49,MEANGBH_50,MEANGBH_51,MEANGBH_52,MEANGBH_53,MEANGBH_54,MEANGBH_55,MEANGBH_56,MEANGBH_57,MEANGBH_58,MEANGBH_59,MEANGBH_60
892,B,False,58.466,58.09,57.291,48.936,57.961,58.119,58.445,58.056,58.245,58.525,59.046,58.989,60.067,59.889,59.626,59.231,60.566,60.327,62.815,63.279,63.824,64.041,64.859,64.89,65.835,65.703,65.267,64.489,64.024,64.469,64.279,64.279,63.871,63.666,63.819,64.28,64.085,49.466,64.323,64.076,64.424,64.555,64.793,65.692,65.58,65.464,66.723,66.749,66.846,66.869,67.741,67.89,67.061,67.441,66.794,67.385,67.722,67.155,67.381,67.49
893,B,True,64.475,64.92,66.146,66.636,67.677,67.964,69.535,70.499,71.038,71.062,71.171,69.695,68.272,67.818,67.204,65.728,65.214,65.927,65.001,65.353,64.521,63.253,63.724,63.901,64.344,63.785,64.035,64.594,64.013,64.349,64.918,64.793,65.018,64.733,64.057,63.851,64.903,63.895,63.539,63.318,63.14,63.14,63.456,65.039,65.184,65.691,66.628,67.522,67.941,69.019,69.764,70.525,70.298,70.302,69.834,70.186,69.616,69.24,68.801,66.586
894,B,True,38.503,37.966,38.834,39.867,41.634,40.38,39.964,40.947,39.708,38.806,39.162,38.74,37.505,38.06,35.903,36.337,36.04,36.791,36.228,33.681,34.444,34.511,34.946,35.908,34.819,34.997,36.863,36.652,33.975,35.323,35.804,34.897,34.782,35.294,34.428,35.567,36.131,35.882,33.055,31.779,31.664,31.904,34.773,32.775,32.332,34.895,33.733,36.792,34.569,33.54,35.206,31.078,32.273,31.914,31.705,34.538,34.686,30.618,33.429,30.8
895,B,False,63.568,61.822,61.698,61.577,61.392,59.976,59.241,59.504,59.448,58.899,58.906,59.488,58.757,58.475,60.132,61.424,62.75,64.16,64.513,65.975,67.286,67.625,67.62,67.598,67.777,66.856,65.949,64.472,63.171,61.471,60.774,60.064,60.121,58.998,60.04,61.24,63.06,62.346,63.481,64.343,64.654,64.555,65.358,66.474,65.962,65.712,66.714,65.262,65.492,64.715,64.196,64.677,64.957,65.519,65.801,64.789,65.535,65.379,65.587,64.401
896,B,False,40.916,40.994,40.743,40.546,40.685,40.995,40.998,41.473,42.061,42.182,42.163,42.023,42.441,43.517,43.573,44.508,45.163,45.299,46.074,46.269,47.132,47.999,48.008,48.973,47.943,48.269,47.056,47.672,47.403,46.012,44.917,44.597,44.091,43.639,43.58,44.009,43.529,43.491,43.306,43.688,42.77,42.626,43.083,43.757,44.033,44.108,45.175,45.732,46.181,46.26,47.087,47.584,48.143,48.027,49.088,48.576,47.929,48.411,49.487,49.181
897,B,False,69.064,68.141,67.971,69.025,68.635,68.161,68.316,66.696,69.382,70.322,71.095,71.815,72.396,73.573,74.343,75.361,76.699,77.346,77.807,78.11,78.394,79.333,78.677,77.951,77.983,77.919,77.827,76.838,76.832,76.395,75.024,74.999,73.811,74.249,75.196,74.085,74.365,74.437,74.564,73.67,73.512,74.316,74.817,73.919,75.973,75.588,76.014,76.456,75.945,77.53,77.719,79.356,78.153,80.189,80.533,80.969,81.995,82.886,84.812,83.941
898,B,True,34.095,35.572,35.938,35.663,34.651,33.631,33.673,32.201,32.75,32.788,33.955,34.416,34.846,35.009,34.701,36.208,38.271,38.488,38.396,38.637,38.453,38.758,39.148,38.808,38.377,38.069,38.589,37.962,37.149,39.185,39.319,37.688,37.221,36.772,38.053,37.444,37.607,36.336,35.832,36.485,36.268,36.693,36.593,36.365,35.772,35.411,37.546,37.515,38.497,39.898,38.17,37.709,37.323,38.083,37.474,39.661,40.818,41.87,41.802,42.961
899,B,True,55.918,54.875,61.641,59.164,59.48,52.262,52.379,54.438,50.836,54.275,51.303,54.336,53.251,52.254,53.442,54.002,52.73,55.427,54.723,55.155,56.512,60.474,58.828,60.89,63.674,64.947,67.493,65.972,67.886,68.159,67.344,66.068,67.588,65.968,65.474,66.435,63.671,63.089,64.644,61.359,62.428,62.882,59.2,61.635,61.026,60.799,59.064,58.334,58.553,59.189,60.117,59.426,60.315,62.238,63.167,62.834,63.066,62.51,62.634,65.375
900,B,True,32.239,32.786,32.568,32.664,33.026,32.287,32.096,32.009,32.076,31.215,31.111,31.629,31.784,31.102,31.417,30.491,30.267,30.728,30.229,30.487,29.725,30.162,29.396,30.437,29.791,30.586,30.66,30.891,30.494,30.129,30.239,29.979,30.313,30.673,29.904,29.916,30.386,30.167,30.481,30.443,29.775,29.711,29.072,29.274,28.874,30.013,29.004,29.952,28.345,28.263,28.258,28.27,27.921,27.406,28.42,27.671,27.503,27.581,27.246,26.662
901,B,True,88.733,90.127,106.22,108.49,116.23,109.48,117.86,115.85,107.63,101.18,85.734,89.91,85.228,85.245,84.743,86.091,83.917,93.666,89.773,89.517,86.309,84.429,83.361,81.743,84.371,82.478,80.958,79.374,88.949,94.153,98.165,95.364,97.681,96.718,101.98,97.689,98.119,100.92,100.38,95.187,95.839,99.205,101.67,101.17,99.394,96.167,100.41,95.132,92.76,94.43,91.418,88.551,92.125,94.175,90.15,90.659,96.116,91.767,92.775,93.753
902,B,False,60.616,60.217,59.997,59.773,59.016,58.367,51.738,57.673,57.172,56.366,56.151,55.546,55.505,56.068,55.653,55.991,56.339,57.194,57.415,57.951,58.148,58.217,58.686,59.013,59.38,60.332,60.339,60.289,60.433,61.017,61.098,61.087,60.639,60.568,60.448,60.295,60.713,60.477,60.607,60.625,60.618,60.76,60.56,60.504,60.79,60.582,60.578,60.589,60.645,60.112,59.978,60.132,59.823,59.22,59.243,58.683,58.273,57.759,57.545,56.726
903,B,False,62.527,61.338,59.628,58.82,56.686,57.381,57.115,56.29,54.933,54.07,54.363,54.53,54.582,54.509,54.57,53.412,53.433,53.588,54.864,54.488,56.142,57.765,56.428,57.054,58.867,57.8,58.837,58.754,57.367,56.758,53.636,53.296,54.874,55.373,53.076,52.466,50.765,50.138,48.935,49.495,49.573,48.045,47.412,46.321,46.445,47.09,47.338,46.92,46.642,47.035,48.062,46.351,47.456,46.21,45.987,48.024,48.565,49.484,48.848,48.559
904,B,False,66.108,65.574,66.108,65.335,66.704,66.375,65.817,65.973,66.235,67.758,68.613,68.336,68.926,68.762,67.617,67.979,69.574,69.498,70.072,69.454,70.352,69.673,69.854,70.278,70.322,69.07,68.603,69.758,67.916,69.257,69.909,71.264,73.087,73.748,75.283,76.542,77.139,76.716,76.321,76.183,75.952,75.218,74.638,74.606,73.209,71.349,71.075,70.464,70.285,68.806,69.635,69.72,69.349,70.233,70.874,71.626,72.168,74.089,74.588,74.866
