TSS_mean,TSS_std,SSW_mean,SSW_std,kernel,C,gamma,degree,coef0,tol,
0.2752419667053813,0.06840494605636466,0.2752419667053813,0.06840494605636466,sigmoid,1,1,3,0,0.0001,
0.23891792489353464,0.07195861353584249,0.23891792489353464,0.07195861353584249,sigmoid,1,1,3,1,0.0001,
0.29638017808749517,0.06957506859755909,0.29638017808749517,0.06957506859755909,sigmoid,1,10,3,-1,0.0001,
0.2625048393341077,0.08222202452887449,0.2625048393341077,0.08222202452887449,sigmoid,1,10,3,0,0.0001,
0.26347270615563295,0.07726632810323034,0.26347270615563295,0.07726632810323034,sigmoid,1,10,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,1,1e-05,3,-1,0.001,
0.0,0.0,0.0,0.0,sigmoid,1,1e-05,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,1,1e-05,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,1,0.0001,3,-1,0.001,
0.0031746031746031746,0.00634920634920635,0.0031746031746031746,0.00634920634920635,sigmoid,1,0.0001,3,0,0.001,
